,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,17200,17330.83,17400,756340,17500,17200,0,0,16.52,2468.65
1,29/08/2019,17400,17319.98,17550,1004620,17650,17000,1889830,1812110,16.52,2468.65
2,28/08/2019,17550,17741.9,17850,479430,17950,17550,1001610,983040,16.52,2468.65
3,27/08/2019,17900,17702.73,17800,966800,17900,17500,2041520,1681060,16.52,2468.65
4,26/08/2019,17700,17891.56,18250,845650,18300,17600,1895400,1626750,16.52,2468.65
5,23/08/2019,18300,18024.11,17950,496890,18300,17800,1131470,1082980,16.52,2468.65
6,22/08/2019,18000,18202.72,18300,726210,18400,18000,1161920,1409880,16.52,2468.65
7,21/08/2019,18300,18221.41,18300,1182400,18550,18000,2167080,1748200,16.52,2468.65
8,20/08/2019,18300,18349.94,18500,555860,18600,18200,1041200,1325600,16.52,2468.65
9,19/08/2019,18400,18062.67,17600,1284140,18400,17400,2747730,2009750,16.52,2468.65
10,16/08/2019,17500,17527.43,17350,704610,17700,17200,1228360,1270710,16.52,2468.65
11,15/08/2019,17350,17067.69,16900,356170,17350,16900,780280,667270,16.52,2468.65
12,14/08/2019,17350,17281.13,17700,722580,17700,17050,1329290,1324460,16.52,2468.65
13,13/08/2019,17400,17503.86,17700,899630,17700,17400,1449850,1636790,16.52,2468.65
14,12/08/2019,18400,18528.73,18550,612940,18750,18400,1078440,1364830,16.52,2468.65
15,09/08/2019,18700,18625.19,18500,1149250,18950,18400,2294910,2133390,16.52,2468.65
16,08/08/2019,18500,18419.13,18000,1777880,18750,18000,2756470,2881980,16.52,2468.65
17,07/08/2019,18000,17527.21,17500,1179880,18000,17200,3521700,1752740,16.52,2468.65
18,06/08/2019,17450,17676.98,17650,1315440,18000,17450,2873250,1928690,16.52,2468.65
19,05/08/2019,18050,18121.25,18300,688970,18300,18000,1436410,1148650,16.52,2468.65
20,02/08/2019,18300,18056.19,17900,870560,18300,17800,1516420,1658070,16.52,2468.65
21,01/08/2019,18450,18200.56,18300,1076670,18450,17900,2234300,2074200,16.52,2468.65
22,31/07/2019,18300,17706.39,17200,1036010,18300,17200,3639200,1526720,16.52,2468.65
23,30/07/2019,17200,17434.87,17450,956990,17550,17200,1894850,1623130,16.52,2468.65
24,29/07/2019,17450,17275.25,17100,972200,17450,17100,3371370,1588400,16.52,2468.65
25,26/07/2019,17050,16981.68,17000,481460,17100,16850,1083390,894560,16.52,2468.65
26,25/07/2019,16950,16986.28,16850,535020,17150,16800,1229200,1100600,16.52,2468.65
27,24/07/2019,16800,16711.36,16750,447540,16800,16650,1509360,781070,16.52,2468.65
28,23/07/2019,16750,16682.92,16550,410180,16850,16550,900560,682710,16.52,2468.65
29,22/07/2019,16550,16768.62,17100,783070,17100,16550,1370020,1394200,16.52,2468.65
30,19/07/2019,17050,17253.29,17450,897220,17600,17000,1240300,1839420,16.52,2468.65
31,18/07/2019,17400,17335.62,17300,506760,17450,17200,898910,1073790,16.52,2468.65
32,17/07/2019,17400,17485.74,17400,819010,17600,17250,1739070,1532150,16.52,2468.65
33,16/07/2019,17400,17543.06,17700,786750,17700,17400,1517150,1739130,16.52,2468.65
34,15/07/2019,17650,17637.0,17400,789250,17800,17400,2003740,1321500,16.52,2468.65
35,12/07/2019,17400,17294.85,17100,898360,17400,17000,2312460,1337950,16.52,2468.65
36,11/07/2019,17100,17086.18,17250,708760,17250,16900,1120870,1472390,16.52,2468.65
37,10/07/2019,17200,17302.16,17400,946240,17550,17050,1608830,1779880,16.52,2468.65
38,09/07/2019,17300,17067.4,16800,1009820,17300,16800,2172790,1740760,16.52,2468.65
39,08/07/2019,16800,16781.16,16500,978240,17150,16500,2016990,1902960,16.52,2468.65
40,05/07/2019,16450,16359.54,16400,213270,16450,16250,480510,440760,16.52,2468.65
41,04/07/2019,16500,16344.47,16300,274160,16500,16250,797870,529360,16.52,2468.65
