,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,36650,36397.8,36350,606740,36700,36200,0,0,17.93,4373.58
1,29/08/2019,36350,36116.91,36400,938840,36600,35800,1580330,1596790,17.93,4373.58
2,28/08/2019,36400,36703.64,36400,569780,37100,36400,1108670,1522570,17.93,4373.58
3,27/08/2019,36500,36682.29,36400,676430,37150,36300,1107770,1277760,17.93,4373.58
4,26/08/2019,36300,36412.24,36000,796820,36900,35800,1526050,1541660,17.93,4373.58
5,23/08/2019,36300,36572.01,36800,991250,37100,36300,1593970,2035530,17.93,4373.58
6,22/08/2019,36700,36984.78,37400,927030,37400,36700,1713840,2122860,17.93,4373.58
7,21/08/2019,37200,37471.81,36800,1232500,38200,36800,2307790,2836460,17.93,4373.58
8,20/08/2019,37000,37063.75,37050,1306290,37400,36900,2168080,2203270,17.93,4373.58
9,19/08/2019,37500,37146.91,37550,1346680,37700,36750,1952580,2458290,17.93,4373.58
10,16/08/2019,37550,37520.87,36950,2515240,37950,36600,3642230,3920550,17.93,4373.58
11,15/08/2019,36550,36807.1,35550,3898270,38050,35350,6972230,5656990,17.93,4373.58
12,14/08/2019,35900,36080.17,36200,687580,36400,35700,1276330,1764890,17.93,4373.58
13,13/08/2019,36000,35551.33,34600,2370010,36000,34400,3923890,3099240,17.93,4373.58
14,12/08/2019,34800,34835.63,34350,1013560,35150,34200,1438390,1979020,17.93,4373.58
15,09/08/2019,34400,34488.75,34000,1702410,35150,33700,2627920,3007660,17.93,4373.58
16,08/08/2019,34000,33018.69,31950,1417500,34000,31850,3186930,1686620,17.93,4373.58
17,07/08/2019,31900,32092.39,32150,336840,32400,31800,724880,679540,17.93,4373.58
18,06/08/2019,32050,32064.2,32100,791880,32400,31700,1483170,1198680,17.93,4373.58
19,05/08/2019,32500,32766.29,33000,370930,33150,32500,644300,852340,17.93,4373.58
20,02/08/2019,33000,33048.2,32800,444230,33250,32750,831440,877770,17.93,4373.58
21,01/08/2019,33300,33072.2,32800,583360,33300,32750,1273990,1048620,17.93,4373.58
22,31/07/2019,32750,32636.51,32600,292280,32800,32500,631360,582020,17.93,4373.58
23,30/07/2019,32600,32427.88,32600,913720,33100,32100,1651690,1431490,17.93,4373.58
24,29/07/2019,32600,32618.76,32800,675930,32850,32450,1190830,1114430,17.93,4373.58
25,26/07/2019,32750,32944.37,33250,607600,33300,32700,1100110,1117840,17.93,4373.58
26,25/07/2019,33250,33477.39,33350,664090,33750,33250,960170,1378790,17.93,4373.58
27,24/07/2019,33350,33560.95,33600,574060,33800,33300,817650,1189390,17.93,4373.58
28,23/07/2019,33600,33285.0,32950,731080,33600,32850,1566190,1049570,17.93,4373.58
29,22/07/2019,32850,32916.94,32900,301000,33100,32800,743210,653110,17.93,4373.58
30,19/07/2019,33050,33024.37,33600,1386340,33650,32700,2065350,2180220,17.93,4373.58
31,18/07/2019,33300,33355.87,33500,473290,33500,33150,1268230,831600,17.93,4373.58
32,17/07/2019,33500,33400.3,33650,751640,33650,33150,2072830,1334820,17.93,4373.58
33,16/07/2019,33650,33665.75,34200,2167960,34450,33150,3813270,3681580,17.93,4373.58
34,15/07/2019,34000,33972.93,33600,597770,34200,33600,1246760,1128250,17.93,4373.58
35,12/07/2019,33700,33909.38,33850,546250,34100,33700,1255320,1045320,17.93,4373.58
36,11/07/2019,33800,34090.05,34250,557230,34450,33800,1038210,1264090,17.93,4373.58
37,10/07/2019,34150,34089.13,33700,1146700,34350,33550,2742190,2220200,17.93,4373.58
38,09/07/2019,33550,33625.28,33500,405320,33800,33300,766210,1266940,17.93,4373.58
39,08/07/2019,33500,33638.03,33100,1221980,34050,33050,2344640,2259720,17.93,4373.58
40,05/07/2019,33350,33351.67,33350,599820,33550,33200,1471420,1219160,17.93,4373.58
41,04/07/2019,33350,33459.38,33200,970550,33700,33200,2453820,2079630,17.93,4373.58
42,03/07/2019,33050,32835.3,32200,2279650,33150,32100,5327770,3476630,17.93,4373.58
43,02/07/2019,32200,32061.11,32100,405850,32300,31850,809970,1297340,17.93,4373.58
44,01/07/2019,32000,32171.13,31950,597430,32400,31900,1001100,1187280,17.93,4373.58
45,28/06/2019,31750,31503.35,31650,504740,31900,31300,886450,855580,17.93,4373.58
46,27/06/2019,31650,31758.63,32100,893080,32250,31650,1390380,1394760,17.93,4373.58
47,26/06/2019,32000,31899.1,31750,558950,32150,31650,1021030,825510,17.93,4373.58
48,25/06/2019,31750,31821.35,32150,717820,32200,31600,1420410,1184700,17.93,4373.58
49,24/06/2019,32150,32186.65,32250,297670,32300,32050,416980,599300,17.93,4373.58
50,21/06/2019,32250,32300.03,32200,275170,32500,32150,722950,704360,17.93,4373.58
51,20/06/2019,32150,32011.61,31850,485980,32200,31850,778110,784040,17.93,4373.58
52,19/06/2019,31850,31941.06,32000,226010,32300,31700,414080,456170,17.93,4373.58
53,18/06/2019,31600,31541.49,31600,352710,31700,31450,852920,637350,17.93,4373.58
54,17/06/2019,31550,31729.46,31850,457020,31950,31550,764930,906420,17.93,4373.58
55,14/06/2019,31850,32036.86,32000,309300,32300,31850,557040,635000,17.93,4373.58
56,13/06/2019,32050,32121.47,32050,208770,32350,32050,495570,595650,17.93,4373.58
57,12/06/2019,32200,32487.45,32750,370420,32750,32200,843590,873450,17.93,4373.58
58,11/06/2019,32700,32689.01,32350,588730,32900,32350,927770,1105210,17.93,4373.58
59,10/06/2019,32350,32368.61,32300,503080,32750,32000,821220,1201530,17.93,4373.58
60,07/06/2019,32600,32441.11,32000,392280,32600,32000,699590,636630,17.93,4373.58
61,06/06/2019,32000,31989.21,32000,322640,32200,31800,580570,780200,17.93,4373.58
62,05/06/2019,32000,32066.37,32100,282040,32300,31950,590390,599560,17.93,4373.58
63,04/06/2019,31950,31644.89,31500,486840,31950,31400,1032820,888430,17.93,4373.58
64,03/06/2019,31500,31891.25,32400,481480,32400,31500,713490,842160,17.93,4373.58
65,31/05/2019,32500,32743.34,32950,375710,33000,32500,653020,775400,17.93,4373.58
66,30/05/2019,33000,32931.27,32500,538060,33200,32400,964950,928920,17.93,4373.58
67,29/05/2019,32550,32517.59,32300,252940,32700,32300,636010,474800,17.93,4373.58
68,28/05/2019,32450,32473.21,32600,395680,32750,32300,514460,745770,17.93,4373.58
69,27/05/2019,32600,32642.97,32500,204240,32950,32500,483740,605160,17.93,4373.58
70,24/05/2019,32900,33075.04,33050,384580,33300,32800,620510,752830,17.93,4373.58
71,23/05/2019,33050,32915.54,32900,287220,33100,32750,563510,560560,17.93,4373.58
72,22/05/2019,32950,33171.71,33250,375350,33350,32950,528710,796380,17.93,4373.58
73,21/05/2019,33350,33497.23,33650,443380,33750,33350,619580,1184730,17.93,4373.58
74,20/05/2019,33550,33372.07,32950,989540,33600,32800,1604490,1480050,17.93,4373.58
75,17/05/2019,32800,32775.29,32900,369150,32900,32700,562120,810990,17.93,4373.58
76,16/05/2019,32900,32953.67,33000,555750,33200,32800,951220,1060730,17.93,4373.58
77,15/05/2019,33000,33120.08,33200,583030,33300,32950,945870,1259590,17.93,4373.58
78,14/05/2019,32950,32566.36,32300,783170,32950,32200,1624740,1218840,17.93,4373.58
79,13/05/2019,32500,32426.4,32300,640250,32650,32000,1013620,1188860,17.93,4373.58
80,10/05/2019,32100,32076.19,32000,502460,32250,31800,878010,986570,17.93,4373.58
81,09/05/2019,31900,31753.06,31600,591880,31900,31600,976060,1046170,17.93,4373.58
82,08/05/2019,31600,31540.75,30750,763330,32000,30750,1521590,1249410,17.93,4373.58
83,07/05/2019,30950,31060.76,31200,300540,31300,30950,497780,609070,17.93,4373.58
84,06/05/2019,31000,31100.19,31500,652890,31500,30950,879050,1158340,17.93,4373.58
85,03/05/2019,31950,31915.18,32000,301800,32150,31700,495240,642690,17.93,4373.58
86,02/05/2019,32000,32096.2,31850,380450,32350,31850,655330,801040,17.93,4373.58
87,26/04/2019,31800,31653.61,31350,316520,31800,31350,892680,681040,17.93,4373.58
88,25/04/2019,31500,31516.95,31200,252150,31700,31200,851790,592980,17.93,4373.58
89,24/04/2019,31350,31250.0,31000,192320,31400,31000,483020,430430,17.93,4373.58
90,23/04/2019,31000,31069.27,31000,430200,31200,31000,667670,752480,17.93,4373.58
91,22/04/2019,31000,31040.83,31400,347800,31500,30900,617830,782700,17.93,4373.58
92,19/04/2019,31400,31381.86,31450,128450,31500,31300,306730,387120,17.93,4373.58
93,18/04/2019,31350,31394.57,31700,314290,31700,31150,681120,709030,17.93,4373.58
94,17/04/2019,31650,31754.97,31700,204220,31900,31600,441280,508290,17.93,4373.58
95,16/04/2019,31650,31597.59,31600,225840,31700,31400,656300,514660,17.93,4373.58
96,12/04/2019,31800,31730.63,31800,205070,31800,31700,415730,434460,17.93,4373.58
97,11/04/2019,31800,31843.73,31950,177900,31950,31750,512020,426430,17.93,4373.58
98,10/04/2019,31800,31904.35,32100,401450,32100,31750,849660,772370,17.93,4373.58
99,09/04/2019,32300,32522.17,32550,530100,32700,32300,937010,1125510,17.93,4373.58
100,08/04/2019,32550,32429.6,32350,677930,32650,32200,1200870,1100220,17.93,4373.58
101,05/04/2019,32350,32307.99,31850,832890,32550,31800,1671650,1439170,17.93,4373.58
102,04/04/2019,31750,31617.06,31550,324540,31750,31500,648310,672330,17.93,4373.58
103,03/04/2019,31550,31617.57,31800,374760,31800,31500,662620,740000,17.93,4373.58
104,02/04/2019,31800,31784.44,31700,332710,31950,31650,629410,708320,17.93,4373.58
