,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,21500,21414.46,21300,713630,21550,21300,0,0,10.77,1978.86
1,29/08/2019,21150,21224.79,21300,822670,21400,21100,1286630,1763110,10.77,1978.86
2,28/08/2019,21350,21373.63,21400,491400,21550,21300,958180,960320,10.77,1978.86
3,27/08/2019,21400,21566.0,21750,1251600,21800,21350,1988000,2466230,10.77,1978.86
4,26/08/2019,21600,21667.24,21500,1704370,21900,21500,3079380,3443080,10.77,1978.86
5,23/08/2019,22300,22215.3,22400,866610,22400,22100,1620740,1774040,10.77,1978.86
6,22/08/2019,22400,22447.08,22550,986320,22650,22300,1849480,2453320,10.77,1978.86
7,21/08/2019,22500,22243.4,22000,2260760,22500,21950,3514230,3350870,10.77,1978.86
8,20/08/2019,22100,22185.06,22200,1288750,22400,22050,1788590,2573640,10.77,1978.86
9,19/08/2019,22200,22249.46,22550,848650,22550,22000,1462240,2168700,10.77,1978.86
10,16/08/2019,22250,22437.82,21850,2483530,22800,21700,4405780,4876950,10.77,1978.86
11,15/08/2019,21850,21381.62,21500,2236500,21850,21100,3729050,3019170,10.77,1978.86
12,14/08/2019,21800,21871.86,22000,1374140,22050,21750,2013320,2403350,10.77,1978.86
13,13/08/2019,21850,21746.51,21750,1114110,21850,21600,1709140,1900300,10.77,1978.86
14,12/08/2019,22150,21972.62,22100,1074610,22250,21800,2675370,2163510,10.77,1978.86
15,09/08/2019,22000,21903.18,21650,2182560,22200,21500,8692940,3266630,10.77,1978.86
16,08/08/2019,21200,21102.34,21200,2568910,21700,20750,4795720,3395600,10.77,1978.86
17,07/08/2019,21200,21477.32,21650,1813960,22000,21150,2788280,2652170,10.77,1978.86
18,06/08/2019,21650,21681.65,21800,1915860,21900,21500,3133420,2833160,10.77,1978.86
19,05/08/2019,22300,22642.78,23000,1436440,23050,22300,1820790,2459360,10.77,1978.86
20,02/08/2019,23050,22937.22,23000,933330,23250,22800,1813760,1403200,10.77,1978.86
21,01/08/2019,23300,23308.51,23200,437780,23450,23100,921110,1168980,10.77,1978.86
22,31/07/2019,23200,23058.58,23100,1509590,23350,22900,2400950,2220230,10.77,1978.86
23,30/07/2019,23350,23785.56,24100,1418550,24350,23350,1810390,3025280,10.77,1978.86
24,29/07/2019,24100,24197.05,24450,598420,24500,24100,991380,1784190,10.77,1978.86
25,26/07/2019,24400,24341.74,24350,952890,24550,24150,1520470,1733800,10.77,1978.86
26,25/07/2019,24350,24549.37,24650,1758090,24800,24300,2416560,2900710,10.77,1978.86
27,24/07/2019,24700,24841.64,25250,1523410,25250,24650,2339510,2602410,10.77,1978.86
28,23/07/2019,25100,25130.67,25200,813110,25250,25000,1463020,1480140,10.77,1978.86
29,22/07/2019,25050,25206.94,25400,1822990,25450,24900,2616450,3145310,10.77,1978.86
30,19/07/2019,25600,25660.51,25650,1471210,25800,25550,2292420,2972160,10.77,1978.86
31,18/07/2019,25550,25613.39,25550,1284250,25750,25500,2453420,2749180,10.77,1978.86
32,17/07/2019,25800,25576.45,25100,3708060,25900,25000,5538130,5826170,10.77,1978.86
33,16/07/2019,25000,25028.62,24950,882190,25100,24950,1313090,1586430,10.77,1978.86
34,15/07/2019,25000,24990.5,25000,763410,25050,24900,1305660,1448730,10.77,1978.86
35,12/07/2019,25050,25143.7,25250,1156910,25350,25000,1627850,2278820,10.77,1978.86
36,11/07/2019,25100,25089.88,25100,876130,25150,25000,1389790,1712710,10.77,1978.86
37,10/07/2019,24900,25093.17,25050,939180,25250,24900,1323390,2109200,10.77,1978.86
38,09/07/2019,25050,25000.75,25050,999090,25150,24850,1646500,2094590,10.77,1978.86
39,08/07/2019,25100,25139.4,25350,984550,25350,25000,1866750,1779240,10.77,1978.86
40,05/07/2019,25350,25317.85,25500,1942740,25500,25200,2652190,3517920,10.77,1978.86
41,04/07/2019,25200,25069.87,24850,1885770,25300,24750,2985720,3019230,10.77,1978.86
42,03/07/2019,24850,24771.49,24900,477000,24900,24700,1086570,1469400,10.77,1978.86
43,02/07/2019,24750,24864.1,25000,524290,25050,24700,828230,1249490,10.77,1978.86
44,01/07/2019,25000,24956.18,25050,952870,25100,24800,1257800,1993780,10.77,1978.86
45,28/06/2019,24800,24669.04,24800,611860,24800,24550,1064270,1363800,10.77,1978.86
46,27/06/2019,24600,24640.65,24700,1492290,24800,24500,2240160,2498360,10.77,1978.86
47,26/06/2019,24800,24832.87,24750,1087470,24950,24750,1865660,1744220,10.77,1978.86
48,25/06/2019,24850,24873.64,24750,714250,25000,24750,1348240,1357320,10.77,1978.86
49,24/06/2019,24900,25094.22,25200,1910480,25250,24700,2363250,3333200,10.77,1978.86
50,21/06/2019,25100,25149.07,25100,1781100,25400,25100,3403800,3395370,10.77,1978.86
51,20/06/2019,25100,25068.98,24850,1391800,25250,24800,2172610,2215110,10.77,1978.86
52,19/06/2019,24800,24780.31,24650,657740,24850,24600,1083630,1139410,10.77,1978.86
53,18/06/2019,24450,24522.05,24600,913790,24700,24450,1335180,1516510,10.77,1978.86
54,17/06/2019,24600,24718.26,24700,601620,24900,24600,1075460,1699330,10.77,1978.86
55,14/06/2019,24800,24934.12,24800,394640,25050,24800,579490,964080,10.77,1978.86
56,13/06/2019,24800,24746.59,24700,659000,24900,24650,1136310,1463320,10.77,1978.86
57,12/06/2019,24850,24984.09,25200,534380,25200,24800,919750,1340070,10.77,1978.86
58,11/06/2019,25200,25183.64,25200,540470,25250,25100,848840,1216400,10.77,1978.86
59,10/06/2019,25200,25198.72,25150,930960,25350,25100,1367550,2167980,10.77,1978.86
60,07/06/2019,25050,24977.62,24900,636810,25050,24900,962110,1351860,10.77,1978.86
61,06/06/2019,24700,24607.65,24800,1213200,24900,24450,1889820,2065040,10.77,1978.86
62,05/06/2019,24850,24983.94,25150,855950,25150,24850,1489890,1616430,10.77,1978.86
63,04/06/2019,24800,24726.59,24850,694920,24900,24550,1832810,1308360,10.77,1978.86
64,03/06/2019,24750,24700.02,24700,1180930,24850,24550,1882210,1671150,10.77,1978.86
65,31/05/2019,24850,24949.08,25100,991780,25200,24850,1392930,1487730,10.77,1978.86
66,30/05/2019,25100,25174.15,25050,775200,25350,24850,1874020,1527060,10.77,1978.86
67,29/05/2019,25050,25074.69,25200,846830,25300,24950,1613170,1222520,10.77,1978.86
68,28/05/2019,25200,25172.66,25300,1306060,25350,25050,2281870,1773580,10.77,1978.86
69,27/05/2019,25350,25466.4,25550,749890,25600,25350,1185630,1188460,10.77,1978.86
70,24/05/2019,25550,25700.52,25900,2089530,25950,25450,3213470,3418590,10.77,1978.86
71,23/05/2019,26050,25892.72,25700,1205860,26050,25700,2975570,2220750,10.77,1978.86
72,22/05/2019,26050,26045.46,26000,1638520,26250,25950,2073260,2692330,10.77,1978.86
73,21/05/2019,26050,26103.4,26200,1681390,26300,25950,2794610,3321420,10.77,1978.86
74,20/05/2019,26100,25973.16,25750,2948390,26150,25650,4469820,4119490,10.77,1978.86
75,17/05/2019,25700,25691.49,25550,2158380,25900,25500,3579690,3716090,10.77,1978.86
76,16/05/2019,25550,25717.3,25750,1080440,25900,25550,2242130,2561050,10.77,1978.86
77,15/05/2019,25750,25568.64,25300,2845830,25900,25100,5055130,4042900,10.77,1978.86
78,14/05/2019,25050,24926.9,25000,2523900,25150,24850,3421210,3453540,10.77,1978.86
79,13/05/2019,25200,25173.9,25100,833800,25250,25000,1490020,1381410,10.77,1978.86
80,10/05/2019,25050,24847.43,24700,1243710,25150,24600,2316570,1923870,10.77,1978.86
81,09/05/2019,24600,24645.8,24850,994490,24950,24500,2046880,1527870,10.77,1978.86
82,08/05/2019,24700,24723.32,24700,1412270,25050,24450,2407230,2016300,10.77,1978.86
83,07/05/2019,24900,25085.03,25500,2487300,25550,24800,3366280,3516910,10.77,1978.86
84,06/05/2019,25200,25109.69,25500,2714370,25500,24950,3806470,3783120,10.77,1978.86
85,03/05/2019,25900,25783.07,25400,1073340,25900,25400,1812040,1809540,10.77,1978.86
86,02/05/2019,25600,25808.49,25850,949610,26050,25600,1393680,1726950,10.77,1978.86
87,26/04/2019,25800,25601.05,25600,1668760,25800,25350,2857110,2258560,10.77,1978.86
88,25/04/2019,25500,25517.72,25700,1250190,25700,25400,1832850,2222170,10.77,1978.86
89,24/04/2019,25700,25576.0,25400,767360,25750,25300,1915380,1208760,10.77,1978.86
90,23/04/2019,25150,25257.05,25200,1678660,25350,25050,2590680,2182830,10.77,1978.86
91,22/04/2019,25200,25334.66,25700,2123060,25950,25000,3399330,3250540,10.77,1978.86
92,19/04/2019,26000,26067.97,26350,730360,26400,25950,1731420,1255810,10.77,1978.86
93,18/04/2019,26000,26103.44,26500,1877990,26600,25850,3742120,2847230,10.77,1978.86
94,17/04/2019,26550,26744.78,26750,1175220,27000,26500,1646800,2064140,10.77,1978.86
95,16/04/2019,26750,26712.43,26950,1117270,26950,26600,1751850,1606860,10.77,1978.86
96,12/04/2019,27000,27116.02,27250,821470,27250,27000,1098630,1414790,10.77,1978.86
97,11/04/2019,27250,27354.34,27500,644980,27600,27250,1007770,1222860,10.77,1978.86
98,10/04/2019,27450,27520.44,27500,815830,27900,27400,1400890,1547410,10.77,1978.86
99,09/04/2019,28000,27938.88,27900,1916970,28050,27800,2977980,3254990,10.77,1978.86
100,08/04/2019,27800,27714.09,27550,1140070,27800,27500,2222380,2423730,10.77,1978.86
101,05/04/2019,27500,27445.84,27300,682690,27550,27300,1521640,1090190,10.77,1978.86
102,04/04/2019,27300,27439.93,27400,722050,27650,27300,1272920,1455830,10.77,1978.86
103,03/04/2019,27350,27434.49,27500,504110,27600,27350,845960,962210,10.77,1978.86
104,02/04/2019,27700,27713.46,28000,611580,28050,27400,990220,1345490,10.77,1978.86
105,01/04/2019,27700,27555.11,27400,1008960,27800,27250,2021160,1547260,10.77,1978.86
106,29/03/2019,27200,27182.11,27300,1415600,27350,27050,2139340,2079260,10.77,1978.86
