,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,10400,10362.13,10350,1448930,10400,10300,0,0,8.85,1205.1
1,29/08/2019,10350,10357.39,10400,1731710,10450,10300,5290720,4384250,8.85,1205.1
2,28/08/2019,10350,10407.9,10500,2132130,10500,10350,4884110,5667860,8.85,1205.1
3,27/08/2019,10450,10538.4,10550,3932380,10650,10450,7305540,7397780,8.85,1205.1
4,26/08/2019,10550,10506.92,10500,3639220,10650,10450,7360380,7022950,8.85,1205.1
5,23/08/2019,10700,10552.41,10400,6009530,10750,10300,17117730,13089780,8.85,1205.1
6,22/08/2019,10300,10342.95,10250,2733650,10400,10250,7547530,6512140,8.85,1205.1
7,21/08/2019,10250,10263.45,10300,2443720,10300,10200,5093980,5312360,8.85,1205.1
8,20/08/2019,10300,10256.04,10300,1236150,10300,10200,3427740,2946780,8.85,1205.1
9,19/08/2019,10250,10293.59,10350,1298090,10400,10200,3467540,3397980,8.85,1205.1
10,16/08/2019,10300,10324.43,10300,1934150,10450,10150,5497290,4362210,8.85,1205.1
11,15/08/2019,10350,10129.8,10050,3229580,10350,10000,6427260,5204370,8.85,1205.1
12,14/08/2019,10150,10221.46,10350,3673350,10350,10150,6315000,7727500,8.85,1205.1
13,13/08/2019,10200,10238.15,10300,4097420,10350,10150,7108960,8049520,8.85,1205.1
14,12/08/2019,10350,10362.63,10400,1447220,10450,10300,3128940,4183040,8.85,1205.1
15,09/08/2019,10350,10393.41,10450,2443760,10500,10350,4482500,4957150,8.85,1205.1
16,08/08/2019,10450,10406.63,10400,1509710,10450,10350,6202900,3665780,8.85,1205.1
17,07/08/2019,10400,10436.66,10450,1977070,10600,10400,6822260,4162240,8.85,1205.1
18,06/08/2019,10450,10356.51,10350,3117750,10500,10200,9943250,5679810,8.85,1205.1
19,05/08/2019,10450,10490.94,10550,2081320,10600,10400,3660170,4683900,8.85,1205.1
20,02/08/2019,10600,10562.65,10400,3080950,10800,10350,9181250,6288890,8.85,1205.1
21,01/08/2019,10500,10607.91,10700,5005510,10750,10500,7327370,8825630,8.85,1205.1
22,31/07/2019,10700,10731.02,10900,3284590,10900,10600,6115630,6276780,8.85,1205.1
23,30/07/2019,10850,10921.45,10950,2008890,11050,10850,4350920,5711450,8.85,1205.1
24,29/07/2019,10950,10985.8,11200,6831730,11200,10900,11461410,11913950,8.85,1205.1
25,26/07/2019,11150,11215.91,11200,2702500,11300,11150,7393270,6161760,8.85,1205.1
26,25/07/2019,11200,11271.84,11350,5858050,11350,11200,8996470,11467300,8.85,1205.1
27,24/07/2019,11350,11411.44,11500,4401900,11550,11350,8056970,10729670,8.85,1205.1
28,23/07/2019,11500,11536.73,11550,1904960,11600,11500,5474070,5623310,8.85,1205.1
29,22/07/2019,11500,11598.87,11650,2825190,11750,11500,4529110,8978640,8.85,1205.1
30,19/07/2019,11700,11667.55,11550,4763810,11750,11550,10799380,9713090,8.85,1205.1
31,18/07/2019,11550,11561.89,11550,3647500,11650,11500,7568210,8375480,8.85,1205.1
32,17/07/2019,11550,11537.63,11450,7842600,11650,11400,15175740,13251590,8.85,1205.1
33,16/07/2019,11400,11433.19,11400,3238030,11500,11300,8327660,9543790,8.85,1205.1
