,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,22750,22517.26,22200,4085710,22950,22200,0,0,5.93,760.53
1,29/08/2019,22250,22268.76,22350,224440,22400,22050,273460,416930,5.93,760.53
2,28/08/2019,22250,22230.15,22150,770890,22450,22100,1052450,1084520,5.93,760.53
3,27/08/2019,22050,22252.06,22200,930880,22500,22050,1920960,1237820,5.93,760.53
4,26/08/2019,22300,22243.94,22350,291630,22400,21950,363110,553480,5.93,760.53
5,23/08/2019,22500,22561.39,22450,577890,22700,22400,649760,839840,5.93,760.53
6,22/08/2019,22500,22418.21,22650,1282930,22650,22250,2459710,1586350,5.93,760.53
7,21/08/2019,22800,22634.7,22700,279880,22800,22550,364920,524520,5.93,760.53
8,20/08/2019,22850,22370.89,22350,736180,22850,22100,1931990,930840,5.93,760.53
9,19/08/2019,22400,22358.0,22600,342070,22600,22000,547570,648800,5.93,760.53
10,16/08/2019,22500,22410.35,22550,701060,22550,22150,1732220,1010380,5.93,760.53
11,15/08/2019,22700,22256.71,22000,599190,22700,22000,662460,853250,5.93,760.53
12,14/08/2019,22800,22796.32,22700,775520,22900,22700,1287270,1005120,5.93,760.53
13,13/08/2019,22650,22690.95,22800,372880,22850,22500,451940,614990,5.93,760.53
14,12/08/2019,22900,22756.52,22700,3045720,23050,22450,3456670,3401690,5.93,760.53
15,09/08/2019,23000,22465.75,22200,1853800,23000,22200,4497350,2103570,5.93,760.53
16,08/08/2019,22350,22163.83,22000,938150,22400,21900,2350690,1116990,5.93,760.53
17,07/08/2019,22050,21952.19,21850,1080530,22100,21800,1592930,1333360,5.93,760.53
18,06/08/2019,21950,21866.45,21700,248600,22100,21700,452070,748140,5.93,760.53
19,05/08/2019,22500,22161.92,22350,315090,22500,21700,438570,428900,5.93,760.53
20,02/08/2019,22450,22530.69,22550,199550,22750,22400,282700,477950,5.93,760.53
21,01/08/2019,22800,22458.43,22350,3059920,23000,22150,3784650,3469370,5.93,760.53
22,31/07/2019,22850,21945.38,21800,1519090,22850,21600,4285820,1747900,5.93,760.53
23,30/07/2019,21950,21900.64,22050,881070,22200,21700,993000,1151010,5.93,760.53
24,29/07/2019,22050,21832.23,21750,1120820,22100,21600,1479510,1438810,5.93,760.53
25,26/07/2019,21800,21748.39,21900,591400,22000,21550,714060,973060,5.93,760.53
26,25/07/2019,21850,21593.54,21100,1049110,22200,21050,1356730,1333260,5.93,760.53
27,24/07/2019,21150,21101.49,21000,222970,21200,21000,357850,301660,5.93,760.53
28,23/07/2019,21000,21147.56,21250,382550,21300,20950,550100,547440,5.93,760.53
29,22/07/2019,21250,21537.32,21700,471600,21950,21100,656980,706710,5.93,760.53
30,19/07/2019,21850,21934.06,21750,1312160,22250,21600,2549390,1606290,5.93,760.53
31,18/07/2019,21800,21811.97,21900,743170,22000,21600,849680,972420,5.93,760.53
32,17/07/2019,21850,21705.75,21650,1095470,21900,21450,2354990,1323950,5.93,760.53
33,16/07/2019,21600,21590.22,21550,1171410,21750,21350,1508260,1497840,5.93,760.53
34,15/07/2019,21500,21425.51,21550,677090,21700,21300,843660,870640,5.93,760.53
35,12/07/2019,21650,21722.27,21950,835640,21950,21500,1295400,1197570,5.93,760.53
36,11/07/2019,21800,21738.85,21600,467320,21950,21500,682040,677790,5.93,760.53
37,10/07/2019,21550,21526.73,21500,801190,21600,21400,1396620,990370,5.93,760.53
38,09/07/2019,21500,21425.29,21400,587950,21550,21300,675640,892930,5.93,760.53
39,08/07/2019,21500,21393.9,21400,582970,21600,21250,667160,673330,5.93,760.53
40,05/07/2019,21350,21278.47,21000,2011940,21650,20950,2556340,2414410,5.93,760.53
41,04/07/2019,21750,21641.58,21800,505000,21800,21500,832040,767630,5.93,760.53
42,03/07/2019,21800,21889.12,21800,1097760,22100,21700,1203820,1333210,5.93,760.53
43,02/07/2019,21800,21675.79,21750,907510,21900,21500,1170490,1154730,5.93,760.53
44,01/07/2019,21800,21413.46,21100,2136320,22250,20950,3241560,2425000,5.93,760.53
45,28/06/2019,21000,20929.46,21000,811870,21050,20750,1406580,1089940,5.93,760.53
46,27/06/2019,21000,21018.89,21050,758080,21200,20900,824900,952180,5.93,760.53
47,26/06/2019,21150,20947.01,20950,1179930,21150,20850,1487810,1346990,5.93,760.53
48,25/06/2019,20900,20859.9,20950,1089890,21050,20700,1219430,1281410,5.93,760.53
49,24/06/2019,21000,20574.44,20100,1180980,21050,20050,1475470,1299310,5.93,760.53
50,21/06/2019,20100,20091.48,20000,2083420,20250,19950,3359910,2326820,5.93,760.53
51,20/06/2019,20050,20165.33,20400,636290,20400,19950,776730,934190,5.93,760.53
52,19/06/2019,20450,21233.51,21500,777780,21550,20450,877430,1100560,5.93,760.53
53,18/06/2019,21400,21377.1,21350,953310,21600,21250,1086060,1099840,5.93,760.53
54,17/06/2019,21350,21180.37,21350,1103380,21400,21000,1843070,1337850,5.93,760.53
55,14/06/2019,21300,21268.07,21050,1551810,21450,21050,1917550,1828020,5.93,760.53
56,13/06/2019,21000,21469.51,21700,1211020,21800,21000,1365100,1369760,5.93,760.53
57,12/06/2019,21750,21722.19,21650,852170,21800,21550,970330,1055630,5.93,760.53
58,11/06/2019,21700,21574.42,21350,1378160,21900,21300,1599420,1535370,5.93,760.53
59,10/06/2019,21300,21032.62,21000,1167710,21350,20800,1358710,1327470,5.93,760.53
60,07/06/2019,21000,20810.44,20700,1041160,21100,20600,1171480,1162130,5.93,760.53
61,06/06/2019,20700,21010.75,21050,507740,21100,20600,630140,592500,5.93,760.53
62,05/06/2019,21050,21020.93,21000,886640,21100,20850,921280,953860,5.93,760.53
63,04/06/2019,21000,20952.86,20950,1090400,21100,20850,1189540,1415700,5.93,760.53
64,03/06/2019,20900,20716.73,20700,517070,20900,20650,575870,613620,5.93,760.53
65,31/05/2019,20700,20870.43,20950,540190,21000,20300,601080,705620,5.93,760.53
66,30/05/2019,20950,20949.75,20950,431270,21000,20850,470770,564210,5.93,760.53
67,29/05/2019,21000,20939.65,21050,516150,21100,20150,568070,659850,5.93,760.53
68,28/05/2019,21000,21117.54,21050,597560,21200,21000,817520,665000,5.93,760.53
69,27/05/2019,21100,21110.63,21150,531770,21200,21000,566790,631820,5.93,760.53
70,24/05/2019,21200,21186.15,21250,497070,21300,20900,538600,616430,5.93,760.53
71,23/05/2019,21300,21189.7,21200,496090,21300,21050,548720,583040,5.93,760.53
72,22/05/2019,21250,21227.93,21250,423640,21300,21100,472340,509510,5.93,760.53
73,21/05/2019,21250,21316.02,21350,696190,21450,21200,863770,827460,5.93,760.53
74,20/05/2019,21250,21177.88,21250,641660,21250,21000,730750,739470,5.93,760.53
75,17/05/2019,21250,21262.86,21200,495700,21350,21100,542880,616200,5.93,760.53
76,16/05/2019,21250,21351.29,21300,627550,21500,21250,695890,746660,5.93,760.53
77,15/05/2019,21250,20970.68,20900,972310,21300,20800,2300570,1117040,5.93,760.53
78,14/05/2019,20850,20791.2,20800,539940,20900,20600,591620,666520,5.93,760.53
79,13/05/2019,20750,20785.48,20900,543360,21000,20500,640950,698840,5.93,760.53
80,10/05/2019,20900,20901.79,21000,611670,21150,20700,708660,730180,5.93,760.53
81,09/05/2019,20950,20967.97,20900,830600,21100,20900,869480,950380,5.93,760.53
82,08/05/2019,20900,20774.42,20800,505670,20950,20600,562180,585590,5.93,760.53
83,07/05/2019,20800,21164.79,21400,472530,21450,20400,581170,669280,5.93,760.53
84,06/05/2019,21350,21433.86,21450,593920,21600,21250,633180,717610,5.93,760.53
85,03/05/2019,21450,21475.22,21450,1237100,21550,21350,1315690,1314700,5.93,760.53
