,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,13700,13728.26,14050,155810,14200,13600,0,0,9.05,1108.41
1,29/08/2019,14050,14220.25,14000,536840,14450,14000,730940,845000,9.05,1108.41
2,28/08/2019,13900,13400.84,13000,782190,13900,12800,1377330,789270,9.05,1108.41
3,27/08/2019,13000,13030.98,13200,326990,13200,12800,413300,371160,9.05,1108.41
4,26/08/2019,13150,13005.21,13000,261280,13300,12900,308130,316470,9.05,1108.41
5,23/08/2019,13100,13023.76,13050,46300,13150,12900,99580,113050,9.05,1108.41
6,22/08/2019,13050,12973.34,13000,89260,13200,12700,180200,129270,9.05,1108.41
7,21/08/2019,12800,12961.47,12500,37110,13000,12500,80860,102290,9.05,1108.41
8,20/08/2019,12700,12884.33,12900,20490,12900,12700,44950,90080,9.05,1108.41
9,19/08/2019,12800,12677.05,12800,14120,12800,12550,42970,45930,9.05,1108.41
10,16/08/2019,12650,12704.08,12700,58800,13000,12650,88050,109230,9.05,1108.41
11,15/08/2019,12600,12564.84,12800,17350,12800,12550,52310,57390,9.05,1108.41
12,14/08/2019,12550,12669.68,13000,4420,13000,12550,23450,54530,9.05,1108.41
13,13/08/2019,12550,12571.43,12700,7000,12700,12550,17700,40870,9.05,1108.41
14,12/08/2019,12700,12602.97,12700,12140,12700,12500,35540,28430,9.05,1108.41
15,09/08/2019,12700,12505.64,12550,22150,12700,12500,43620,37300,9.05,1108.41
16,08/08/2019,12700,12550.0,12400,2280,12700,12400,33100,23720,9.05,1108.41
17,07/08/2019,12700,12576.29,12500,45880,12700,12350,86390,87840,9.05,1108.41
18,06/08/2019,12700,12725.98,12800,56420,13000,12700,99460,117600,9.05,1108.41
19,05/08/2019,12800,12962.71,12850,73750,13200,12800,101220,134570,9.05,1108.41
20,02/08/2019,13000,13026.74,12900,46750,13150,12900,60630,110050,9.05,1108.41
21,01/08/2019,13000,13134.33,13000,50250,13250,12950,110770,133410,9.05,1108.41
22,31/07/2019,13150,13013.1,13000,57250,13250,12800,71530,123690,9.05,1108.41
23,30/07/2019,13000,12857.14,13000,16100,13000,12800,50350,66280,9.05,1108.41
24,29/07/2019,13000,13158.71,13200,32450,13300,13000,63390,106960,9.05,1108.41
25,26/07/2019,13200,13226.78,13250,43170,13300,13150,81530,185860,9.05,1108.41
26,25/07/2019,13250,13150.51,12900,124710,13300,12800,202590,213800,9.05,1108.41
27,24/07/2019,13000,12900.0,12800,19220,13000,12800,58120,65970,9.05,1108.41
28,23/07/2019,13000,13065.11,13000,46230,13200,12850,75020,92020,9.05,1108.41
29,22/07/2019,13100,13124.71,13000,21410,13400,13000,46010,88080,9.05,1108.41
30,19/07/2019,13300,13350.29,13400,15730,13450,13250,50660,145430,9.05,1108.41
31,18/07/2019,13400,13202.74,12900,149060,13400,12900,279560,258700,9.05,1108.41
32,17/07/2019,12900,12777.97,12800,58460,12950,12500,174290,150040,9.05,1108.41
33,16/07/2019,12800,12522.52,12600,77700,12800,12300,166020,155110,9.05,1108.41
34,15/07/2019,12800,13061.77,13200,52290,13250,12800,98830,188720,9.05,1108.41
35,12/07/2019,13200,13301.24,13500,72700,13500,13200,129490,186700,9.05,1108.41
36,11/07/2019,13400,13300.26,13300,129020,13450,13150,383880,226480,9.05,1108.41
37,10/07/2019,13000,13170.66,13000,136060,13500,12950,337360,249610,9.05,1108.41
38,09/07/2019,12800,12509.25,12200,67550,12900,12200,143740,149630,9.05,1108.41
39,08/07/2019,12300,12275.0,12300,11660,12300,12200,59060,28630,9.05,1108.41
40,05/07/2019,12200,12050.6,12100,15020,12200,12050,27490,41780,9.05,1108.41
41,04/07/2019,12150,12093.8,12200,29850,12300,12050,66090,52580,9.05,1108.41
42,03/07/2019,12050,12062.5,12100,3870,12100,12000,24340,39420,9.05,1108.41
43,02/07/2019,12200,12062.15,12000,37970,12200,12000,52060,62690,9.05,1108.41
44,01/07/2019,12100,12200.0,12300,2750,12300,12100,21600,50730,9.05,1108.41
45,28/06/2019,12300,12103.27,12100,304050,12300,12100,346560,369240,9.05,1108.41
46,27/06/2019,12300,12150.0,12000,3060,12300,12000,26870,65530,9.05,1108.41
47,26/06/2019,12400,12037.04,12000,28080,12400,12000,42530,84620,9.05,1108.41
48,25/06/2019,12000,12102.18,12500,305730,12500,12000,423330,391110,9.05,1108.41
49,24/06/2019,12500,12500.0,12500,2600,12500,12500,15850,76320,9.05,1108.41
50,21/06/2019,12500,12062.9,12250,42610,12600,11850,71440,76840,9.05,1108.41
51,20/06/2019,11900,11900.0,11900,12000,11900,11900,20350,108600,9.05,1108.41
52,19/06/2019,12300,12103.59,11900,18920,12300,11900,35780,94440,9.05,1108.41
53,18/06/2019,12200,11943.96,12200,57100,12200,11800,80470,167770,9.05,1108.41
54,17/06/2019,12400,12262.36,12450,21040,12450,12100,28490,201960,9.05,1108.41
55,14/06/2019,12600,12489.86,12300,12330,12600,12300,23690,86590,9.05,1108.41
56,13/06/2019,12600,12560.39,12600,4140,12600,12500,19820,137900,9.05,1108.41
57,12/06/2019,12600,12382.66,12700,22370,12700,12200,36250,149210,9.05,1108.41
58,11/06/2019,12700,12966.56,12300,556200,13000,12300,567730,737980,9.05,1108.41
59,10/06/2019,12550,12473.23,12450,18680,12550,12350,40950,59400,9.05,1108.41
60,07/06/2019,12600,12395.88,12300,61230,12600,12300,78230,109940,9.05,1108.41
61,06/06/2019,12250,12275.62,12300,17270,12300,12250,31050,41650,9.05,1108.41
62,05/06/2019,12300,12230.74,12300,27390,12300,12200,85150,103340,9.05,1108.41
63,04/06/2019,12200,12085.8,12050,67600,12200,12000,107690,166300,9.05,1108.41
64,03/06/2019,12000,11859.1,11700,51100,12100,11700,88400,102390,9.05,1108.41
65,31/05/2019,11700,11713.29,11900,5720,11900,11700,26290,56800,9.05,1108.41
66,30/05/2019,11950,11654.01,12200,30290,12200,11300,50400,75400,9.05,1108.41
67,29/05/2019,11950,11991.2,11600,18180,12400,11600,57060,66050,9.05,1108.41
68,28/05/2019,13550,13357.4,13700,2770,13700,13300,16700,39310,9.05,1108.41
69,27/05/2019,13200,13350.0,13500,7460,13500,13200,28870,59680,9.05,1108.41
70,24/05/2019,13700,13746.63,13850,3710,13850,13400,19720,44060,9.05,1108.41
71,23/05/2019,13500,13422.82,14000,7450,14000,13100,24960,33930,9.05,1108.41
72,22/05/2019,13400,13281.25,13650,10240,13700,13100,28090,43310,9.05,1108.41
73,21/05/2019,13400,13425.0,13500,2280,13500,13300,14130,50890,9.05,1108.41
74,20/05/2019,13500,13513.51,13800,1850,13850,13500,13700,62870,9.05,1108.41
75,17/05/2019,13500,13500.0,13500,50,13500,13500,12240,41140,9.05,1108.41
76,16/05/2019,13500,13350.0,13050,480,13800,13050,14810,36390,9.05,1108.41
77,15/05/2019,13600,13559.32,13500,7080,13800,13100,25430,68080,9.05,1108.41
78,14/05/2019,13200,13182.1,13000,16310,13300,13000,25880,75510,9.05,1108.41
79,13/05/2019,13800,13815.79,13800,6080,14100,13800,24270,71780,9.05,1108.41
80,10/05/2019,13300,13248.41,13700,7850,13700,13000,22900,45810,9.05,1108.41
81,09/05/2019,13400,12831.86,13800,4520,13800,12750,34270,31660,9.05,1108.41
82,08/05/2019,13200,13055.0,12950,45270,13550,12700,74830,67400,9.05,1108.41
83,07/05/2019,12950,12703.1,12700,6770,13000,12700,23740,30680,9.05,1108.41
84,06/05/2019,13000,12860.31,13000,31570,13400,12700,47620,42700,9.05,1108.41
85,03/05/2019,13400,13156.53,13100,19230,13400,12600,95240,42980,9.05,1108.41
86,02/05/2019,13350,13443.68,13500,49540,13500,13300,70210,103680,9.05,1108.41
87,26/04/2019,13950,13675.0,13400,50,13950,13400,30080,53950,9.05,1108.41
88,25/04/2019,13950,13681.48,13600,23170,14000,13400,52940,111860,9.05,1108.41
89,24/04/2019,14000,14000.0,14000,1050,14000,14000,42530,75340,9.05,1108.41
90,23/04/2019,13800,13689.6,13200,27320,14000,13100,55250,43200,9.05,1108.41
91,22/04/2019,13600,13625.0,13600,2080,13700,13600,15710,12750,9.05,1108.41
92,19/04/2019,13750,13455.04,13800,14790,13800,13400,25830,41830,9.05,1108.41
93,18/04/2019,13800,13650.0,13500,4030,13800,13500,30350,24230,9.05,1108.41
94,17/04/2019,14000,13819.58,13750,5210,14250,13700,23080,44140,9.05,1108.41
95,16/04/2019,13800,14050.0,14300,3350,14300,13800,19400,31390,9.05,1108.41
96,12/04/2019,13800,13629.16,13800,6310,13850,13500,30460,43070,9.05,1108.41
97,11/04/2019,13800,13825.0,13850,1550,13850,13800,13380,35910,9.05,1108.41
98,10/04/2019,13900,13746.26,13650,36810,13950,13100,83990,94810,9.05,1108.41
99,09/04/2019,13900,13950.0,14000,4780,14000,13900,17030,55960,9.05,1108.41
100,08/04/2019,13950,14012.5,14000,9410,14150,13950,26790,85970,9.05,1108.41
101,05/04/2019,13950,14051.52,14150,4270,14200,13950,20050,46290,9.05,1108.41
102,04/04/2019,14200,14137.5,14200,3530,14200,13950,20730,80190,9.05,1108.41
103,03/04/2019,14200,14038.88,13900,4630,14200,13900,51820,78440,9.05,1108.41
104,02/04/2019,14200,14246.79,14300,25690,14450,14200,71220,126340,9.05,1108.41
105,01/04/2019,14200,14161.44,13900,49430,14300,13900,142140,131140,9.05,1108.41
106,29/03/2019,14000,14200.0,14400,36360,14400,14000,115940,84880,9.05,1108.41
107,28/03/2019,14100,14195.01,14250,22050,14250,14100,75970,67000,9.05,1108.41
108,27/03/2019,14200,14209.12,14000,52220,14400,14000,137500,134790,9.05,1108.41
109,26/03/2019,13900,13811.95,13800,53070,13900,13800,99240,133510,9.05,1108.41
110,25/03/2019,13800,14006.62,13800,63470,14250,13800,80820,147310,9.05,1108.41
111,22/03/2019,14300,14325.0,14300,8850,14450,14250,54290,70930,9.05,1108.41
112,21/03/2019,14300,14217.8,14300,23140,14500,14100,132540,87610,9.05,1108.41
113,20/03/2019,14100,14015.95,14200,47660,14200,13700,147290,108620,9.05,1108.41
114,19/03/2019,14000,14039.41,14250,109620,14250,14000,229370,213770,9.05,1108.41
115,18/03/2019,14000,14057.65,14000,90200,14300,13950,147560,157360,9.05,1108.41
116,15/03/2019,14000,14156.29,14600,126940,14600,14000,179010,292340,9.05,1108.41
117,14/03/2019,14500,14285.71,14850,55720,14850,14200,126580,195320,9.05,1108.41
118,13/03/2019,14500,14582.17,14800,143120,14900,14300,264890,421470,9.05,1108.41
119,12/03/2019,14700,14491.5,13850,266570,14750,13600,464790,466890,9.05,1108.41
120,11/03/2019,13850,13468.62,13150,222740,13850,13000,378250,317350,9.05,1108.41
121,08/03/2019,13150,13063.03,12700,160070,13150,12600,303930,283580,9.05,1108.41
122,07/03/2019,13000,13058.9,13000,121220,13200,12800,192640,244240,9.05,1108.41
123,06/03/2019,13000,13021.09,13000,40780,13200,12800,122320,184120,9.05,1108.41
124,05/03/2019,13000,13014.68,12250,76990,13250,12200,155480,170440,9.05,1108.41
125,04/03/2019,12400,12305.32,12300,71270,12400,12300,138200,129050,9.05,1108.41
126,01/03/2019,12200,12146.83,12100,96980,12400,12100,163560,205520,9.05,1108.41
127,28/02/2019,12100,12102.5,12200,32390,12200,12000,86980,156070,9.05,1108.41
128,27/02/2019,12250,12076.58,12300,6790,12300,12000,23450,69560,9.05,1108.41
129,26/02/2019,12200,12293.97,12200,37010,12500,12150,118030,145590,9.05,1108.41
130,25/02/2019,12450,12073.45,12200,123080,12450,11900,217650,170380,9.05,1108.41
131,22/02/2019,11900,11910.67,12300,4030,12300,11900,12580,75980,9.05,1108.41
132,21/02/2019,12300,12200.36,11900,111800,12600,11800,233800,152120,9.05,1108.41
133,20/02/2019,11850,11853.09,11800,5990,12100,11700,23020,67560,9.05,1108.41
134,19/02/2019,11800,11916.58,12000,10070,12100,11800,23480,54630,9.05,1108.41
135,18/02/2019,12000,11931.82,12250,1760,12250,11800,18300,28790,9.05,1108.41
