,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,23250,23215.44,23150,605890,23300,23150,0,0,21.78,2759.2
1,29/08/2019,23000,22931.42,22900,437740,23000,22800,1249360,776770,21.78,2759.2
2,28/08/2019,22750,22761.44,22600,119720,22800,22600,431820,262740,21.78,2759.2
3,27/08/2019,22650,22732.85,22500,203670,22800,22500,531890,455520,21.78,2759.2
4,26/08/2019,22550,22505.19,22500,53010,22550,22450,191190,138080,21.78,2759.2
5,23/08/2019,22600,22469.8,22250,138230,22700,22250,788480,315130,21.78,2759.2
6,22/08/2019,22450,22390.35,22400,150020,22450,22250,384570,333090,21.78,2759.2
7,21/08/2019,22400,22278.66,22350,283500,22400,22050,651110,460340,21.78,2759.2
8,20/08/2019,22350,22264.49,22400,178760,22400,22200,360150,437640,21.78,2759.2
9,19/08/2019,22400,22303.25,22400,138500,22550,22150,262520,362090,21.78,2759.2
10,16/08/2019,22450,22336.46,22400,134220,22450,22150,325070,410500,21.78,2759.2
11,15/08/2019,22400,22306.11,22300,136420,22400,22150,305730,442730,21.78,2759.2
12,14/08/2019,22450,22404.32,22600,216610,22600,22200,452660,528610,21.78,2759.2
13,13/08/2019,22600,22457.78,22500,440560,22650,22000,662920,727320,21.78,2759.2
14,12/08/2019,22600,22574.96,22800,73710,22800,22400,233190,260940,21.78,2759.2
15,09/08/2019,22600,22566.1,22550,310510,22700,22300,461940,595220,21.78,2759.2
16,08/08/2019,22550,22440.37,22500,192020,22550,22150,312050,394850,21.78,2759.2
17,07/08/2019,22500,22418.96,22500,103350,22600,22300,242700,411860,21.78,2759.2
18,06/08/2019,22500,22186.23,22500,148200,22500,22000,304160,443540,21.78,2759.2
19,05/08/2019,22500,22418.0,22100,217370,23000,22000,295870,380930,21.78,2759.2
20,02/08/2019,22150,22145.34,22450,488500,22450,21900,841800,746180,21.78,2759.2
21,01/08/2019,22500,22582.87,22800,188550,22800,22450,478890,637750,21.78,2759.2
22,31/07/2019,22800,22774.39,22850,154340,22850,22500,345850,406450,21.78,2759.2
23,30/07/2019,22800,22804.07,22900,113050,22900,22650,192580,391270,21.78,2759.2
24,29/07/2019,22900,22865.25,22950,176250,22950,22800,331470,464100,21.78,2759.2
25,26/07/2019,22950,22897.53,22950,450660,23000,22800,635510,682170,21.78,2759.2
26,25/07/2019,23000,22941.13,23000,363670,23050,22800,485990,624690,21.78,2759.2
27,24/07/2019,23050,23024.2,23200,208650,23200,22800,387050,615020,21.78,2759.2
28,23/07/2019,23100,23039.65,23250,216670,23250,22850,558840,1315720,21.78,2759.2
29,22/07/2019,23000,22784.17,22750,297970,23000,22650,496960,476850,21.78,2759.2
30,19/07/2019,22800,23010.26,23200,544670,23300,22800,894320,1009420,21.78,2759.2
31,18/07/2019,23200,23190.02,23400,98620,23400,23100,327320,244880,21.78,2759.2
32,17/07/2019,23400,23384.85,23500,520850,23500,23200,860290,827630,21.78,2759.2
33,16/07/2019,23300,23382.76,23200,1294800,23500,23200,1809770,1917760,21.78,2759.2
34,15/07/2019,23050,22952.4,22900,518900,23050,22850,903020,707370,21.78,2759.2
35,12/07/2019,22900,22911.73,23000,227700,23000,22800,431660,582210,21.78,2759.2
36,11/07/2019,22950,22963.29,23000,387880,23050,22900,482480,644940,21.78,2759.2
37,10/07/2019,23000,22999.15,23100,374840,23100,22900,519880,653380,21.78,2759.2
38,09/07/2019,23000,22994.81,23000,406570,23100,22900,533410,695730,21.78,2759.2
39,08/07/2019,23000,23038.65,23200,365820,23200,22800,447070,674500,21.78,2759.2
40,05/07/2019,23100,23128.47,23300,355190,23300,23000,485540,858780,21.78,2759.2
41,04/07/2019,23200,23135.44,23200,943790,23250,23050,1362520,1263350,21.78,2759.2
42,03/07/2019,23100,23067.99,23250,688790,23250,22950,1116750,1222510,21.78,2759.2
43,02/07/2019,23000,22964.03,23200,423140,23200,22900,592630,938800,21.78,2759.2
44,01/07/2019,22900,22960.27,22850,300040,23050,22800,559420,765050,21.78,2759.2
45,28/06/2019,22850,22686.8,22950,347030,22950,22500,572470,690180,21.78,2759.2
46,27/06/2019,22700,22675.1,22700,349370,22800,22550,614060,655350,21.78,2759.2
47,26/06/2019,22700,22592.76,22950,612320,22950,22500,828570,1148500,21.78,2759.2
48,25/06/2019,22900,22773.57,22950,760970,23000,22400,1184090,1195130,21.78,2759.2
49,24/06/2019,22950,23176.24,23600,495680,23600,22950,747500,1276200,21.78,2759.2
50,21/06/2019,23600,23612.52,23800,501090,23800,23300,581320,1184570,21.78,2759.2
51,20/06/2019,23600,23418.65,23600,690390,23650,23200,957570,1449510,21.78,2759.2
52,19/06/2019,23400,23408.13,23100,301690,23800,23100,631800,1357890,21.78,2759.2
53,18/06/2019,23550,23992.89,23400,787400,25000,23400,1299570,3059540,21.78,2759.2
