,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,77700,77517.58,77000,280130,77700,77000,0,0,25.48,4658.84
1,29/08/2019,76800,76785.71,76900,422240,77400,76500,965790,563110,25.48,4658.84
2,28/08/2019,77000,77055.42,76800,588810,77300,76800,1099180,893690,25.48,4658.84
3,27/08/2019,76500,77348.45,78200,1116480,78800,76000,1773870,1729610,25.48,4658.84
4,26/08/2019,77800,78031.0,78200,672220,78600,77500,1235290,1287730,25.48,4658.84
5,23/08/2019,79200,79579.18,80000,451500,80200,79200,754850,1236630,25.48,4658.84
6,22/08/2019,80000,80092.9,80200,762090,80400,79600,1218470,1563500,25.48,4658.84
7,21/08/2019,80000,79050.9,76900,1927720,80300,76700,2883960,2689790,25.48,4658.84
8,20/08/2019,76900,77040.73,77800,453760,77800,76700,781240,1092100,25.48,4658.84
9,19/08/2019,76800,77490.83,77900,692740,78500,76700,1242880,1360740,25.48,4658.84
10,16/08/2019,77900,78087.01,77800,551180,78600,77800,960690,1159260,25.48,4658.84
11,15/08/2019,79000,76511.28,74600,510330,79000,74600,1196280,719120,25.48,4658.84
12,14/08/2019,76300,76887.95,78000,354750,78000,76300,664960,606610,25.48,4658.84
13,13/08/2019,76300,76699.62,77200,809300,77500,75900,1223280,1102530,25.48,4658.84
14,12/08/2019,77700,77848.42,78500,475000,78800,77200,672990,864070,25.48,4658.84
15,09/08/2019,78500,78943.99,78700,638630,79400,78400,851370,1194240,25.48,4658.84
16,08/08/2019,78500,78869.61,78500,612530,79800,78100,1012410,1093700,25.48,4658.84
17,07/08/2019,78400,77405.21,76300,567830,78400,76300,1092710,782880,25.48,4658.84
18,06/08/2019,76300,76371.41,76400,1172520,76900,75800,1708290,1466100,25.48,4658.84
19,05/08/2019,77400,78076.43,79200,857570,79700,77100,1241540,1161990,25.48,4658.84
20,02/08/2019,79100,79475.0,79700,680000,80500,79100,1083220,1236120,25.48,4658.84
21,01/08/2019,80500,80072.38,80200,538850,80500,79700,778960,784790,25.48,4658.84
22,31/07/2019,80200,80026.13,80000,512820,80500,79600,807670,791110,25.48,4658.84
23,30/07/2019,80600,81609.01,82000,1133490,82500,80600,1464800,1979280,25.48,4658.84
24,29/07/2019,81000,79547.64,78500,986830,81000,78300,1624340,1344100,25.48,4658.84
25,26/07/2019,78500,78950.61,77700,942260,79700,77500,1251050,1631740,25.48,4658.84
26,25/07/2019,77700,77446.65,76900,457360,77800,76700,742140,812380,25.48,4658.84
27,24/07/2019,76900,77593.4,79500,1380620,79500,76500,2069540,2281900,25.48,4658.84
28,23/07/2019,78900,78987.64,78900,626060,79300,78500,1009050,1144060,25.48,4658.84
29,22/07/2019,79000,79062.24,79000,930520,79500,78700,1340050,1604820,25.48,4658.84
30,19/07/2019,79000,78703.79,76400,1316760,79800,76400,2190220,2277260,25.48,4658.84
31,18/07/2019,76400,76424.28,75900,858680,77200,75600,1316420,1555140,25.48,4658.84
32,17/07/2019,76200,76492.8,76500,802350,77100,75800,1215090,1479020,25.48,4658.84
33,16/07/2019,77200,76621.61,75500,1901200,78000,75400,2726710,3093440,25.48,4658.84
34,15/07/2019,75000,74486.43,73700,1089930,75000,73700,1653770,1789180,25.48,4658.84
35,12/07/2019,73700,74000.5,74000,926210,74500,73600,1213960,1670910,25.48,4658.84
36,11/07/2019,74000,73615.75,72600,1286980,74600,72600,1916700,2212160,25.48,4658.84
37,10/07/2019,72500,72454.47,72500,639160,72700,71900,831360,1178970,25.48,4658.84
38,09/07/2019,71900,71106.13,71500,668550,71900,70600,1299150,1260420,25.48,4658.84
39,08/07/2019,71300,71498.69,72000,723300,72300,71000,1207620,1381910,25.48,4658.84
40,05/07/2019,72600,72357.97,72500,425620,72600,72000,732970,1203870,25.48,4658.84
41,04/07/2019,72500,71826.92,70000,1125010,72500,69700,1852290,1909640,25.48,4658.84
42,03/07/2019,69600,69976.91,70500,796720,71000,69600,1592330,1918620,25.48,4658.84
43,02/07/2019,70500,70905.18,71500,363020,71500,70300,587170,1321570,25.48,4658.84
44,01/07/2019,71300,71333.36,71000,565640,71900,70900,950060,1346030,25.48,4658.84
45,28/06/2019,70500,69278.68,69600,830140,72000,68400,1447220,1322090,25.48,4658.84
46,27/06/2019,69500,69790.68,71000,1187150,71000,69400,1925890,1774940,25.48,4658.84
47,26/06/2019,70500,71406.65,72400,918850,72500,70500,1264430,1695820,25.48,4658.84
48,25/06/2019,72400,72362.09,72800,390840,72800,72000,682700,896220,25.48,4658.84
49,24/06/2019,73000,72728.63,71500,1407410,73800,71000,2060940,2153390,25.48,4658.84
