,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,22100,21859.89,21700,339600,22500,21400,0,0,0,-187.89
1,29/08/2019,21800,22827.24,24000,898300,24500,21800,947000,1076400,0,-187.89
2,28/08/2019,24200,24905.89,25200,321100,25700,24100,456000,522600,0,-187.89
3,27/08/2019,24700,24499.87,22500,849800,24700,22500,1070000,849800,0,-187.89
4,26/08/2019,22500,22608.21,22700,204600,22900,22400,264000,400900,0,-187.89
5,23/08/2019,22900,22575.66,22900,143400,22900,22300,297100,291800,0,-187.89
6,22/08/2019,22900,23157.5,23000,135300,23800,22700,207300,439500,0,-187.89
7,21/08/2019,23000,22674.52,22500,77700,23000,22300,325700,246800,0,-187.89
8,20/08/2019,22700,22462.74,21400,305400,23400,20900,491100,485400,0,-187.89
9,19/08/2019,21400,22298.81,23300,337300,23500,21400,386300,438500,0,-187.89
10,16/08/2019,23300,23820.0,24200,369500,24600,23300,522500,534700,0,-187.89
11,15/08/2019,24500,24111.88,23400,351800,24900,22100,576400,533300,0,-187.89
12,14/08/2019,23900,24041.32,24400,360400,24900,23300,574300,584900,0,-187.89
13,13/08/2019,24200,23501.46,22000,752700,24200,22000,990400,837700,0,-187.89
14,12/08/2019,22000,21511.65,21900,272100,22200,20800,551500,354200,0,-187.89
15,09/08/2019,20800,20904.51,20200,623600,22000,19500,945000,894900,0,-187.89
16,08/08/2019,20500,20531.85,20500,622300,20700,19600,729200,770200,0,-187.89
17,07/08/2019,18900,18890.17,18900,165800,18900,18200,761900,165800,0,-187.89
18,06/08/2019,17200,16493.42,15400,2005500,17200,14700,2910500,2005500,0,-187.89
19,05/08/2019,15700,15975.13,17000,448000,18000,15400,613000,583000,0,-187.89
20,02/08/2019,17100,17515.65,18800,664100,18900,17100,664100,948900,0,-187.89
21,01/08/2019,18900,19166.72,20000,304400,20000,18700,372800,516800,0,-187.89
22,31/07/2019,19600,19306.81,19600,798500,19600,18400,1038100,798500,0,-187.89
23,30/07/2019,17900,17861.18,16900,205300,17900,16900,441700,205300,0,-187.89
