,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,89500,89602.91,89100,230100,90500,89000,0,0,0,8118.72
1,29/08/2019,89300,89709.73,90000,168500,90500,89000,364000,285800,0,8118.72
2,28/08/2019,90000,90384.39,90700,245400,91200,89500,386500,374100,0,8118.72
3,27/08/2019,90700,90340.37,88000,541500,91800,88000,803300,675600,0,8118.72
4,26/08/2019,87500,87363.42,86500,161300,88100,86500,383500,265200,0,8118.72
5,23/08/2019,87000,86779.21,86500,298200,88000,85800,582500,408800,0,8118.72
6,22/08/2019,86500,87420.82,89000,421700,89000,86500,675900,599300,0,8118.72
7,21/08/2019,88800,88997.98,89000,292100,89800,88300,402700,395000,0,8118.72
8,20/08/2019,89800,88829.14,89800,283500,89800,88000,496800,364800,0,8118.72
9,19/08/2019,90600,89249.48,89000,426400,90600,88000,627400,495300,0,8118.72
10,16/08/2019,89500,90317.76,90700,585100,92500,88800,751700,769700,0,8118.72
11,15/08/2019,90000,89210.13,89100,608800,90700,87800,753200,749200,0,8118.72
12,14/08/2019,89100,87670.51,86200,712400,89700,85400,942900,795800,0,8118.72
13,13/08/2019,85900,85825.27,86600,282500,86600,84600,427900,374200,0,8118.72
14,12/08/2019,86500,86694.54,86500,543500,88000,85800,655100,680800,0,8118.72
15,09/08/2019,85600,85797.21,85100,312100,86700,84700,486800,453800,0,8118.72
16,08/08/2019,85500,86129.39,86500,270800,87200,85400,422900,436600,0,8118.72
17,07/08/2019,86200,85063.14,84100,654300,86900,83000,878000,746400,0,8118.72
18,06/08/2019,84100,84444.14,84500,447200,86500,83000,656500,615900,0,8118.72
19,05/08/2019,85500,85300.81,85000,429800,86800,83700,585400,604800,0,8118.72
20,02/08/2019,85000,82898.65,81200,794900,85000,80000,991500,865100,0,8118.72
21,01/08/2019,81100,79659.11,76400,727500,81400,76400,952600,827100,0,8118.72
22,31/07/2019,76400,75950.49,74500,246200,76700,74500,362900,330400,0,8118.72
23,30/07/2019,74100,75270.02,76000,374600,76800,74000,454300,496100,0,8118.72
24,29/07/2019,74900,75290.09,77000,406500,77200,74000,511700,521500,0,8118.72
25,26/07/2019,77200,77299.33,77500,133600,78100,76900,212500,243600,0,8118.72
26,25/07/2019,77800,78323.78,79300,262800,79300,77400,292300,420800,0,8118.72
27,24/07/2019,78000,78650.7,79000,313800,79600,77700,362900,484000,0,8118.72
28,23/07/2019,77800,77054.22,76200,324600,78100,76000,433900,435000,0,8118.72
29,22/07/2019,76200,77605.56,78600,384700,80100,76100,456400,511900,0,8118.72
30,19/07/2019,78800,80278.71,79000,403400,81700,78800,494800,539200,0,8118.72
31,18/07/2019,79000,78772.5,79200,297500,79300,78000,388700,365300,0,8118.72
32,17/07/2019,79300,78758.14,76600,610300,80300,76300,676800,693300,0,8118.72
33,16/07/2019,76800,76668.32,74800,296700,77500,74400,418500,432500,0,8118.72
34,15/07/2019,74300,74274.43,75000,178700,75000,73900,368500,311600,0,8118.72
35,12/07/2019,74400,72286.53,69200,949700,75600,69000,1194300,1086200,0,8118.72
36,11/07/2019,69000,68884.84,68000,260500,69300,68000,443700,394700,0,8118.72
37,10/07/2019,68100,68521.81,69100,270000,69400,68000,376500,406900,0,8118.72
38,09/07/2019,69100,69024.04,68000,319500,69500,67900,444000,466000,0,8118.72
39,08/07/2019,68000,68247.8,68000,370500,69900,66900,565600,529700,0,8118.72
40,05/07/2019,68000,67791.27,65900,379200,68500,65900,603600,566700,0,8118.72
41,04/07/2019,65900,65834.9,66000,208900,66100,65200,301900,367600,0,8118.72
42,03/07/2019,66000,65668.82,63000,735400,66500,62100,887700,912200,0,8118.72
43,02/07/2019,61100,60965.48,61200,47800,61500,60600,107300,136800,0,8118.72
44,01/07/2019,61200,61112.29,61000,89500,61900,60500,143800,160000,0,8118.72
45,28/06/2019,60100,60335.78,54700,105100,60700,54700,141200,156500,0,8118.72
46,27/06/2019,60700,60671.64,60900,87800,61000,60300,125100,197000,0,8118.72
47,26/06/2019,61000,60883.47,60800,83500,61300,60700,138500,162800,0,8118.72
48,25/06/2019,60800,61038.28,61500,163000,61700,60800,232200,260100,0,8118.72
49,24/06/2019,61700,61771.15,61800,66200,62000,61400,107100,132100,0,8118.72
50,21/06/2019,62000,61876.84,62200,91100,62900,61200,150200,173500,0,8118.72
51,20/06/2019,62000,61545.4,61100,148900,62000,60500,228000,211500,0,8118.72
52,19/06/2019,60900,60847.47,60800,59200,61300,60800,103300,122300,0,8118.72
53,18/06/2019,60800,60883.65,60900,52000,61700,60600,103500,92900,0,8118.72
54,17/06/2019,61300,60881.14,61400,75300,61900,60500,149800,114000,0,8118.72
55,14/06/2019,61500,61505.23,61600,93700,62000,61000,156800,134500,0,8118.72
56,13/06/2019,61600,61919.58,62000,113400,62300,61600,298400,178300,0,8118.72
57,12/06/2019,62300,62809.94,63000,87500,63400,62300,172500,166200,0,8118.72
58,11/06/2019,63100,63111.32,62500,248200,63800,62100,366100,337700,0,8118.72
59,10/06/2019,62000,61956.84,61800,108900,62300,61800,205900,176300,0,8118.72
60,07/06/2019,61800,61375.81,61000,79800,61900,60600,192700,142700,0,8118.72
61,06/06/2019,60600,60413.09,60700,51200,60900,60100,92500,93800,0,8118.72
62,05/06/2019,60800,61145.99,60000,71100,62000,60000,106300,125700,0,8118.72
63,04/06/2019,61300,61094.89,61200,56700,61400,60900,112700,92800,0,8118.72
64,03/06/2019,61000,61257.65,62500,100600,62500,60900,192600,144900,0,8118.72
65,31/05/2019,64200,64281.72,64900,97900,64900,64000,122900,168200,0,8118.72
66,30/05/2019,64900,65000.1,65400,97100,65700,64300,161800,175800,0,8118.72
67,29/05/2019,65400,65675.94,65000,270600,66500,64900,346200,452900,0,8118.72
68,28/05/2019,64800,64390.35,63600,376200,65900,63000,486400,496300,0,8118.72
69,27/05/2019,63100,63197.83,62500,119800,63800,62000,197700,215300,0,8118.72
70,24/05/2019,61900,62148.96,62400,52700,62600,61900,72500,98300,0,8118.72
71,23/05/2019,62700,62504.47,62700,42500,62800,62300,76400,88200,0,8118.72
72,22/05/2019,62800,62719.95,62800,44100,63000,62500,79700,103400,0,8118.72
73,21/05/2019,62600,62832.52,62600,77500,63300,62400,124300,150200,0,8118.72
74,20/05/2019,63200,62887.33,62400,88400,63300,62100,128800,140900,0,8118.72
75,17/05/2019,62400,62239.59,62500,24500,63000,62000,52700,69100,0,8118.72
76,16/05/2019,62500,63195.56,64200,99000,64200,62500,160300,150900,0,8118.72
77,15/05/2019,63200,62458.31,62000,168400,63500,61600,336700,228000,0,8118.72
78,14/05/2019,61400,61376.19,61700,42000,61700,61200,67600,112600,0,8118.72
79,13/05/2019,61700,61554.37,61200,101900,61800,61100,128900,155300,0,8118.72
80,10/05/2019,61100,61051.03,60700,68000,62200,60500,164100,92400,0,8118.72
81,09/05/2019,60900,61308.86,62200,116200,62500,60900,190100,200100,0,8118.72
82,08/05/2019,62100,62118.1,62800,56900,62800,61900,88300,115300,0,8118.72
83,07/05/2019,62600,62637.78,62200,39700,63500,62200,76400,122800,0,8118.72
84,06/05/2019,62500,62431.91,63500,121900,63500,61800,201300,153300,0,8118.72
85,03/05/2019,63400,63505.2,63500,78900,63900,63200,150100,117200,0,8118.72
86,02/05/2019,63500,63767.36,64900,86100,64900,63000,149900,141200,0,8118.72
87,26/04/2019,64100,63942.83,64500,99000,64500,63500,196900,157800,0,8118.72
88,25/04/2019,64500,64640.77,64200,13000,65000,64200,107900,104900,0,8118.72
89,24/04/2019,64900,64823.73,64500,100300,65300,64000,271100,166000,0,8118.72
90,23/04/2019,64200,64208.74,64300,62900,65000,63200,223700,127100,0,8118.72
91,22/04/2019,64200,64550.52,66100,47700,66100,64100,154900,141600,0,8118.72
92,19/04/2019,66100,64916.36,63900,82500,66300,63800,267500,116400,0,8118.72
93,18/04/2019,63900,63780.27,63500,81600,64100,63400,187400,116100,0,8118.72
