,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,123500,123238.64,122500,220710,123900,122000,0,0,7.17,1393.94
1,29/08/2019,122500,121894.08,123500,350460,123500,121100,640280,645340,7.17,1393.94
2,28/08/2019,122000,122440.57,122200,242730,123500,121900,486390,455970,7.17,1393.94
3,27/08/2019,122500,123813.12,124900,397260,125700,122500,631470,936360,7.17,1393.94
4,26/08/2019,124800,123942.91,125000,355930,125000,123400,553830,658990,7.17,1393.94
5,23/08/2019,125000,125500.24,126100,513250,126100,124600,894610,946180,7.17,1393.94
6,22/08/2019,126100,124550.2,123000,671970,126500,122700,1133180,1064950,7.17,1393.94
7,21/08/2019,122400,122134.32,121000,252820,122500,121000,509070,573440,7.17,1393.94
8,20/08/2019,121000,121811.76,121900,206540,122500,121000,329070,503020,7.17,1393.94
9,19/08/2019,121900,121910.83,122500,211950,122500,121500,448470,527870,7.17,1393.94
10,16/08/2019,122000,121679.43,119600,347380,122300,119600,592400,692230,7.17,1393.94
11,15/08/2019,121000,119732.82,117000,327120,121000,117000,657110,496820,7.17,1393.94
12,14/08/2019,118600,118709.08,119500,302420,120000,118200,663300,513200,7.17,1393.94
13,13/08/2019,118100,118464.22,119900,310330,120000,118000,612170,565370,7.17,1393.94
14,12/08/2019,120000,120249.4,120200,107460,121200,120000,222450,283830,7.17,1393.94
15,09/08/2019,120200,121486.82,122000,400990,122500,120200,579350,661180,7.17,1393.94
16,08/08/2019,122000,120290.92,118000,545170,122500,118000,1216900,751750,7.17,1393.94
17,07/08/2019,118000,118603.84,119800,345950,120200,117600,738930,668200,7.17,1393.94
18,06/08/2019,119800,117319.23,116000,441590,119800,115500,849520,594720,7.17,1393.94
19,05/08/2019,118000,120120.52,122100,760020,122100,118000,1084170,1400290,7.17,1393.94
20,02/08/2019,122500,122352.62,122000,483120,123100,121900,815510,826970,7.17,1393.94
