,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,14000,13889.51,14050,311890,14050,13800,0,0,9.1,1303.25
1,29/08/2019,14000,13799.3,14050,350670,14150,13600,652510,776440,9.1,1303.25
2,28/08/2019,14050,13972.97,13950,120590,14100,13900,244650,342100,9.1,1303.25
3,27/08/2019,13950,14067.96,14400,489410,14400,13950,597000,852050,9.1,1303.25
4,26/08/2019,14300,14241.66,14350,269140,14400,14150,440570,578530,9.1,1303.25
5,23/08/2019,14400,14436.66,14600,95590,14600,14400,228040,308130,9.1,1303.25
6,22/08/2019,14600,14537.96,14650,189160,14650,14450,1353250,413450,9.1,1303.25
7,21/08/2019,14550,14582.14,14600,261210,14650,14500,442400,686550,9.1,1303.25
8,20/08/2019,14650,14700.34,14900,116800,14900,14650,249450,475240,9.1,1303.25
9,19/08/2019,14700,14823.73,14700,116300,15000,14700,252290,532920,9.1,1303.25
10,16/08/2019,14700,14994.73,14650,1005620,15350,14400,2105050,1653590,9.1,1303.25
11,15/08/2019,14650,14499.77,14400,371730,14650,14150,565860,608150,9.1,1303.25
12,14/08/2019,14500,14512.07,14500,123070,14650,14450,216510,497880,9.1,1303.25
13,13/08/2019,14500,14466.36,14500,217470,14600,14350,366080,528660,9.1,1303.25
14,12/08/2019,14600,14600.63,14650,143350,14650,14550,237560,396900,9.1,1303.25
15,09/08/2019,14600,14611.13,14700,235300,14700,14500,352660,715000,9.1,1303.25
16,08/08/2019,14600,14530.55,14400,431780,14600,14400,671740,800580,9.1,1303.25
17,07/08/2019,14650,14554.51,14750,335360,14750,14400,489850,759450,9.1,1303.25
18,06/08/2019,14700,14506.69,14550,401470,14700,14300,642630,865330,9.1,1303.25
19,05/08/2019,14750,14708.36,14800,261280,14800,14600,472100,553660,9.1,1303.25
20,02/08/2019,14800,14641.04,14600,396420,14800,14450,517500,626970,9.1,1303.25
21,01/08/2019,14750,14754.65,14800,89870,14850,14650,199290,355220,9.1,1303.25
22,31/07/2019,14800,14713.22,14800,360560,14800,14550,653620,665390,9.1,1303.25
23,30/07/2019,14800,14737.99,14850,229950,14850,14650,414040,617060,9.1,1303.25
24,29/07/2019,14850,14734.18,14900,201640,14900,14600,383940,655930,9.1,1303.25
25,26/07/2019,14900,14777.32,14900,299310,14900,14600,578170,621670,9.1,1303.25
26,25/07/2019,14900,14827.83,14850,301730,14900,14600,623030,655680,9.1,1303.25
27,24/07/2019,14950,14760.26,15000,712860,15000,14600,1217990,1307390,9.1,1303.25
28,23/07/2019,15000,14945.65,15000,404800,15200,14800,728880,811100,9.1,1303.25
29,22/07/2019,15000,15015.15,15050,333330,15200,14950,598880,692440,9.1,1303.25
30,19/07/2019,15300,15281.46,15250,305730,15350,15200,551950,746110,9.1,1303.25
31,18/07/2019,15250,15204.68,15300,186390,15350,15150,390620,459130,9.1,1303.25
32,17/07/2019,15350,15334.79,15100,649960,15450,15100,1358160,1145040,9.1,1303.25
33,16/07/2019,15100,15031.33,15000,247350,15150,14950,536970,554750,9.1,1303.25
34,15/07/2019,14950,14930.75,14950,249820,15050,14850,429310,529750,9.1,1303.25
35,12/07/2019,14950,15081.02,15200,407930,15250,14950,614240,888840,9.1,1303.25
36,11/07/2019,15150,15134.07,15050,396060,15200,15050,728140,782390,9.1,1303.25
37,10/07/2019,15100,15131.9,15050,324480,15200,15050,593080,756470,9.1,1303.25
38,09/07/2019,15150,14997.89,15100,284240,15150,14900,580560,669390,9.1,1303.25
39,08/07/2019,15200,15130.55,15200,184990,15250,15000,351560,535370,9.1,1303.25
40,05/07/2019,15300,15044.47,15300,884910,15300,15000,1411920,1600970,9.1,1303.25
41,04/07/2019,15250,15063.07,15100,588990,15300,14950,955710,1044880,9.1,1303.25
42,03/07/2019,15100,15011.1,15200,437010,15200,14900,714710,720340,9.1,1303.25
43,02/07/2019,15200,15331.35,15450,322020,15500,15200,473660,657630,9.1,1303.25
44,01/07/2019,15450,15419.25,15600,146570,15600,15350,334840,464860,9.1,1303.25
45,28/06/2019,15400,15309.9,15350,213130,15400,15100,399720,360820,9.1,1303.25
46,27/06/2019,15350,15225.03,15450,201970,15450,15100,423970,464330,9.1,1303.25
47,26/06/2019,15450,15390.15,15450,97270,15450,15250,207420,296090,9.1,1303.25
48,25/06/2019,15500,15462.27,15550,81230,15550,15400,199790,303910,9.1,1303.25
49,24/06/2019,15550,15551.01,15600,214970,15650,15400,327770,467310,9.1,1303.25
50,21/06/2019,15600,15534.03,15550,184820,15600,15400,342960,477670,9.1,1303.25
51,20/06/2019,15550,15495.01,15400,158180,15600,15350,370300,469560,9.1,1303.25
52,19/06/2019,15400,15373.63,15450,126060,15450,15100,242910,432440,9.1,1303.25
53,18/06/2019,15450,15163.77,15300,227450,15450,14950,389610,377010,9.1,1303.25
54,17/06/2019,15200,15579.18,15350,589890,15650,15200,756390,914950,9.1,1303.25
55,14/06/2019,15600,15328.1,15500,393330,15700,14900,595960,685770,9.1,1303.25
56,13/06/2019,15600,15562.38,15600,215070,15700,15450,386530,464930,9.1,1303.25
57,12/06/2019,16000,15914.68,15950,134090,16000,15800,216420,343180,9.1,1303.25
58,11/06/2019,15950,15857.44,16000,177330,16000,15750,299110,471710,9.1,1303.25
59,10/06/2019,15850,15933.55,16000,75250,16100,15850,178000,454780,9.1,1303.25
60,07/06/2019,15900,15832.35,15650,136240,15950,15650,274060,410090,9.1,1303.25
61,06/06/2019,15750,15654.73,15700,183970,15800,15500,278920,390310,9.1,1303.25
62,05/06/2019,15700,15809.26,16000,50540,16000,15700,134780,236420,9.1,1303.25
63,04/06/2019,15650,15657.19,15800,169890,15800,15500,429370,380850,9.1,1303.25
64,03/06/2019,15500,16047.65,15800,1285920,16550,15500,1464880,1971980,9.1,1303.25
65,31/05/2019,16000,15889.79,16100,366210,16150,15500,562940,860640,9.1,1303.25
66,30/05/2019,16150,16087.15,16050,112450,16150,16050,274040,346010,9.1,1303.25
67,29/05/2019,16150,16096.62,16200,216940,16200,15950,344500,522810,9.1,1303.25
68,28/05/2019,16200,16208.91,16300,403420,16300,16150,541780,776730,9.1,1303.25
69,27/05/2019,16350,16299.14,16350,146020,16350,16200,257230,307940,9.1,1303.25
70,24/05/2019,16350,16449.33,16400,493090,16600,16350,650600,827980,9.1,1303.25
71,23/05/2019,16550,16482.53,16700,177400,16700,16450,358960,549260,9.1,1303.25
72,22/05/2019,16700,16709.22,16650,701110,16850,16450,1107570,1303370,9.1,1303.25
73,21/05/2019,16600,16598.57,16850,144410,16850,16500,285140,668300,9.1,1303.25
74,20/05/2019,16650,16661.35,16700,438740,16800,16450,614260,1196860,9.1,1303.25
75,17/05/2019,16700,16584.57,16350,753170,16750,16300,1093110,1384680,9.1,1303.25
76,16/05/2019,16400,16379.13,16500,194760,16550,16300,436440,613680,9.1,1303.25
77,15/05/2019,16500,16470.46,16500,733070,16600,16350,1080380,1389920,9.1,1303.25
78,14/05/2019,16450,16394.49,16450,763610,16500,16300,1246360,1339420,9.1,1303.25
79,13/05/2019,16500,16464.06,16450,646560,16600,16300,1049670,1552700,9.1,1303.25
80,10/05/2019,16450,16341.47,16350,510970,16450,16200,883710,1267000,9.1,1303.25
81,09/05/2019,16250,16038.38,15850,814920,16250,15800,1663470,1104620,9.1,1303.25
82,08/05/2019,15850,15790.41,15600,730380,15850,15600,1181510,1532710,9.1,1303.25
83,07/05/2019,15800,15602.74,15700,512410,15800,15450,817040,777800,9.1,1303.25
84,06/05/2019,15650,15552.86,15500,610820,15700,15300,871380,995720,9.1,1303.25
85,03/05/2019,15650,15700.1,15700,100700,15800,15600,352920,284030,9.1,1303.25
86,02/05/2019,15700,15753.47,15750,445870,15950,15500,638870,1078210,9.1,1303.25
87,26/04/2019,15950,15957.45,15950,306440,16000,15750,540390,586220,9.1,1303.25
88,25/04/2019,15950,15826.7,16000,318070,16000,15700,639190,666470,9.1,1303.25
89,24/04/2019,15900,15853.3,15800,239950,15950,15750,574750,530690,9.1,1303.25
90,23/04/2019,15800,15681.69,15400,427760,15800,15400,846150,767070,9.1,1303.25
91,22/04/2019,15500,15646.93,15950,896150,15950,15450,1430280,1632610,9.1,1303.25
92,19/04/2019,15950,16001.01,16200,276670,16200,15950,603900,619920,9.1,1303.25
93,18/04/2019,16100,15946.16,16100,736290,16100,15750,1175180,1101480,9.1,1303.25
94,17/04/2019,16100,16264.32,16300,433710,16500,16100,656040,966250,9.1,1303.25
95,16/04/2019,16300,16338.08,16550,563530,16600,16000,1264750,1011840,9.1,1303.25
96,12/04/2019,16750,16594.72,16800,558250,16800,16450,1064120,1252090,9.1,1303.25
97,11/04/2019,16800,16781.74,16800,302710,16950,16700,570120,690160,9.1,1303.25
98,10/04/2019,16800,16935.12,17000,357600,17100,16800,610640,1140230,9.1,1303.25
99,09/04/2019,17000,17239.4,17000,1530390,17450,17000,2288970,2829910,9.1,1303.25
100,08/04/2019,16850,16812.96,16850,354310,16950,16750,659950,1036920,9.1,1303.25
101,05/04/2019,16800,16835.38,16900,294380,16900,16750,568010,895930,9.1,1303.25
102,04/04/2019,16850,16817.28,16750,484680,16900,16700,784770,1059410,9.1,1303.25
103,03/04/2019,16800,16714.6,16700,271200,16850,16550,618610,763800,9.1,1303.25
104,02/04/2019,16800,16850.98,17000,452140,17000,16700,710030,1209380,9.1,1303.25
105,01/04/2019,16750,16838.34,16900,391250,16950,16750,848120,1179050,9.1,1303.25
106,29/03/2019,16800,16820.49,16800,719420,16950,16750,1058440,1410930,9.1,1303.25
107,28/03/2019,16900,16804.79,16700,399410,16900,16600,861710,1104820,9.1,1303.25
108,27/03/2019,16850,16752.13,16800,429020,16900,16400,908190,1107940,9.1,1303.25
109,26/03/2019,16700,16601.58,16600,627350,16800,16400,1471930,1243130,9.1,1303.25
110,25/03/2019,16550,16256.36,16100,1534230,16550,16050,2462900,2264630,9.1,1303.25
111,22/03/2019,16700,16658.66,16500,833020,16850,16500,1826320,1612710,9.1,1303.25
112,21/03/2019,16500,16970.84,17200,963830,17400,16500,1475270,1800940,9.1,1303.25
113,20/03/2019,17350,17094.04,17250,1586050,17350,16950,2750690,2657790,9.1,1303.25
114,19/03/2019,17300,17610.42,18200,1661800,18200,17300,2226840,3324020,9.1,1303.25
115,18/03/2019,18050,17988.7,18100,756030,18100,17850,1316410,1832460,9.1,1303.25
116,15/03/2019,17950,17989.93,18250,810620,18250,17900,1439560,1701690,9.1,1303.25
117,14/03/2019,18250,18319.42,18500,656680,18500,18250,1021660,1714540,9.1,1303.25
118,13/03/2019,18400,18144.67,17800,2584340,18450,17800,4328810,4220770,9.1,1303.25
119,12/03/2019,17700,17608.13,18000,1672920,18000,17350,2398260,3165830,9.1,1303.25
120,11/03/2019,17750,17633.91,17750,415960,17800,17500,765850,982790,9.1,1303.25
121,08/03/2019,17750,17770.81,17900,812850,18000,17550,1622250,1755080,9.1,1303.25
122,07/03/2019,18150,18081.23,17700,2374120,18250,17700,3628100,4485450,9.1,1303.25
123,06/03/2019,17700,17643.21,17600,794130,17800,17550,1594510,1790250,9.1,1303.25
124,05/03/2019,17600,17769.11,17800,1191900,18000,17600,1942660,2448380,9.1,1303.25
125,04/03/2019,17800,17850.14,17500,907220,18050,17500,1628660,1952880,9.1,1303.25
126,01/03/2019,17500,17380.59,17450,681680,17500,17200,1446530,1462220,9.1,1303.25
127,28/02/2019,17450,17336.86,17600,1328960,17700,17000,2025820,2222060,9.1,1303.25
128,27/02/2019,17600,17746.67,18050,657250,18050,17500,1059990,1533440,9.1,1303.25
129,26/02/2019,17850,17977.93,18000,1635450,18250,17700,2447330,3078190,9.1,1303.25
130,25/02/2019,17900,17837.68,17600,1715470,18200,17600,2794030,2773320,9.1,1303.25
131,22/02/2019,17400,17478.16,17200,998160,17600,17150,1751420,2758530,9.1,1303.25
132,21/02/2019,17400,17366.88,17350,678360,17500,17200,1305640,1477460,9.1,1303.25
133,20/02/2019,17350,17395.56,17200,592450,17550,17200,1439350,1854120,9.1,1303.25
134,19/02/2019,17200,17388.15,17250,1927520,17700,17100,3212530,3395880,9.1,1303.25
135,18/02/2019,17200,17171.05,17300,634440,17300,17100,1284340,1547530,9.1,1303.25
136,15/02/2019,17050,17149.4,17250,589350,17250,17050,1072520,1328750,9.1,1303.25
137,14/02/2019,17250,17173.47,17100,802750,17450,16950,1664430,1643050,9.1,1303.25
138,13/02/2019,17250,17202.32,17200,920690,17400,17000,1632920,2098260,9.1,1303.25
139,12/02/2019,17200,17102.5,17000,1553340,17450,16750,2570060,3063970,9.1,1303.25
140,11/02/2019,16800,16491.97,16000,832890,16800,16000,1798870,1129740,9.1,1303.25
141,01/02/2019,16000,16014.34,16050,298420,16100,16000,563780,578690,9.1,1303.25
142,31/01/2019,16100,16139.23,16100,465140,16250,16050,695390,942600,9.1,1303.25
143,30/01/2019,16100,16177.87,16250,336200,16300,16100,695650,750810,9.1,1303.25
144,29/01/2019,16200,16069.05,16100,337170,16200,15900,659870,646550,9.1,1303.25
145,28/01/2019,16100,16237.92,16200,323810,16400,16100,503110,1037900,9.1,1303.25
146,25/01/2019,16200,16175.57,16050,763250,16350,15900,1433250,1447420,9.1,1303.25
147,24/01/2019,16050,16071.67,16050,513450,16200,15950,899050,1256610,9.1,1303.25
148,23/01/2019,16100,16016.68,15800,467700,16200,15800,801450,1016730,9.1,1303.25
149,22/01/2019,16150,16218.57,16150,643460,16400,15850,968960,1519110,9.1,1303.25
150,21/01/2019,16150,15774.84,15400,1769210,16300,15050,3109260,2522180,9.1,1303.25
151,18/01/2019,15600,15680.8,15800,275560,15800,15600,585180,686150,9.1,1303.25
