,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20600,20391.22,20300,325140,20600,20250,0,0,0,262.28
1,29/08/2019,20300,20200.21,20150,272720,20300,20150,280510,320820,0,262.28
2,28/08/2019,20150,20193.27,20150,288710,20250,20100,298900,353560,0,262.28
3,27/08/2019,20150,20181.85,20100,303540,20250,20000,321110,363670,0,262.28
4,26/08/2019,20100,20112.78,20200,294390,20250,19850,308090,396590,0,262.28
5,23/08/2019,20200,20136.7,20050,238470,20200,20000,252690,265280,0,262.28
6,22/08/2019,20050,19907.0,19600,251620,20050,19600,285300,283080,0,262.28
7,21/08/2019,19600,19357.08,19050,245130,19600,19050,273130,264650,0,262.28
8,20/08/2019,19100,18947.93,18700,242190,19100,18700,267560,265120,0,262.28
9,19/08/2019,18700,18464.34,18450,246800,18700,18400,258690,313400,0,262.28
10,16/08/2019,18450,18347.64,18300,241230,18450,18300,261390,363970,0,262.28
11,15/08/2019,18300,18199.61,18300,235060,18300,18150,243840,382610,0,262.28
12,14/08/2019,18300,18177.35,18200,243930,18300,18100,257320,413180,0,262.28
13,13/08/2019,18200,18043.52,18150,221520,18200,17900,241560,285410,0,262.28
14,12/08/2019,18150,18110.9,18200,235880,18200,18000,245310,312800,0,262.28
15,09/08/2019,18150,18250.73,18400,237470,18600,18000,271200,312150,0,262.28
16,08/08/2019,18000,18781.14,19100,258930,19100,18000,269050,464700,0,262.28
17,07/08/2019,19100,19117.13,19100,229480,19300,19000,236620,356870,0,262.28
18,06/08/2019,19100,19186.85,19250,231200,19250,19100,242050,379770,0,262.28
19,05/08/2019,19300,19263.96,19350,253790,19350,19150,264440,337110,0,262.28
20,02/08/2019,19350,19309.56,19450,246510,19450,19250,271910,301270,0,262.28
21,01/08/2019,19450,19499.36,19300,264060,19750,19250,351620,337680,0,262.28
22,31/07/2019,19300,19242.66,19250,258800,19350,19200,272980,270870,0,262.28
23,30/07/2019,19250,19305.72,19300,225270,19400,19200,236400,291800,0,262.28
24,29/07/2019,19300,19256.38,19300,252280,19350,19150,260280,305840,0,262.28
25,26/07/2019,19300,19246.4,19350,233810,19350,19200,244360,296320,0,262.28
26,25/07/2019,19350,19242.98,19050,229850,19350,18850,248660,253600,0,262.28
27,24/07/2019,19350,19258.1,19600,268770,19650,19000,318460,451400,0,262.28
28,23/07/2019,19600,19811.03,20000,226490,20000,19000,246760,332200,0,262.28
29,22/07/2019,20000,20460.6,20650,214070,20700,20000,218340,352590,0,262.28
30,19/07/2019,20650,20950.84,21050,228010,21100,20650,230610,331390,0,262.28
31,18/07/2019,21050,21287.67,21550,221020,21550,21050,224690,321030,0,262.28
32,17/07/2019,21550,21899.78,22050,233290,22100,21450,237270,381440,0,262.28
33,16/07/2019,22050,22088.04,22100,228540,22200,22000,235970,305710,0,262.28
34,15/07/2019,22100,22061.59,22100,244860,22150,22050,256040,329930,0,262.28
35,12/07/2019,22100,22041.81,22050,254970,22100,22000,265740,321580,0,262.28
36,11/07/2019,22050,22083.79,22100,248010,22150,22050,253040,313580,0,262.28
37,10/07/2019,22100,22060.07,22050,259700,22150,22050,266440,336400,0,262.28
38,09/07/2019,22050,22034.52,22000,246250,22100,22000,253520,298010,0,262.28
39,08/07/2019,22000,21955.48,22050,252010,22050,21900,264700,314090,0,262.28
40,05/07/2019,22050,22042.97,22000,259720,22150,21950,269580,343440,0,262.28
41,04/07/2019,22000,22040.21,22000,244190,22200,21950,274090,324310,0,262.28
42,03/07/2019,22000,21920.9,21950,243740,22000,21850,256280,310740,0,262.28
43,02/07/2019,21950,21900.76,21900,247480,22000,21850,275790,322270,0,262.28
