,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,123000,123594.58,123000,797090,124200,122700,0,0,38.02,6057.89
1,29/08/2019,123000,121539.37,120000,561530,123000,119800,1890400,1405520,38.02,6057.89
2,28/08/2019,119400,119607.05,120000,521700,120100,119200,960480,877840,38.02,6057.89
3,27/08/2019,119000,119856.22,121500,943130,121800,119000,1532690,1440880,38.02,6057.89
4,26/08/2019,120500,120724.64,122000,839870,122200,120200,1433170,1530740,38.02,6057.89
5,23/08/2019,123000,123450.14,124100,621830,124200,123000,1456230,1279840,38.02,6057.89
6,22/08/2019,124000,123960.73,123900,525610,124300,123800,896480,1087900,38.02,6057.89
7,21/08/2019,123900,123888.72,124000,580860,124300,123500,1101190,1013380,38.02,6057.89
8,20/08/2019,124400,124613.1,124900,787020,124900,124100,1126410,1635670,38.02,6057.89
9,19/08/2019,124900,124745.12,124500,758210,125200,124400,1181340,1475960,38.02,6057.89
10,16/08/2019,124100,123426.14,121000,1074270,125700,120500,2232550,2274860,38.02,6057.89
11,15/08/2019,122000,119341.28,117300,673120,122000,117300,1713930,915850,38.02,6057.89
12,14/08/2019,118700,119044.53,119200,677360,119900,118700,1060740,1037900,38.02,6057.89
13,13/08/2019,118000,118824.55,120000,1178780,120200,118000,1636150,1803010,38.02,6057.89
14,12/08/2019,120600,120613.57,121000,442330,121000,120400,675690,1014210,38.02,6057.89
15,09/08/2019,121000,121225.64,120900,726150,121700,120800,1134900,1435090,38.02,6057.89
16,08/08/2019,120900,120822.23,121000,570640,121600,120200,1169590,1118080,38.02,6057.89
17,07/08/2019,121000,121123.84,120200,731780,121800,120200,1497050,1365720,38.02,6057.89
18,06/08/2019,120200,119987.21,121000,938500,121000,119200,1732310,1662110,38.02,6057.89
19,05/08/2019,122000,123144.72,123500,882750,124400,122000,1191170,1529930,38.02,6057.89
20,02/08/2019,124000,123770.44,123500,471510,124200,123300,848400,966850,38.02,6057.89
21,01/08/2019,124200,123902.62,123500,502790,124500,123200,1163700,1094900,38.02,6057.89
22,31/07/2019,123200,123389.08,123500,816150,124000,122900,1355520,1248960,38.02,6057.89
23,30/07/2019,123500,124645.69,125000,921500,125600,123500,1405260,1820930,38.02,6057.89
24,29/07/2019,123500,123391.19,124100,1095840,124400,123000,2164050,1656040,38.02,6057.89
25,26/07/2019,124500,125125.92,125300,526110,125900,124500,791760,1039760,38.02,6057.89
26,25/07/2019,125100,125156.33,125000,686030,125500,125000,1177900,1102250,38.02,6057.89
27,24/07/2019,125600,125855.51,126000,593800,126900,125200,1176380,1243200,38.02,6057.89
28,23/07/2019,125400,125090.58,125500,764550,125600,124800,1244620,1211110,38.02,6057.89
29,22/07/2019,125500,125869.14,126500,721980,126500,125500,1064980,1217720,38.02,6057.89
30,19/07/2019,126900,126149.16,124600,1381230,127100,124600,2344230,2196720,38.02,6057.89
31,18/07/2019,124600,124773.92,125000,707720,125400,124500,1098240,1354490,38.02,6057.89
32,17/07/2019,125400,124979.02,124000,965170,125900,123900,1475490,1509090,38.02,6057.89
33,16/07/2019,124000,123877.16,123800,512540,124200,123500,913010,957070,38.02,6057.89
34,15/07/2019,123200,123596.66,123900,703320,124000,123200,1271790,1255870,38.02,6057.89
35,12/07/2019,124000,124637.88,125200,370730,125300,124000,557140,1161850,38.02,6057.89
36,11/07/2019,125200,125248.92,125500,277200,125500,125000,431840,1068930,38.02,6057.89
37,10/07/2019,125000,125093.84,125000,420940,125500,124800,542940,1067290,38.02,6057.89
38,09/07/2019,125000,124024.64,124200,951440,125000,123600,1464490,1930980,38.02,6057.89
39,08/07/2019,124200,124534.61,125700,969080,125700,124000,1736930,1793130,38.02,6057.89
40,05/07/2019,126200,126125.81,126200,520290,126600,125700,1042330,1850670,38.02,6057.89
41,04/07/2019,126200,126231.94,126200,613870,126600,126100,1022990,1261720,38.02,6057.89
42,03/07/2019,126000,125555.2,125200,657870,126300,124800,1785770,2113980,38.02,6057.89
43,02/07/2019,125100,125051.27,125000,716810,126100,124600,1300400,1201880,38.02,6057.89
44,01/07/2019,125000,124593.52,123000,991440,125100,123000,1592650,1352950,38.02,6057.89
45,28/06/2019,123000,122439.86,123000,919970,123200,121500,1333190,1503710,38.02,6057.89
46,27/06/2019,123100,123313.3,123500,802160,123800,122900,1252770,1204390,38.02,6057.89
47,26/06/2019,123500,123486.63,123100,497730,123900,123000,1052180,925960,38.02,6057.89
48,25/06/2019,123400,123707.25,123100,704890,124200,123100,1443890,1156360,38.02,6057.89
49,24/06/2019,123100,124485.85,125900,615090,125900,123100,970780,1351050,38.02,6057.89
50,21/06/2019,125500,125298.4,123300,2613920,125500,123300,3159830,4249170,38.02,6057.89
51,20/06/2019,123300,123322.11,123500,1010200,123500,123100,1606340,1463410,38.02,6057.89
52,19/06/2019,123400,123319.6,123000,929690,123700,123000,1344720,1251410,38.02,6057.89
53,18/06/2019,123000,123367.05,123000,1039070,123700,123000,1412800,1850980,38.02,6057.89
54,17/06/2019,123700,123351.19,123700,632730,123800,122800,1174760,1692430,38.02,6057.89
55,14/06/2019,123700,123429.15,123000,665880,124200,122900,1530210,929740,38.02,6057.89
56,13/06/2019,123200,123485.08,125200,1125310,125200,122800,1992620,1746730,38.02,6057.89
57,12/06/2019,125200,125435.79,125200,699880,125800,125100,1143710,934740,38.02,6057.89
58,11/06/2019,125500,126004.6,127000,565400,127000,125400,941500,983630,38.02,6057.89
59,10/06/2019,126900,126918.01,127000,561260,127800,125900,925410,1267740,38.02,6057.89
60,07/06/2019,126600,126782.31,126300,362030,127400,126300,613590,589550,38.02,6057.89
61,06/06/2019,126500,126501.41,127500,548650,127800,125900,918660,1041950,38.02,6057.89
62,05/06/2019,127500,128137.02,128600,358780,129200,127000,707000,648170,38.02,6057.89
63,04/06/2019,128600,128338.09,128500,472650,129000,128000,1013510,991720,38.02,6057.89
64,03/06/2019,128000,128773.38,129500,717990,130100,127100,1180240,1032840,38.02,6057.89
65,31/05/2019,129500,130568.32,131400,711390,131800,129500,1035620,1200090,38.02,6057.89
66,30/05/2019,131500,132444.58,132800,542710,133000,131500,967840,949750,38.02,6057.89
67,29/05/2019,132900,132572.77,132400,271730,133700,131800,546220,863270,38.02,6057.89
68,28/05/2019,132000,132359.27,134000,608790,134500,131700,1964250,1134150,38.02,6057.89
69,27/05/2019,134000,132662.63,131000,320060,134000,129900,768720,843230,38.02,6057.89
70,24/05/2019,130500,131169.05,131000,765150,133500,130400,1352560,1243820,38.02,6057.89
71,23/05/2019,132100,131994.69,131200,429290,133000,131200,881510,671690,38.02,6057.89
72,22/05/2019,132100,133012.58,134000,619370,135000,131900,1140840,1045080,38.02,6057.89
73,21/05/2019,133500,135303.22,137000,762310,137000,133500,1483490,1423130,38.02,6057.89
74,20/05/2019,137500,136378.35,135000,450900,137600,134700,941110,887850,38.02,6057.89
75,17/05/2019,135600,136099.5,136500,435380,136500,135500,612740,908890,38.02,6057.89
76,16/05/2019,136400,135946.33,135300,702130,136400,135000,1084880,1402000,38.02,6057.89
77,15/05/2019,135600,135180.55,135500,355850,136400,134400,539930,934410,38.02,6057.89
78,14/05/2019,135500,134920.9,132200,1097910,136400,132200,1709810,1748900,38.02,6057.89
79,13/05/2019,133900,132127.35,129800,974030,133900,129800,1640440,1317900,38.02,6057.89
80,10/05/2019,130100,129098.15,128500,366690,130100,128500,653650,522530,38.02,6057.89
81,09/05/2019,128200,128538.65,128500,287680,129100,128000,579480,488100,38.02,6057.89
82,08/05/2019,128000,128657.98,128100,628830,129100,128000,800750,984480,38.02,6057.89
83,07/05/2019,129500,129499.5,129900,723470,130000,129200,976220,977710,38.02,6057.89
84,06/05/2019,129100,129172.43,130300,368910,130300,128000,666410,721340,38.02,6057.89
85,03/05/2019,131000,130603.01,131000,486390,131000,129900,692410,991090,38.02,6057.89
86,02/05/2019,130000,130631.35,130000,736990,131100,129700,1003770,1059350,38.02,6057.89
87,26/04/2019,129800,129783.81,129800,565240,130300,129300,941400,858560,38.02,6057.89
88,25/04/2019,129500,129302.73,129600,414330,129700,128300,822700,763990,38.02,6057.89
89,24/04/2019,129500,128991.27,127800,482490,129500,127400,903460,709350,38.02,6057.89
90,23/04/2019,127000,128123.49,128100,974950,129500,126700,1413630,1708330,38.02,6057.89
91,22/04/2019,129600,129785.01,131000,1417290,132000,129200,2159680,2076090,38.02,6057.89
92,19/04/2019,133000,133823.36,135500,599290,135600,132500,855820,990590,38.02,6057.89
93,18/04/2019,135200,135132.39,135000,601240,135500,134900,920010,1010700,38.02,6057.89
94,17/04/2019,135000,135628.17,136400,864260,136900,134900,1169590,1727860,38.02,6057.89
95,16/04/2019,136000,135908.51,135000,514140,136400,135000,973130,860530,38.02,6057.89
96,12/04/2019,135700,135341.55,135600,684520,136100,134900,1080570,1032690,38.02,6057.89
97,11/04/2019,135600,135698.84,135300,383850,136200,135300,735450,712130,38.02,6057.89
98,10/04/2019,135300,135415.93,135000,873110,136500,135000,1451970,1577530,38.02,6057.89
99,09/04/2019,135400,135733.08,137900,1148040,137900,135000,1861350,1913560,38.02,6057.89
100,08/04/2019,137200,137148.25,137400,546190,137700,136500,1013810,989310,38.02,6057.89
101,05/04/2019,136300,136588.39,138000,1017700,138000,136300,1535730,1766110,38.02,6057.89
102,04/04/2019,138000,138566.84,138400,469730,139800,138000,869020,1125650,38.02,6057.89
