,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,11000,10931.65,10900,335500,11000,10800,0,0,15.7,1319.16
1,29/08/2019,10900,10809.97,10800,348200,11000,10700,440600,509300,15.7,1319.16
2,28/08/2019,10800,10472.97,10400,263400,11000,10100,403400,369600,15.7,1319.16
3,27/08/2019,10400,10450.75,10400,180900,10600,10300,257600,345800,15.7,1319.16
4,26/08/2019,10300,10490.3,10700,172100,10900,10300,208300,305400,15.7,1319.16
5,23/08/2019,10700,10494.29,10500,262800,10700,10300,375500,351900,15.7,1319.16
6,22/08/2019,10600,10702.51,10900,259000,11000,10500,364500,501900,15.7,1319.16
7,21/08/2019,10900,10900.08,10700,378900,11200,10700,452600,639400,15.7,1319.16
8,20/08/2019,10800,10754.7,10800,330900,10900,10600,423800,483800,15.7,1319.16
9,19/08/2019,10700,10807.6,11000,163200,11000,10700,207700,338600,15.7,1319.16
10,16/08/2019,10900,10874.8,10600,294100,11100,10500,409700,456100,15.7,1319.16
11,15/08/2019,10600,10429.05,10400,303600,10700,10000,446200,369100,15.7,1319.16
12,14/08/2019,10500,10682.31,10900,275800,11000,10500,355000,381100,15.7,1319.16
13,13/08/2019,10900,10826.39,11200,269400,11200,10600,338200,392700,15.7,1319.16
14,12/08/2019,11200,11058.95,11000,337600,11200,10900,434500,436400,15.7,1319.16
15,09/08/2019,11000,11091.35,10900,367700,11300,10900,455100,594200,15.7,1319.16
16,08/08/2019,11000,10983.7,11100,284600,11200,10800,373700,433400,15.7,1319.16
17,07/08/2019,11100,11076.54,11300,276600,11400,10900,344000,412100,15.7,1319.16
18,06/08/2019,11300,11127.83,10900,515000,11600,10600,639100,693800,15.7,1319.16
19,05/08/2019,10900,10715.13,10400,339700,10900,10400,413900,464800,15.7,1319.16
20,02/08/2019,10400,10495.67,10200,337100,10700,10200,412300,486200,15.7,1319.16
21,01/08/2019,10200,10150.17,10200,117600,10300,10000,158600,197500,15.7,1319.16
22,31/07/2019,10200,10323.88,10400,211900,10600,10200,267600,362600,15.7,1319.16
23,30/07/2019,10400,10137.83,9600,374600,10500,9600,487100,451600,15.7,1319.16
24,29/07/2019,9600,9589.8,9600,86300,9700,9500,212100,171100,15.7,1319.16
25,26/07/2019,9600,9572.45,9500,163700,9700,9500,307900,259000,15.7,1319.16
26,25/07/2019,9500,9520.36,9500,144400,9700,9300,246000,220300,15.7,1319.16
27,24/07/2019,9600,9555.56,9500,112500,9700,9500,213400,142100,15.7,1319.16
28,23/07/2019,9500,9659.94,9800,72400,9800,9500,195100,234000,15.7,1319.16
29,22/07/2019,9800,9709.42,9500,246400,9800,9500,507800,350100,15.7,1319.16
30,19/07/2019,9600,9600.57,9700,105200,9700,9500,158200,237300,15.7,1319.16
31,18/07/2019,9700,9620.62,9700,174100,9700,9600,315100,286400,15.7,1319.16
32,17/07/2019,9600,9523.4,9400,216700,9700,9400,419500,356100,15.7,1319.16
33,16/07/2019,9400,9307.4,9200,156800,9400,9200,283300,309700,15.7,1319.16
34,15/07/2019,9200,9210.3,9200,154400,9300,9200,423100,279300,15.7,1319.16
35,12/07/2019,9200,9105.76,9100,86800,9200,9100,261700,225100,15.7,1319.16
36,11/07/2019,9200,9197.12,9300,69400,9300,9100,267100,236800,15.7,1319.16
37,10/07/2019,9300,9252.02,9200,74400,9300,9200,232500,283400,15.7,1319.16
38,09/07/2019,9200,9132.46,9200,53300,9200,9100,235600,211300,15.7,1319.16
39,08/07/2019,9200,9117.36,9100,12100,9200,9100,56400,155600,15.7,1319.16
40,05/07/2019,9100,9089.33,9200,17800,9200,9000,126500,138900,15.7,1319.16
41,04/07/2019,9100,9100.28,9100,36200,9200,9100,159200,176000,15.7,1319.16
42,03/07/2019,9100,9024.53,8900,117000,9200,8900,293400,403200,15.7,1319.16
43,02/07/2019,9000,8979.55,9000,52800,9100,8900,176900,223400,15.7,1319.16
44,01/07/2019,9000,8900.47,9000,85400,9000,8800,192200,250800,15.7,1319.16
45,28/06/2019,9000,9038.17,9200,93000,9500,8900,194800,285200,15.7,1319.16
46,27/06/2019,10000,9999.77,10000,127700,10000,9900,252400,339900,15.7,1319.16
47,26/06/2019,10100,10003.01,10000,136200,10100,10000,271600,298900,15.7,1319.16
48,25/06/2019,10000,9991.53,10100,126300,10100,9900,258600,316500,15.7,1319.16
49,24/06/2019,10100,10003.12,10000,137800,10100,9900,277100,294900,15.7,1319.16
50,21/06/2019,10100,9977.25,10000,97600,10100,9900,230800,262800,15.7,1319.16
51,20/06/2019,10100,10062.19,10100,179300,10200,10000,315800,384700,15.7,1319.16
52,19/06/2019,10100,10099.16,10300,118500,10300,10000,174100,281600,15.7,1319.16
53,18/06/2019,10100,10117.05,10000,253900,10300,10000,284600,644300,15.7,1319.16
54,17/06/2019,10000,10000.0,10000,57800,10000,10000,93400,226000,15.7,1319.16
55,14/06/2019,10000,10047.28,10100,161800,10200,9900,198200,355500,15.7,1319.16
56,13/06/2019,10100,10064.74,10000,84800,10100,10000,105200,232700,15.7,1319.16
57,12/06/2019,10000,10013.18,10100,148000,10100,9900,371100,364800,15.7,1319.16
58,11/06/2019,10100,10054.17,10000,99500,10200,9900,328300,331500,15.7,1319.16
59,10/06/2019,10100,10067.41,10000,174300,10200,10000,415500,427400,15.7,1319.16
60,07/06/2019,10000,10001.71,10000,99600,10100,9900,357800,348300,15.7,1319.16
61,06/06/2019,10000,10000.31,10000,32500,10100,9900,291600,292400,15.7,1319.16
62,05/06/2019,10000,10026.26,9900,180900,10200,9900,430700,391500,15.7,1319.16
63,04/06/2019,9900,9905.5,10000,83700,10000,9800,293600,302800,15.7,1319.16
64,03/06/2019,10000,9919.79,9900,83900,10000,9900,292400,294500,15.7,1319.16
65,31/05/2019,10000,9956.34,10000,53600,10000,9900,232900,237800,15.7,1319.16
