,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,38750,38507.44,38200,2186980,38800,37950,0,0,14.08,2107.27
1,29/08/2019,37900,37575.18,37600,1330160,37900,37350,2010920,2195730,14.08,2107.27
2,28/08/2019,37600,37595.96,37500,932680,38000,37400,1616890,1682500,14.08,2107.27
3,27/08/2019,37500,38000.84,38300,1170790,38400,37500,1740690,2277570,14.08,2107.27
4,26/08/2019,37850,37178.05,36900,1806980,37850,36600,3369300,2545420,14.08,2107.27
5,23/08/2019,37550,37489.13,37800,977030,37800,37150,1893530,1750360,14.08,2107.27
6,22/08/2019,37600,37779.04,38000,1618940,38100,37500,2325440,3080550,14.08,2107.27
7,21/08/2019,37850,37604.59,36500,2691400,38250,36500,4379600,4519140,14.08,2107.27
8,20/08/2019,36800,36677.08,36950,800200,36950,36550,1373330,1647190,14.08,2107.27
9,19/08/2019,36700,36607.65,36500,1132960,37000,36300,1925760,2525990,14.08,2107.27
10,16/08/2019,36000,35921.09,35000,3237040,36700,34900,4547460,4861550,14.08,2107.27
11,15/08/2019,35100,34801.23,34500,551130,35100,34500,1146770,949910,14.08,2107.27
12,14/08/2019,35100,35027.37,35300,520650,35400,34750,878540,1537060,14.08,2107.27
13,13/08/2019,34900,35028.03,35050,817060,35400,34750,1420860,1470090,14.08,2107.27
14,12/08/2019,35350,34737.72,34850,1373320,35400,34050,2042880,2260440,14.08,2107.27
15,09/08/2019,34700,34492.09,35000,997910,35000,34200,1773180,1763350,14.08,2107.27
16,08/08/2019,34700,34835.75,34700,908980,35150,34650,1365600,1936990,14.08,2107.27
17,07/08/2019,34700,35017.29,35350,1081380,35500,34700,1416850,2203550,14.08,2107.27
18,06/08/2019,35200,35345.3,34500,1229640,35650,34500,1858260,2160020,14.08,2107.27
19,05/08/2019,35800,35645.0,35500,1969000,35800,35450,2690680,3066200,14.08,2107.27
20,02/08/2019,35800,35610.63,35000,1824090,36000,34900,3180740,3365920,14.08,2107.27
21,01/08/2019,35450,35335.11,35500,744670,35500,35050,1318780,1558810,14.08,2107.27
22,31/07/2019,35500,34999.57,35000,933640,35500,34700,1530350,1631880,14.08,2107.27
23,30/07/2019,35000,35181.84,35600,1623110,35600,34950,2271940,2918040,14.08,2107.27
24,29/07/2019,35800,35566.71,35700,1351320,35800,35300,2116350,2315560,14.08,2107.27
25,26/07/2019,35800,35604.94,35000,2184360,35900,35000,3266890,3965370,14.08,2107.27
26,25/07/2019,35200,34983.02,34300,1316210,35200,34300,2603320,2074890,14.08,2107.27
27,24/07/2019,34450,34633.25,35400,1886280,35400,34200,3034510,3226350,14.08,2107.27
28,23/07/2019,35250,35270.95,35750,2132860,35750,34700,3680720,3978880,14.08,2107.27
29,22/07/2019,35750,35597.93,35200,2863060,35950,35000,5185650,4795080,14.08,2107.27
30,19/07/2019,34900,35024.31,35000,1713010,35400,34700,2625190,3770090,14.08,2107.27
31,18/07/2019,34700,34511.18,34450,1442460,34700,34200,2738600,2587430,14.08,2107.27
32,17/07/2019,34550,34615.24,34500,1551860,34900,34250,3041000,3153150,14.08,2107.27
33,16/07/2019,34550,34242.82,33450,3287930,34550,33450,5267050,5003570,14.08,2107.27
34,15/07/2019,33300,33385.88,33300,913470,33500,33250,1400660,1779600,14.08,2107.27
35,12/07/2019,33400,33510.23,33500,1417000,33800,33300,2314440,2955320,14.08,2107.27
36,11/07/2019,33450,33142.09,32600,2461040,33500,32400,4531960,4017610,14.08,2107.27
37,10/07/2019,32400,32613.83,32600,699090,32850,32400,1285710,1624460,14.08,2107.27
38,09/07/2019,32600,32560.44,32400,403680,32700,32400,770960,1055810,14.08,2107.27
39,08/07/2019,32550,32643.84,32900,564180,32900,32400,1195860,1466020,14.08,2107.27
40,05/07/2019,32800,32953.73,32650,1204780,33200,32600,2059830,2986480,14.08,2107.27
41,04/07/2019,32800,32637.41,32400,1147150,32850,32200,1810930,2589000,14.08,2107.27
42,03/07/2019,32100,32194.79,32000,409880,32400,32000,910000,1133820,14.08,2107.27
43,02/07/2019,32050,32236.0,32100,454740,32400,32050,940470,1183540,14.08,2107.27
44,01/07/2019,32350,32292.35,32200,550440,32500,32100,979630,1492820,14.08,2107.27
45,28/06/2019,31700,31690.63,32000,653190,32200,31400,1368520,1262290,14.08,2107.27
46,27/06/2019,32000,32125.99,32450,664820,32450,32000,1126030,1133400,14.08,2107.27
47,26/06/2019,32500,32394.94,32000,1052510,32550,31900,1760370,1724330,14.08,2107.27
48,25/06/2019,32100,32376.61,32600,734450,32700,32100,1211720,1494550,14.08,2107.27
49,24/06/2019,32600,32729.43,32650,750120,33000,32400,1206770,2175180,14.08,2107.27
50,21/06/2019,32500,32623.69,32700,501660,32950,32450,851500,1841190,14.08,2107.27
51,20/06/2019,32650,32442.79,32000,1142380,32700,31900,1999460,2356780,14.08,2107.27
52,19/06/2019,32000,32122.91,32400,461820,32400,31950,719540,1513250,14.08,2107.27
53,18/06/2019,32000,31938.76,31900,273680,32100,31700,541060,1092920,14.08,2107.27
54,17/06/2019,32100,32239.7,32200,693710,32550,31950,1145350,1828570,14.08,2107.27
55,14/06/2019,32150,32092.58,31700,1589620,32250,31500,2491670,3043530,14.08,2107.27
56,13/06/2019,31500,31538.36,31400,289140,31750,31400,677720,942670,14.08,2107.27
57,12/06/2019,31500,31624.49,31700,351310,31900,31450,580590,1215190,14.08,2107.27
58,11/06/2019,31900,31831.48,31800,584390,32000,31600,1024110,1575980,14.08,2107.27
59,10/06/2019,31700,31864.36,31800,471530,32100,31700,803680,1489690,14.08,2107.27
60,07/06/2019,31700,31521.19,31300,459310,31700,31300,822080,1197340,14.08,2107.27
61,06/06/2019,31300,31234.83,31400,329600,31700,30900,611220,1196850,14.08,2107.27
62,05/06/2019,31400,31837.67,32000,482730,32200,31400,931270,1777770,14.08,2107.27
63,04/06/2019,32000,31029.71,30600,867040,32000,30550,1901350,1271560,14.08,2107.27
64,03/06/2019,30600,31147.38,31400,1299050,31500,30600,1878530,2104200,14.08,2107.27
65,31/05/2019,31500,31620.63,31650,914150,31900,31450,1642740,1748530,14.08,2107.27
66,30/05/2019,31800,31991.72,32200,671830,32300,31800,1094540,1506980,14.08,2107.27
67,29/05/2019,32000,32097.31,32300,896960,32450,31950,1534930,1732010,14.08,2107.27
68,28/05/2019,32300,32375.99,32500,881610,32800,32150,1754540,1450330,14.08,2107.27
69,27/05/2019,32600,32589.4,32500,526030,32700,32400,990190,1114680,14.08,2107.27
70,24/05/2019,32500,32784.0,33100,1510920,33250,32500,2382680,2664470,14.08,2107.27
71,23/05/2019,33400,32943.53,33000,795270,33400,32600,2104490,1482710,14.08,2107.27
72,22/05/2019,33200,33405.4,33050,1262730,33600,33050,2064380,2661290,14.08,2107.27
73,21/05/2019,33050,33034.25,32700,1716340,33250,32600,2777680,3274350,14.08,2107.27
74,20/05/2019,32700,32547.93,32100,960860,32900,32100,1963020,1846460,14.08,2107.27
75,17/05/2019,32150,32371.62,32700,938600,32700,32000,1745510,1933480,14.08,2107.27
76,16/05/2019,32600,32673.28,32950,776200,33000,32450,1313650,1698670,14.08,2107.27
77,15/05/2019,32900,32747.97,32600,1460060,33100,32300,2598780,2695870,14.08,2107.27
78,14/05/2019,32400,32387.05,32450,1091640,32600,32000,2041710,2115010,14.08,2107.27
79,13/05/2019,32700,32475.21,32000,778440,32800,32000,1387090,1353670,14.08,2107.27
80,10/05/2019,32000,31715.89,31500,1098030,32200,31400,2482670,1591620,14.08,2107.27
81,09/05/2019,31100,31583.21,32650,1937960,32800,31000,2974210,3192510,14.08,2107.27
82,08/05/2019,32350,32576.18,32700,1127910,33000,32350,2054160,1546720,14.08,2107.27
83,07/05/2019,33100,33210.77,33300,949150,33900,32900,1567670,1882050,14.08,2107.27
84,06/05/2019,33100,33437.14,33650,1220260,33900,33000,2372570,2138220,14.08,2107.27
85,03/05/2019,34200,34375.96,34500,555330,34800,34200,1100800,1191850,14.08,2107.27
86,02/05/2019,34500,34621.27,35000,483460,35000,34500,871100,984410,14.08,2107.27
87,26/04/2019,34800,34772.82,34500,484200,34900,34500,981560,1078120,14.08,2107.27
88,25/04/2019,34500,34707.93,34600,464620,35000,34500,1094550,1407300,14.08,2107.27
