,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,100600,100867.05,100500,176460,101600,100500,0,0,27.69,6510.57
1,29/08/2019,100500,100887.07,101000,205170,101800,100500,321620,604570,27.69,6510.57
2,28/08/2019,102300,102478.03,102000,106940,103200,102000,218570,377000,27.69,6510.57
3,27/08/2019,101900,102149.25,102800,150750,102800,101500,288740,317660,27.69,6510.57
4,26/08/2019,101500,101706.46,102600,518030,103000,101000,915790,971850,27.69,6510.57
5,23/08/2019,104000,103750.94,105000,293260,105000,102900,442450,720070,27.69,6510.57
6,22/08/2019,104600,104447.64,105400,284870,105400,104000,459180,574210,27.69,6510.57
7,21/08/2019,105200,104739.99,103500,495360,105700,103200,894740,783480,27.69,6510.57
8,20/08/2019,103000,102717.86,102500,315690,103300,102300,534340,537600,27.69,6510.57
9,19/08/2019,101800,101810.01,102000,177900,102500,101000,353270,449970,27.69,6510.57
10,16/08/2019,100900,101087.89,100800,373200,101800,100600,615080,632770,27.69,6510.57
11,15/08/2019,100900,99924.94,99000,266470,100900,98700,703740,461740,27.69,6510.57
12,14/08/2019,100900,101097.76,102500,163970,102500,100500,344780,409250,27.69,6510.57
13,13/08/2019,100000,100218.16,101100,499630,101800,99900,742500,665200,27.69,6510.57
14,12/08/2019,102000,102498.31,102200,207340,103000,102000,330760,475930,27.69,6510.57
15,09/08/2019,101300,101552.52,101200,170690,102500,101100,327950,328180,27.69,6510.57
16,08/08/2019,101000,100719.79,100100,397340,103500,99400,744480,597120,27.69,6510.57
17,07/08/2019,100500,101262.32,102900,217060,103000,99900,465010,424510,27.69,6510.57
18,06/08/2019,102000,101506.27,101200,409620,103000,100000,670580,593440,27.69,6510.57
19,05/08/2019,104000,104337.19,105600,343310,106000,103900,520440,516530,27.69,6510.57
20,02/08/2019,106000,105987.53,106000,436240,107100,105000,819230,781640,27.69,6510.57
21,01/08/2019,108300,108558.42,109900,235090,109900,107800,391950,412800,27.69,6510.57
22,31/07/2019,109100,109442.16,109000,126560,110500,108600,267710,294990,27.69,6510.57
23,30/07/2019,109000,110685.33,111000,378650,112500,109000,549560,794980,27.69,6510.57
24,29/07/2019,111000,109809.26,108200,668960,111000,107600,1022760,895370,27.69,6510.57
25,26/07/2019,108000,108642.47,108000,300030,109000,107900,431940,653780,27.69,6510.57
26,25/07/2019,108000,107587.36,106600,436120,108500,106000,712300,654470,27.69,6510.57
27,24/07/2019,106700,107263.16,107300,133000,108200,106600,227000,354530,27.69,6510.57
28,23/07/2019,107100,107123.83,105500,165220,108000,105500,275360,308010,27.69,6510.57
29,22/07/2019,105500,106086.96,105100,126500,107100,105100,266000,224350,27.69,6510.57
30,19/07/2019,106000,106584.71,107500,299330,107500,105800,459050,588130,27.69,6510.57
31,18/07/2019,107200,107658.3,108900,196780,108900,107000,395680,506860,27.69,6510.57
32,17/07/2019,108900,107755.77,105900,532120,109000,105500,893720,870690,27.69,6510.57
33,16/07/2019,106400,106091.61,106000,231630,106500,105500,353680,475350,27.69,6510.57
34,15/07/2019,106000,105863.32,105500,151450,106300,105000,309190,349610,27.69,6510.57
35,12/07/2019,105800,106475.98,107200,166770,107300,105400,289480,537900,27.69,6510.57
