,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,26400,26317.99,26300,191010,26400,26050,0,0,14.19,1731.94
1,29/08/2019,26400,26319.42,26300,347500,26400,26300,350140,390810,14.19,1731.94
2,28/08/2019,26400,26345.99,26400,338040,26450,26300,341850,423990,14.19,1731.94
3,27/08/2019,26600,26377.64,26300,364210,26600,26250,376000,403560,14.19,1731.94
4,26/08/2019,26400,26333.81,26400,379740,26400,26300,392220,448120,14.19,1731.94
5,23/08/2019,26400,26347.82,26300,323670,26400,26300,325150,375060,14.19,1731.94
6,22/08/2019,26400,26354.93,26400,318650,26400,26300,320170,361650,14.19,1731.94
7,21/08/2019,26400,26354.34,26300,350910,26500,26300,352650,427810,14.19,1731.94
8,20/08/2019,26400,26343.38,26350,364380,26400,26300,377320,426730,14.19,1731.94
9,19/08/2019,26400,26401.45,26500,396910,26500,26300,399220,493830,14.19,1731.94
10,16/08/2019,26500,26364.4,26400,426560,26500,26300,443730,473280,14.19,1731.94
11,15/08/2019,26400,26388.63,26400,323700,26500,26350,328980,419740,14.19,1731.94
12,14/08/2019,26400,26326.1,26300,357250,26400,26250,375590,430470,14.19,1731.94
13,13/08/2019,26500,26518.69,26500,533850,26600,26450,556250,601870,14.19,1731.94
14,12/08/2019,26500,26460.43,26600,564730,26600,26400,568270,692080,14.19,1731.94
15,09/08/2019,26600,26576.12,26600,449840,26650,26500,463110,586670,14.19,1731.94
16,08/08/2019,26750,26544.22,26400,619570,27000,26400,675000,842580,14.19,1731.94
17,07/08/2019,26500,26463.9,26500,347530,26500,26400,350420,403380,14.19,1731.94
18,06/08/2019,26500,26456.38,26500,250450,26500,26450,271850,353390,14.19,1731.94
19,05/08/2019,26600,26514.08,26500,318510,26700,26400,320400,463350,14.19,1731.94
20,02/08/2019,26500,26649.59,26750,324020,26750,26500,328040,465030,14.19,1731.94
21,01/08/2019,26750,26429.04,26400,487040,26750,26300,490110,523580,14.19,1731.94
22,31/07/2019,26450,26421.33,26500,275270,26500,26400,278140,367720,14.19,1731.94
23,30/07/2019,26600,26497.42,26600,448270,26600,26450,451710,584850,14.19,1731.94
24,29/07/2019,26600,26591.64,26600,271890,26650,26500,279900,388200,14.19,1731.94
25,26/07/2019,26600,26596.25,26650,335160,26700,26550,342940,479430,14.19,1731.94
26,25/07/2019,26700,26660.36,26650,169090,26700,26650,170050,283450,14.19,1731.94
27,24/07/2019,26650,26628.4,26650,189910,26750,26600,194940,351580,14.19,1731.94
28,23/07/2019,26750,26647.29,26600,292450,26750,26600,302190,426350,14.19,1731.94
29,22/07/2019,26750,26721.22,26900,402040,26950,26600,410330,588790,14.19,1731.94
30,19/07/2019,27000,26709.29,26500,358190,27000,26400,384230,484410,14.19,1731.94
31,18/07/2019,26500,26616.81,26750,409140,26800,26500,424140,560220,14.19,1731.94
32,17/07/2019,26800,26520.12,26400,375300,26800,26400,414950,457600,14.19,1731.94
33,16/07/2019,26500,26339.86,26200,312720,26500,26100,324360,447860,14.19,1731.94
34,15/07/2019,26100,26360.08,26400,219840,26450,26100,234300,484240,14.19,1731.94
35,12/07/2019,26500,26498.14,26500,333080,26550,26300,361820,557880,14.19,1731.94
36,11/07/2019,26600,26004.38,25600,515990,26600,25500,549020,554170,14.19,1731.94
37,10/07/2019,25500,25670.02,25500,231710,25900,25300,302420,366190,14.19,1731.94
38,09/07/2019,25100,25833.75,25900,379310,26000,25100,381690,457480,14.19,1731.94
39,08/07/2019,26000,26086.18,26200,337420,26200,25700,343330,408120,14.19,1731.94
40,05/07/2019,26200,26545.03,26550,288830,26550,26200,301620,373990,14.19,1731.94
41,04/07/2019,26650,26610.09,26600,446560,26700,26100,468740,507380,14.19,1731.94
42,03/07/2019,26600,26672.74,26600,285310,26750,26500,335100,441830,14.19,1731.94
43,02/07/2019,26850,26873.38,27000,427970,27000,26500,451250,625780,14.19,1731.94
44,01/07/2019,27000,26556.85,26500,367890,27000,26200,399700,407080,14.19,1731.94
45,28/06/2019,26500,26498.66,26200,443230,26600,26150,452220,583820,14.19,1731.94
46,27/06/2019,26600,26662.87,26600,158010,26750,26500,175710,261460,14.19,1731.94
47,26/06/2019,26700,26626.9,26650,219590,26700,26500,229290,281940,14.19,1731.94
48,25/06/2019,26650,26080.87,26200,528280,26650,25950,627330,643690,14.19,1731.94
49,24/06/2019,26500,26662.26,26700,363210,26750,26100,466390,545450,14.19,1731.94
50,21/06/2019,26800,26668.56,26700,387610,26800,26550,566410,490700,14.19,1731.94
51,20/06/2019,26700,26522.64,26600,560540,26750,26100,792820,750270,14.19,1731.94
52,19/06/2019,26700,26864.05,26900,396180,27100,26500,620640,761270,14.19,1731.94
53,18/06/2019,26800,26502.83,26400,453310,27000,26250,648240,521720,14.19,1731.94
54,17/06/2019,26600,25507.98,26200,874550,26600,24750,1325460,947210,14.19,1731.94
55,14/06/2019,26550,26552.21,26450,308110,26700,26450,400340,421420,14.19,1731.94
56,13/06/2019,26600,26519.5,26500,203850,26600,26300,297270,339530,14.19,1731.94
57,12/06/2019,26650,26643.38,26750,326310,26800,26500,530090,481010,14.19,1731.94
58,11/06/2019,26750,26711.77,26700,356210,26800,26550,475270,514710,14.19,1731.94
59,10/06/2019,26800,26614.6,26400,432770,26850,26350,734880,578830,14.19,1731.94
60,07/06/2019,26400,26294.39,26300,332010,26400,26200,464020,391010,14.19,1731.94
61,06/06/2019,26350,26326.28,26400,230720,26450,26200,369790,368950,14.19,1731.94
62,05/06/2019,26400,26202.08,26200,377680,26400,26100,469380,456340,14.19,1731.94
63,04/06/2019,26200,26072.74,26050,223260,26200,25950,298510,342090,14.19,1731.94
64,03/06/2019,26200,26116.64,26100,153810,26200,26000,195580,285820,14.19,1731.94
65,31/05/2019,26250,26192.03,26250,183300,26300,26100,241010,298860,14.19,1731.94
66,30/05/2019,26300,26179.22,26200,311010,26300,26100,379140,393260,14.19,1731.94
67,29/05/2019,26250,26193.26,26250,213490,26350,26050,271270,291260,14.19,1731.94
68,28/05/2019,26250,26214.84,26300,249210,26350,26100,461430,342640,14.19,1731.94
69,27/05/2019,26350,26230.18,26300,316010,26350,26100,379080,403390,14.19,1731.94
70,24/05/2019,26300,26228.44,26250,307300,26300,26100,408450,384790,14.19,1731.94
71,23/05/2019,26300,26278.1,26350,312770,26400,26100,446080,414390,14.19,1731.94
72,22/05/2019,26350,26215.4,26200,385880,26350,26000,489090,508350,14.19,1731.94
73,21/05/2019,26200,26129.05,26300,194190,26300,25950,248800,310640,14.19,1731.94
74,20/05/2019,26300,26117.68,26000,225020,26300,26000,247290,335350,14.19,1731.94
75,17/05/2019,26300,26229.13,26250,131190,26300,26100,152890,170060,14.19,1731.94
76,16/05/2019,26250,26226.5,26250,109050,26300,26150,130070,241430,14.19,1731.94
77,15/05/2019,26250,26318.32,26300,187170,26450,26200,198440,297100,14.19,1731.94
78,14/05/2019,26300,26307.16,26250,195080,26350,26250,216780,263190,14.19,1731.94
79,13/05/2019,26300,26331.93,26300,264090,26400,26250,301400,400600,14.19,1731.94
80,10/05/2019,26300,26299.01,26300,269820,26400,26250,310950,357150,14.19,1731.94
81,09/05/2019,26350,26334.07,26400,172780,26450,26200,315360,267120,14.19,1731.94
82,08/05/2019,26350,26061.97,25900,417620,26400,25900,497590,495680,14.19,1731.94
83,07/05/2019,26100,26296.07,26600,440370,26750,26000,604180,556190,14.19,1731.94
84,06/05/2019,26500,26409.53,26350,355970,26500,26250,586090,438240,14.19,1731.94
85,03/05/2019,26350,26223.92,26100,645670,26400,26050,738900,804440,14.19,1731.94
86,02/05/2019,26350,26361.23,26400,653270,26500,26250,793150,821060,14.19,1731.94
