,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20100,20140.37,21350,874810,21450,20100,0,0,22.61,2846.28
1,29/08/2019,21600,21976.81,23200,1067580,23550,21600,1092620,1835960,22.61,2846.28
2,28/08/2019,23200,23054.37,24400,409380,24400,22800,496410,873180,22.61,2846.28
3,27/08/2019,24500,24140.5,25650,643980,25650,23900,760530,925210,22.61,2846.28
4,26/08/2019,25650,25004.33,26500,1269220,26500,24650,1484920,1434850,22.61,2846.28
5,23/08/2019,26500,25551.15,27050,1025120,27550,25150,1184340,1256410,22.61,2846.28
6,22/08/2019,27000,27394.69,28500,1130000,29100,26550,1310160,1632130,22.61,2846.28
7,21/08/2019,28500,28429.46,28050,626920,28650,28050,984500,917880,22.61,2846.28
8,20/08/2019,28000,28027.02,28000,182110,28150,27900,323830,513600,22.61,2846.28
9,19/08/2019,28000,27959.33,27750,358020,28150,27700,667830,643720,22.61,2846.28
10,16/08/2019,27700,27496.2,27300,374670,27750,27300,802020,740170,22.61,2846.28
11,15/08/2019,27300,27225.68,27200,133330,27300,27150,302530,399220,22.61,2846.28
12,14/08/2019,27200,27112.1,27100,194120,27200,27000,416550,596360,22.61,2846.28
13,13/08/2019,27100,27008.86,27050,154690,27100,26900,395640,384070,22.61,2846.28
14,12/08/2019,27050,27118.64,27150,161660,27200,27000,284540,362160,22.61,2846.28
15,09/08/2019,27150,27205.15,27200,139900,27300,27100,311480,328450,22.61,2846.28
16,08/08/2019,27200,27176.21,27050,321200,27350,27000,500990,731930,22.61,2846.28
17,07/08/2019,27050,26719.34,26300,377180,27100,26300,697960,738790,22.61,2846.28
18,06/08/2019,26300,26142.47,26100,262370,26300,25900,399180,536010,22.61,2846.28
19,05/08/2019,26100,26072.59,26200,236110,26250,25900,332200,467700,22.61,2846.28
20,02/08/2019,26200,26470.88,26400,200560,26650,26200,279570,474900,22.61,2846.28
21,01/08/2019,26400,26214.56,25850,483510,26500,25850,765010,744000,22.61,2846.28
22,31/07/2019,25850,25620.15,25400,439810,25950,25350,671930,627480,22.61,2846.28
23,30/07/2019,25400,25179.74,25600,317120,25700,24750,485340,649420,22.61,2846.28
24,29/07/2019,25600,25888.4,26250,342470,26300,25300,455080,699160,22.61,2846.28
25,26/07/2019,26300,26596.9,26300,535100,26900,26300,846570,712240,22.61,2846.28
26,25/07/2019,27150,28487.55,29200,1474960,29900,27150,1842540,2443590,22.61,2846.28
27,24/07/2019,29150,28996.01,28400,704890,29350,28400,1177730,973040,22.61,2846.28
28,23/07/2019,28400,28350.18,28400,184020,28500,28100,330270,414960,22.61,2846.28
29,22/07/2019,28400,28362.65,27850,383180,28500,27850,629140,556290,22.61,2846.28
30,19/07/2019,27850,27715.63,27600,221680,27850,27600,390950,397180,22.61,2846.28
31,18/07/2019,27600,27574.06,27500,193080,27700,27500,342770,385750,22.61,2846.28
32,17/07/2019,27500,27615.24,27650,144920,27700,27450,249780,375960,22.61,2846.28
33,16/07/2019,27650,27700.68,27750,143390,27800,27550,253210,419730,22.61,2846.28
34,15/07/2019,27750,27636.82,27150,476900,27900,27100,720670,686800,22.61,2846.28
35,12/07/2019,27150,27157.73,27050,620560,27250,27050,791620,846670,22.61,2846.28
36,11/07/2019,27050,26958.06,27100,147340,27200,26800,243670,347100,22.61,2846.28
37,10/07/2019,27100,27080.94,27350,130350,27350,26850,222480,351030,22.61,2846.28
38,09/07/2019,27350,27566.6,27450,353580,27750,27300,548130,602010,22.61,2846.28
39,08/07/2019,27450,27127.51,26900,281080,27450,26800,532190,491300,22.61,2846.28
40,05/07/2019,26900,26914.09,26900,175410,27000,26800,290600,428950,22.61,2846.28
41,04/07/2019,26900,26942.52,27000,148390,27100,26800,238080,399780,22.61,2846.28
42,03/07/2019,27000,27030.95,26950,165440,27150,26950,304300,396440,22.61,2846.28
43,02/07/2019,26950,26716.84,26400,288320,27000,26350,556290,452080,22.61,2846.28
44,01/07/2019,26400,26346.02,26300,200220,26400,26200,330950,398840,22.61,2846.28
45,28/06/2019,26350,26297.91,26250,135410,26350,26200,262920,294660,22.61,2846.28
46,27/06/2019,26250,26311.86,26300,147310,26400,26250,218650,321730,22.61,2846.28
47,26/06/2019,26300,26251.51,26300,132640,26400,26100,251320,311910,22.61,2846.28
48,25/06/2019,26300,26416.37,26550,118790,26600,26250,187280,347840,22.61,2846.28
49,24/06/2019,26700,26682.63,26600,158680,26750,26600,271530,358660,22.61,2846.28
