,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,14950,15182.89,15500,1589750,15500,14950,0,0,17.08,2112.62
1,29/08/2019,15400,15433.1,15200,840920,15650,15200,1749140,1780770,17.08,2112.62
2,28/08/2019,15300,15329.47,14900,1181450,15700,14800,2467720,2241330,17.08,2112.62
3,27/08/2019,14900,15116.68,15250,1077750,15450,14800,2192970,1975100,17.08,2112.62
4,26/08/2019,15100,14950.95,14700,843960,15200,14700,1936030,1683670,17.08,2112.62
5,23/08/2019,14750,14693.27,14750,587480,14900,14550,1371200,1053750,17.08,2112.62
6,22/08/2019,14700,14767.96,14600,2070090,15100,14350,3529370,3460510,17.08,2112.62
7,21/08/2019,14650,15077.7,15700,2581030,15800,14650,5164920,4287150,17.08,2112.62
8,20/08/2019,15700,15632.78,15600,847770,15850,15450,1984920,1942200,17.08,2112.62
9,19/08/2019,15450,14990.05,14450,1739420,15450,14250,4290320,2305710,17.08,2112.62
10,16/08/2019,14450,14546.71,14350,995620,14850,14300,1881050,1824710,17.08,2112.62
11,15/08/2019,14450,14485.64,14200,924640,14800,14150,2369470,1940360,17.08,2112.62
12,14/08/2019,14600,14788.96,14750,883970,15100,14550,2228410,2082520,17.08,2112.62
13,13/08/2019,14550,14493.79,14250,1245430,14800,14200,3214410,2394630,17.08,2112.62
14,12/08/2019,14200,13773.28,13700,1118760,14200,13450,2320230,2264520,17.08,2112.62
15,09/08/2019,13850,13897.46,14100,1358450,14100,13700,2929560,3346110,17.08,2112.62
16,08/08/2019,14100,14125.24,13900,1561460,14500,13900,3318120,3022200,17.08,2112.62
17,07/08/2019,13900,13906.12,13950,1655530,14300,13650,2351320,4032280,17.08,2112.62
18,06/08/2019,13950,13736.38,12950,1993320,14200,12950,4047660,4622500,17.08,2112.62
19,05/08/2019,13300,13446.32,13000,1590770,13800,12900,3506060,4885750,17.08,2112.62
20,02/08/2019,13100,13000.98,12100,3077230,13150,12050,5460480,3919760,17.08,2112.62
21,01/08/2019,12300,12463.33,12350,1901900,12750,12200,4278520,5054770,17.08,2112.62
22,31/07/2019,12050,11809.44,11300,2362940,12050,11250,5718470,4364070,17.08,2112.62
23,30/07/2019,11300,11363.28,11350,968470,11450,11250,1862820,3310990,17.08,2112.62
24,29/07/2019,11450,11515.7,11600,1772450,11750,11350,2654970,4615610,17.08,2112.62
25,26/07/2019,11350,11334.9,11250,1256650,11350,11250,3455620,1410260,17.08,2112.62
26,25/07/2019,10650,10747.93,10800,296150,10850,10650,557260,773110,17.08,2112.62
27,24/07/2019,10700,10697.26,10600,180420,10800,10600,602470,578720,17.08,2112.62
28,23/07/2019,10700,10636.05,10600,312240,10700,10600,782030,565090,17.08,2112.62
29,22/07/2019,10600,10626.46,10600,274880,10800,10600,757740,667500,17.08,2112.62
30,19/07/2019,10750,10713.81,10950,451940,11000,10650,942780,759380,17.08,2112.62
31,18/07/2019,10850,10791.16,10900,453890,11000,10650,760970,828190,17.08,2112.62
32,17/07/2019,10900,11000.42,10900,447710,11100,10900,845210,1022470,17.08,2112.62
33,16/07/2019,10950,10959.57,11050,368810,11100,10900,759300,748300,17.08,2112.62
34,15/07/2019,11050,11075.71,11200,392300,11250,11000,677090,975210,17.08,2112.62
35,12/07/2019,11150,11304.96,11200,806460,11450,11150,1550690,1904640,17.08,2112.62
36,11/07/2019,11100,11109.7,10900,629990,11200,10900,1284480,1483270,17.08,2112.62
37,10/07/2019,10900,10918.67,10800,284650,11000,10800,719990,828050,17.08,2112.62
38,09/07/2019,10900,10898.43,11100,323900,11100,10800,633260,1176840,17.08,2112.62
39,08/07/2019,11050,10987.99,10850,464780,11100,10850,832350,1186060,17.08,2112.62
40,05/07/2019,11000,10964.4,10800,552880,11050,10800,1287960,1216270,17.08,2112.62
41,04/07/2019,10900,10934.38,10800,730540,11050,10800,1759520,1790100,17.08,2112.62
42,03/07/2019,10700,10694.43,10550,253590,10800,10550,1015800,667670,17.08,2112.62
43,02/07/2019,10550,10524.0,10550,341410,10600,10500,844200,684620,17.08,2112.62
44,01/07/2019,10600,10537.73,10650,308890,10700,10450,889170,556030,17.08,2112.62
45,28/06/2019,10400,10434.12,10600,599380,10600,10350,1313970,1027890,17.08,2112.62
46,27/06/2019,10500,10598.21,10650,588590,10750,10500,943010,959460,17.08,2112.62
47,26/06/2019,10650,10731.69,10900,537660,10900,10600,888720,976880,17.08,2112.62
48,25/06/2019,10950,10922.05,11000,267990,11000,10850,579180,609880,17.08,2112.62
49,24/06/2019,10900,11061.02,11450,443630,11450,10900,794860,1048950,17.08,2112.62
50,21/06/2019,11250,11100.52,10750,1615780,11350,10750,3102200,3010070,17.08,2112.62
51,20/06/2019,10750,10767.78,10750,287060,10800,10700,635780,830530,17.08,2112.62
52,19/06/2019,10700,10759.15,10900,199830,10900,10650,624690,1352130,17.08,2112.62
53,18/06/2019,10800,10774.01,10550,585390,10900,10550,1563370,1157610,17.08,2112.62
54,17/06/2019,10550,10642.63,10900,255200,10900,10550,558700,1096550,17.08,2112.62
55,14/06/2019,10800,10740.06,10600,417130,10950,10600,1100500,1278880,17.08,2112.62
56,13/06/2019,10700,10661.33,10800,202320,10800,10550,532080,1053980,17.08,2112.62
57,12/06/2019,10750,10682.49,10400,924410,10850,10350,2054320,1756810,17.08,2112.62
58,11/06/2019,10350,10424.88,10250,428590,10650,10100,1205170,993160,17.08,2112.62
59,10/06/2019,10200,10231.79,10300,229090,10400,10150,500810,522860,17.08,2112.62
60,07/06/2019,10300,10271.78,10200,143500,10400,10100,430450,313700,17.08,2112.62
61,06/06/2019,10000,10078.35,10100,289730,10200,10000,496060,540000,17.08,2112.62
62,05/06/2019,10150,10262.64,10350,357900,10500,10100,733930,668500,17.08,2112.62
63,04/06/2019,10200,10217.37,10150,181260,10400,10100,472750,360630,17.08,2112.62
64,03/06/2019,10150,10149.12,10400,511670,10550,10000,1142140,943580,17.08,2112.62
