,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20600,20740.84,21000,76130,21000,20550,0,0,16.66,3723.92
1,29/08/2019,20700,20525.45,20500,188790,21000,20200,530840,442940,16.66,3723.92
2,28/08/2019,20000,20099.34,20000,406680,20700,19900,663940,547800,16.66,3723.92
3,27/08/2019,19550,19808.01,20100,108340,20100,19550,294260,185260,16.66,3723.92
4,26/08/2019,20000,19954.16,19800,135260,20100,19600,251070,173230,16.66,3723.92
5,23/08/2019,20200,20085.47,20300,2340,20300,19650,93690,40560,16.66,3723.92
6,22/08/2019,20000,19978.58,19600,84040,20600,19600,159260,186900,16.66,3723.92
7,21/08/2019,20100,20104.79,20450,267200,20450,20000,302270,473220,16.66,3723.92
8,20/08/2019,20100,20071.62,20400,633930,20550,19700,775960,724570,16.66,3723.92
9,19/08/2019,20550,20597.86,21300,158900,21300,20500,213900,266530,16.66,3723.92
10,16/08/2019,21000,21016.95,21000,17700,21300,21000,44120,90260,16.66,3723.92
11,15/08/2019,21100,21154.82,21100,138550,21300,21000,199830,330910,16.66,3723.92
12,14/08/2019,21100,20891.92,20800,49780,21300,20350,122800,128550,16.66,3723.92
13,13/08/2019,20500,20508.61,20500,12190,20800,20500,45220,69440,16.66,3723.92
14,12/08/2019,20500,20556.75,21000,14010,21000,20500,23630,62090,16.66,3723.92
15,09/08/2019,20950,21071.25,21500,39580,21500,20900,63650,159560,16.66,3723.92
16,08/08/2019,21300,21309.19,20350,14360,21400,20350,89170,138550,16.66,3723.92
17,07/08/2019,21200,21200.0,21200,47720,21200,21200,75170,158000,16.66,3723.92
18,06/08/2019,21250,21100.4,21700,2517440,21700,21100,2550760,2624200,16.66,3723.92
19,05/08/2019,21200,21298.17,21500,9860,21500,21200,22240,83180,16.66,3723.92
20,02/08/2019,21400,21725.73,21900,6490,21900,21400,35640,243430,16.66,3723.92
21,01/08/2019,21500,21617.08,22000,59490,22000,21100,125040,222680,16.66,3723.92
22,31/07/2019,21550,21244.55,21700,25230,21700,21000,92130,158870,16.66,3723.92
23,30/07/2019,21100,21423.33,21450,27260,21800,21100,58460,206590,16.66,3723.92
24,29/07/2019,21500,21870.64,21900,128940,21900,21500,191660,309070,16.66,3723.92
25,26/07/2019,21900,21974.79,21900,23800,22100,21900,116690,326740,16.66,3723.92
26,25/07/2019,21900,21776.32,21700,15200,21900,21450,59160,166040,16.66,3723.92
27,24/07/2019,21800,21704.04,21200,22300,21900,20800,102060,339780,16.66,3723.92
28,23/07/2019,21900,21802.09,22200,12430,22200,21200,159900,321470,16.66,3723.92
29,22/07/2019,21900,21343.87,21200,7590,21900,21100,178110,342900,16.66,3723.92
30,19/07/2019,21600,21631.82,22000,68880,22000,21550,268650,2469730,16.66,3723.92
31,18/07/2019,21600,21741.78,21300,16420,22450,21300,252180,317740,16.66,3723.92
32,17/07/2019,21900,22087.11,22000,55100,22400,21900,236860,2886050,16.66,3723.92
33,16/07/2019,21900,22019.67,22000,41690,22300,21900,236410,313620,16.66,3723.92
34,15/07/2019,22000,22763.11,21800,1943100,23000,21800,2380270,3972780,16.66,3723.92
35,12/07/2019,21700,21560.22,21800,46660,21800,21500,125410,1599260,16.66,3723.92
36,11/07/2019,21700,21585.1,21500,182070,21800,21450,491300,1512110,16.66,3723.92
37,10/07/2019,21550,21689.79,21700,31720,21850,21550,191790,1019900,16.66,3723.92
38,09/07/2019,21700,21606.51,21500,556360,21800,21200,1020900,2240500,16.66,3723.92
39,08/07/2019,21300,21487.85,21400,100010,21950,21300,210090,1330870,16.66,3723.92
40,05/07/2019,21400,21454.95,20500,1389190,21700,20400,1739630,1873660,16.66,3723.92
41,04/07/2019,20500,20555.71,20900,35270,21000,20500,89690,211380,16.66,3723.92
42,03/07/2019,20800,20716.51,20800,19260,20800,20550,123100,192140,16.66,3723.92
43,02/07/2019,20700,20700.0,20650,1120,20800,20650,30630,235500,16.66,3723.92
44,01/07/2019,20800,20827.59,20700,7250,21000,20700,21110,188490,16.66,3723.92
45,28/06/2019,21050,21064.3,21200,45100,21250,20700,115890,551740,16.66,3723.92
46,27/06/2019,21300,21280.56,21200,360000,21300,21100,411270,829400,16.66,3723.92
47,26/06/2019,21200,21050.2,20600,86460,21400,20600,137440,675210,16.66,3723.92
48,25/06/2019,22000,21575.85,21200,54320,22000,20150,134450,195280,16.66,3723.92
49,24/06/2019,20650,20359.13,20500,79080,20650,20000,131850,271720,16.66,3723.92
50,21/06/2019,20500,20580.31,20900,63070,20900,20500,225210,291850,16.66,3723.92
51,20/06/2019,20950,21055.03,21300,21990,21500,20700,113420,515790,16.66,3723.92
52,19/06/2019,21300,20985.01,20900,32690,21350,20900,282860,115970,16.66,3723.92
53,18/06/2019,20900,21053.92,21200,81600,21400,20900,273700,182820,16.66,3723.92
54,17/06/2019,21400,21463.41,21600,18450,21600,21400,64090,94120,16.66,3723.92
55,14/06/2019,21600,21611.94,21600,67000,21800,21500,296350,204450,16.66,3723.92
56,13/06/2019,21600,21543.51,21600,30450,21650,21400,304990,181950,16.66,3723.92
57,12/06/2019,21600,21711.15,21100,578090,21950,21100,1034840,1026830,16.66,3723.92
58,11/06/2019,21700,21747.49,21650,67640,22400,21600,251280,354710,16.66,3723.92
59,10/06/2019,22000,22029.84,22400,166910,22400,22000,397030,350660,16.66,3723.92
60,07/06/2019,22450,22207.32,22000,1603120,22700,22000,2179020,2957900,16.66,3723.92
61,06/06/2019,22000,22083.18,22000,1585460,22350,21850,2095650,2523350,16.66,3723.92
62,05/06/2019,22000,21783.82,21100,3764400,22050,21100,4362650,4996730,16.66,3723.92
63,04/06/2019,20850,21531.0,21100,792160,21950,20500,953350,1447920,16.66,3723.92
64,03/06/2019,21100,21129.94,21050,394180,21800,21000,519080,504270,16.66,3723.92
65,31/05/2019,21450,21314.61,21200,15670,21450,21200,121010,122080,16.66,3723.92
66,30/05/2019,21700,21479.29,21900,176030,21900,21300,283060,478460,16.66,3723.92
67,29/05/2019,21800,21904.4,21700,233880,22000,21700,380940,743350,16.66,3723.92
68,28/05/2019,21900,21951.28,21850,1245850,22000,21800,1480590,2474160,16.66,3723.92
69,27/05/2019,21800,21647.86,21500,221500,21800,21000,432930,653520,16.66,3723.92
70,24/05/2019,21500,21185.67,21050,76750,21550,21000,230900,580530,16.66,3723.92
71,23/05/2019,21550,21409.61,20800,233540,21550,20800,466860,606990,16.66,3723.92
72,22/05/2019,21400,21242.63,21400,244320,21500,20850,571450,1311260,16.66,3723.92
73,21/05/2019,21050,21457.44,21350,1778730,21900,20750,2321630,4380290,16.66,3723.92
74,20/05/2019,20700,20808.57,19900,2875210,21300,19900,3670250,3444960,16.66,3723.92
75,17/05/2019,19950,19669.89,19600,1120240,19950,19500,1842960,1679930,16.66,3723.92
76,16/05/2019,19200,19369.89,19800,259320,19800,19200,404840,846410,16.66,3723.92
77,15/05/2019,19550,19527.25,19050,942580,20000,19050,1492940,1952210,16.66,3723.92
78,14/05/2019,19300,19059.93,18700,634420,19300,18700,953880,958130,16.66,3723.92
79,13/05/2019,18700,18629.63,18700,54000,18700,18550,97880,202170,16.66,3723.92
80,10/05/2019,18600,18624.52,18700,23410,18700,18550,113390,186230,16.66,3723.92
81,09/05/2019,18650,18730.63,18950,87130,18950,18650,178100,381560,16.66,3723.92
82,08/05/2019,19000,19000.43,19000,115050,19100,18950,171860,671230,16.66,3723.92
83,07/05/2019,19000,18990.37,18600,150550,19000,18600,300720,598210,16.66,3723.92
84,06/05/2019,18850,18851.88,18950,156430,18950,18700,211860,519840,16.66,3723.92
85,03/05/2019,19000,19007.92,18800,338280,19200,18800,546500,649380,16.66,3723.92
86,02/05/2019,18850,18691.04,18800,306350,18900,18400,530760,611830,16.66,3723.92
87,26/04/2019,18600,18456.3,18400,47030,18650,18300,209950,914450,16.66,3723.92
88,25/04/2019,18500,18470.75,18750,43420,18750,18400,125400,434920,16.66,3723.92
89,24/04/2019,18500,18545.65,18500,1388520,19000,18250,1623260,1966220,16.66,3723.92
90,23/04/2019,18450,18527.02,18600,174340,18600,18400,345940,1019530,16.66,3723.92
91,22/04/2019,18450,18733.66,18800,711660,18800,18450,837250,1537540,16.66,3723.92
92,19/04/2019,18750,18621.7,18400,252340,18800,18400,548760,693900,16.66,3723.92
93,18/04/2019,18400,18408.24,18400,162210,18550,18050,402330,774470,16.66,3723.92
94,17/04/2019,18250,18327.44,18400,138590,18600,18200,321740,928290,16.66,3723.92
95,16/04/2019,18300,18066.65,17700,220240,18350,17700,571390,701370,16.66,3723.92
96,12/04/2019,17500,18359.98,18450,1133770,18500,17500,1167750,2433340,16.66,3723.92
97,11/04/2019,18300,18654.16,18600,1150950,18700,18300,1277480,2928420,16.66,3723.92
98,10/04/2019,18600,18747.22,18650,922110,18800,18600,957760,3188450,16.66,3723.92
99,09/04/2019,18800,18948.27,18950,1198790,19000,18600,1390430,2934870,16.66,3723.92
100,08/04/2019,18850,18900.35,18600,1526850,19000,18500,1899610,2948520,16.66,3723.92
101,05/04/2019,18600,18694.45,18950,159780,18950,18600,258730,1106780,16.66,3723.92
102,04/04/2019,18800,18800.62,19000,116060,19000,18700,245860,970220,16.66,3723.92
103,03/04/2019,18900,18990.41,19000,164820,19100,18900,234000,1397080,16.66,3723.92
104,02/04/2019,19100,19263.62,19100,1235230,19400,19100,1433390,2199680,16.66,3723.92
105,01/04/2019,19100,19149.34,19400,159640,19600,19050,318950,706060,16.66,3723.92
106,29/03/2019,19400,19242.13,19350,294510,19400,19000,612170,617900,16.66,3723.92
107,28/03/2019,19300,19011.51,19000,464140,19350,18900,1116130,781110,16.66,3723.92
108,27/03/2019,19350,19751.08,19350,775350,19950,19350,1490070,2329220,16.66,3723.92
109,26/03/2019,19350,18860.7,18500,2298430,19650,18500,4496950,3243650,16.66,3723.92
110,25/03/2019,18500,18330.75,17650,109870,18500,17650,461520,418110,16.66,3723.92
111,22/03/2019,18500,18466.76,18500,359240,18500,18350,622390,821690,16.66,3723.92
112,21/03/2019,18450,18577.14,18700,515580,18800,18450,734780,1447680,16.66,3723.92
