,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,17900,18167.13,18600,839700,18600,17800,0,0,14.22,1795.96
1,29/08/2019,18500,18692.34,19100,941100,19200,18300,1221400,1492700,14.22,1795.96
2,28/08/2019,19000,18974.33,18900,363100,19100,18900,514700,873700,14.22,1795.96
3,27/08/2019,18800,18972.58,18800,646300,19300,18800,753700,1258700,14.22,1795.96
4,26/08/2019,18800,18662.75,18600,286700,18800,18600,511200,604900,14.22,1795.96
5,23/08/2019,18800,18760.54,18800,318800,18900,18600,423000,632200,14.22,1795.96
6,22/08/2019,18800,18780.61,18700,292400,18900,18700,496000,846800,14.22,1795.96
7,21/08/2019,18700,18761.83,18900,631100,19000,18600,766600,1488800,14.22,1795.96
8,20/08/2019,18800,18916.42,18300,1095500,19200,18300,1394100,1457800,14.22,1795.96
9,19/08/2019,18300,18246.34,18000,373100,18300,17900,640300,613100,14.22,1795.96
10,16/08/2019,18000,18194.43,18200,423400,18300,18000,574200,822100,14.22,1795.96
11,15/08/2019,18200,17850.43,17800,422000,18200,17400,805600,765600,14.22,1795.96
12,14/08/2019,18000,18007.09,18100,452600,18400,17800,691100,807500,14.22,1795.96
13,13/08/2019,18000,18101.12,18600,1208200,18700,17700,1521200,1565000,14.22,1795.96
14,12/08/2019,18500,18532.87,18500,536600,18700,18400,763900,841700,14.22,1795.96
15,09/08/2019,18500,18473.4,18400,682700,18800,18200,995200,1231800,14.22,1795.96
16,08/08/2019,18400,18334.71,18600,466500,18600,18200,750000,1041800,14.22,1795.96
17,07/08/2019,18600,18341.37,18300,453500,18600,18000,787600,918800,14.22,1795.96
18,06/08/2019,18300,18047.33,17500,1498200,18600,17400,1934300,1746500,14.22,1795.96
19,05/08/2019,17700,17539.21,17500,932900,17800,17300,1396900,1187600,14.22,1795.96
20,02/08/2019,17500,17283.6,17400,475600,17500,17100,966300,913000,14.22,1795.96
21,01/08/2019,17500,17281.42,17300,710500,17500,17100,1001500,1375100,14.22,1795.96
22,31/07/2019,17300,16997.51,16800,952000,17400,16700,1703200,1416700,14.22,1795.96
23,30/07/2019,16800,17040.33,17100,901000,17200,16800,1084500,1259600,14.22,1795.96
24,29/07/2019,17100,17274.48,17400,450300,17500,17100,632100,869200,14.22,1795.96
25,26/07/2019,17400,17414.2,17600,404100,17600,17300,819700,973300,14.22,1795.96
26,25/07/2019,17600,17399.55,17100,1451000,17700,17100,1939200,1924600,14.22,1795.96
27,24/07/2019,17100,17178.5,17000,1084800,17400,16900,1802400,1767800,14.22,1795.96
28,23/07/2019,16900,16771.33,16700,644600,16900,16600,1598700,1090300,14.22,1795.96
29,22/07/2019,16700,16725.75,16800,518400,16800,16700,1246000,958700,14.22,1795.96
30,19/07/2019,16800,16852.29,17000,1272700,17000,16700,2053100,1937000,14.22,1795.96
31,18/07/2019,16800,16881.16,17000,977700,17100,16800,1299600,1444900,14.22,1795.96
32,17/07/2019,17000,17136.18,17300,609200,17400,17000,919200,1350800,14.22,1795.96
33,16/07/2019,17300,17074.64,16800,1613600,17400,16700,2122100,2325300,14.22,1795.96
34,15/07/2019,16700,16703.08,16500,1980000,16900,16400,2356200,2665200,14.22,1795.96
35,12/07/2019,16500,16549.94,16500,616000,16700,16400,1038600,959900,14.22,1795.96
36,11/07/2019,16500,16539.15,16700,916800,16700,16400,1405200,1607100,14.22,1795.96
37,10/07/2019,16700,16650.01,16300,1518800,17000,16200,2124500,2187100,14.22,1795.96
