,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,18100,18022.85,17550,244190,18300,17550,0,0,13.06,2594.2
1,29/08/2019,17550,17691.5,17800,248820,17900,17550,419060,398550,13.06,2594.2
2,28/08/2019,17900,17901.49,17900,168310,18500,17550,355820,470980,13.06,2594.2
3,27/08/2019,17900,18133.2,18500,431970,18500,17900,618690,726910,13.06,2594.2
4,26/08/2019,18150,18182.23,18000,222030,18550,17800,457620,397500,13.06,2594.2
5,23/08/2019,18150,18434.04,18800,476130,18850,18150,674550,851660,13.06,2594.2
6,22/08/2019,18700,18570.38,18200,583510,18800,18200,1198370,1047910,13.06,2594.2
7,21/08/2019,18150,18195.76,17550,410810,18500,17550,808320,585570,13.06,2594.2
8,20/08/2019,17850,17821.48,17500,227310,17950,17500,543600,415820,13.06,2594.2
9,19/08/2019,17600,17767.74,17900,212520,18100,17450,447460,463300,13.06,2594.2
10,16/08/2019,17450,17270.91,16200,763770,17600,16200,1430950,940750,13.06,2594.2
11,15/08/2019,16450,16328.23,16000,71900,16550,16000,312830,146860,13.06,2594.2
12,14/08/2019,16500,16311.91,16300,242890,16550,16000,489320,346090,13.06,2594.2
13,13/08/2019,16250,16261.08,16700,213270,16850,16000,386710,314240,13.06,2594.2
14,12/08/2019,16800,16737.67,16750,129110,16800,16550,199270,215650,13.06,2594.2
15,09/08/2019,16750,16682.41,16350,370630,17000,16300,791500,536520,13.06,2594.2
16,08/08/2019,16000,15940.49,15900,395220,16400,15500,702250,546600,13.06,2594.2
17,07/08/2019,15700,15978.29,16200,314990,16200,15700,392920,514570,13.06,2594.2
18,06/08/2019,16200,16528.03,16700,444820,16700,16200,491860,529240,13.06,2594.2
19,05/08/2019,16800,16693.49,16550,540570,16850,16550,636280,643560,13.06,2594.2
20,02/08/2019,16550,16632.48,16700,185240,16700,16500,242870,223240,13.06,2594.2
21,01/08/2019,16650,16779.88,16750,69190,17000,16600,125460,137180,13.06,2594.2
22,31/07/2019,16650,16700.5,17000,128080,17000,16500,169560,190800,13.06,2594.2
23,30/07/2019,17000,17183.31,17250,149040,17300,17000,207270,342110,13.06,2594.2
24,29/07/2019,17250,17364.63,18000,84770,18000,17250,138540,244390,13.06,2594.2
25,26/07/2019,17800,17776.25,17900,14570,17900,17700,34590,225030,13.06,2594.2
26,25/07/2019,17800,17908.85,17950,37300,17950,17800,58640,281350,13.06,2594.2
27,24/07/2019,17950,17847.95,18000,42750,18000,17600,78410,215580,13.06,2594.2
28,23/07/2019,18000,17776.82,17900,46240,18000,17600,90200,142850,13.06,2594.2
29,22/07/2019,17600,17589.22,18200,82380,18200,17500,133590,327650,13.06,2594.2
