,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,21500,21413.96,21400,1236390,21500,21250,0,0,17.08,2518.13
1,29/08/2019,21350,21294.18,21400,948710,21400,21100,1744210,2651200,17.08,2518.13
2,28/08/2019,21400,21416.84,21400,736990,21500,21350,1499490,1968520,17.08,2518.13
3,27/08/2019,21450,21439.73,21350,1805340,21550,21300,3213880,3213980,17.08,2518.13
4,26/08/2019,21250,21162.24,21200,3277300,21350,20950,4957900,4975140,17.08,2518.13
5,23/08/2019,21650,21559.47,21600,1304670,21650,21450,2905230,2542360,17.08,2518.13
6,22/08/2019,21650,21681.32,21650,1593030,21850,21600,2550060,3520450,17.08,2518.13
7,21/08/2019,21650,21628.33,21650,2062850,21800,21400,4397150,4882460,17.08,2518.13
8,20/08/2019,21550,21505.5,21600,1342680,21700,21350,2791060,3386460,17.08,2518.13
9,19/08/2019,21550,21622.22,21900,1938330,21900,21500,3275910,4307340,17.08,2518.13
10,16/08/2019,21900,21542.61,21000,6269250,22000,20900,10830610,9905230,17.08,2518.13
11,15/08/2019,21000,20731.54,20400,2105150,21000,20400,4231290,3488450,17.08,2518.13
12,14/08/2019,20850,20849.5,20850,1250150,20950,20700,2857310,3767110,17.08,2518.13
13,13/08/2019,20650,20508.85,20200,2100020,20700,20150,3458380,4056040,17.08,2518.13
14,12/08/2019,20250,20243.51,20200,840220,20350,20200,1658210,2242480,17.08,2518.13
15,09/08/2019,20200,20168.42,20200,875180,20300,20100,1871590,1698010,17.08,2518.13
16,08/08/2019,20200,20089.16,20100,1798980,20250,20000,3811080,3563120,17.08,2518.13
17,07/08/2019,20100,20178.22,20300,1212000,20400,20050,2842000,2955990,17.08,2518.13
18,06/08/2019,20250,20126.38,20200,1970250,20300,19900,3749860,3305150,17.08,2518.13
19,05/08/2019,20400,20378.0,20400,2653940,20550,20300,3434880,5124470,17.08,2518.13
20,02/08/2019,20550,20491.6,20400,3516660,20700,20350,6389500,5856800,17.08,2518.13
21,01/08/2019,20700,20635.31,20600,1192180,20700,20500,2573280,2012690,17.08,2518.13
22,31/07/2019,20550,20606.78,20700,1219550,20700,20550,1851510,2506150,17.08,2518.13
23,30/07/2019,20700,20746.2,20900,1551320,20900,20650,2240350,3691650,17.08,2518.13
24,29/07/2019,20800,20846.72,21000,2419230,21050,20750,4238190,4409860,17.08,2518.13
