,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,23550,23592.4,23400,332480,23700,23400,0,0,19.91,4107.77
1,29/08/2019,23400,23508.97,23900,802970,23900,23300,1235560,1404480,19.91,4107.77
2,28/08/2019,23800,24073.14,24300,572630,24500,23800,709870,1082850,19.91,4107.77
3,27/08/2019,24300,24461.51,24600,461010,24650,24300,699450,1017330,19.91,4107.77
4,26/08/2019,24450,24579.79,24200,522950,24850,24100,1069090,1169480,19.91,4107.77
5,23/08/2019,24450,24608.85,24600,381570,24850,24450,715720,967950,19.91,4107.77
6,22/08/2019,24550,24542.01,24300,835710,24700,24300,1627570,1598500,19.91,4107.77
7,21/08/2019,24050,24136.47,24000,542540,24500,23900,1115610,1050690,19.91,4107.77
8,20/08/2019,24050,24265.37,24300,532240,24500,24050,816550,1157040,19.91,4107.77
9,19/08/2019,24250,24422.07,24300,499630,24700,24250,773800,986900,19.91,4107.77
10,16/08/2019,24300,24451.32,24400,792350,24850,24050,1590790,1415520,19.91,4107.77
11,15/08/2019,24200,24147.88,23900,765740,24500,23800,1511660,1246230,19.91,4107.77
12,14/08/2019,24700,24974.59,24950,452580,25200,24700,712760,1160750,19.91,4107.77
13,13/08/2019,24650,24623.6,25100,769790,25100,24400,1218630,1274380,19.91,4107.77
14,12/08/2019,25100,25097.39,25200,377330,25500,25000,712160,791920,19.91,4107.77
15,09/08/2019,25500,25414.89,25450,303090,25600,25200,721180,733210,19.91,4107.77
16,08/08/2019,25500,25125.25,25300,590840,25550,24650,1652160,1125260,19.91,4107.77
17,07/08/2019,25250,25449.86,25900,667430,25900,25000,857160,1222550,19.91,4107.77
18,06/08/2019,25900,26083.07,26000,581450,26500,25700,1228960,1254540,19.91,4107.77
19,05/08/2019,26450,26462.43,26300,814400,26700,26250,1438630,1974260,19.91,4107.77
20,02/08/2019,26300,26116.2,25400,1165560,26400,25200,2261400,2325980,19.91,4107.77
21,01/08/2019,25300,25317.36,25000,378120,25500,24800,710910,819040,19.91,4107.77
22,31/07/2019,25000,24800.15,25300,784350,25300,24300,1159530,1358330,19.91,4107.77
23,30/07/2019,25100,25619.99,26000,1023810,26050,25100,1503190,1603730,19.91,4107.77
24,29/07/2019,26000,26119.52,26300,309730,26450,25950,493660,801680,19.91,4107.77
25,26/07/2019,26450,26450.84,26700,348420,26750,26250,588540,1156090,19.91,4107.77
26,25/07/2019,26450,26287.16,26050,1283060,26650,26000,1929030,1996420,19.91,4107.77
27,24/07/2019,26050,26138.42,26000,486640,26400,26000,900020,958920,19.91,4107.77
28,23/07/2019,26000,26118.43,26150,577370,26300,26000,965760,957610,19.91,4107.77
29,22/07/2019,26300,26230.35,26750,1501810,26800,25850,2645360,2730420,19.91,4107.77
30,19/07/2019,26950,26882.65,26700,671660,27100,26700,1196910,1687360,19.91,4107.77
31,18/07/2019,26700,26802.48,27000,813880,27000,26700,1408870,1407610,19.91,4107.77
32,17/07/2019,27050,27167.66,27100,552900,27400,27000,1032720,1316020,19.91,4107.77
33,16/07/2019,27200,27269.26,27200,839260,27500,27150,1694070,1825210,19.91,4107.77
34,15/07/2019,27300,27230.8,26850,800160,27500,26800,1622740,1509330,19.91,4107.77
35,12/07/2019,26800,26888.67,27000,840540,27100,26700,1557210,1312130,19.91,4107.77
36,11/07/2019,26800,26959.53,27300,1474840,27300,26650,2649450,2709530,19.91,4107.77
37,10/07/2019,27150,27388.72,27700,1267310,27800,27100,1891530,2151720,19.91,4107.77
38,09/07/2019,27500,27634.22,27550,892010,27900,27450,1558140,1559300,19.91,4107.77
39,08/07/2019,27700,27840.84,28050,1223670,28200,27600,2137310,2121900,19.91,4107.77
40,05/07/2019,28250,28475.11,28500,685230,28650,28200,1468840,1632640,19.91,4107.77
41,04/07/2019,28400,28479.27,28500,844860,28700,28200,1341430,2071450,19.91,4107.77
42,03/07/2019,28550,28412.75,28200,915610,28600,28050,1566760,1670580,19.91,4107.77
43,02/07/2019,28300,28151.33,27850,1526180,28400,27750,2914390,2746380,19.91,4107.77
44,01/07/2019,27850,28016.23,28100,1187990,28250,27750,1615200,2376280,19.91,4107.77
45,28/06/2019,27650,27288.15,27300,671940,27650,26900,1182190,1289580,19.91,4107.77
46,27/06/2019,27000,27450.42,27700,833940,27800,27000,1291290,1473090,19.91,4107.77
47,26/06/2019,27850,27939.53,27900,1690830,28200,27700,2640250,3178220,19.91,4107.77
48,25/06/2019,27150,27283.48,27050,1031430,27500,26900,1736660,2084590,19.91,4107.77
49,24/06/2019,27000,26881.77,26750,466450,27100,26600,1016430,921230,19.91,4107.77
50,21/06/2019,26800,26974.63,27100,652020,27300,26800,1044370,1607150,19.91,4107.77
51,20/06/2019,27100,26890.77,26750,777330,27200,26600,1349170,1786850,19.91,4107.77
52,19/06/2019,26400,26695.41,26950,264390,26950,26400,413500,842370,19.91,4107.77
53,18/06/2019,26500,25913.92,25650,1024430,26500,25500,1778400,1433580,19.91,4107.77
54,17/06/2019,25650,26083.97,26500,596880,26600,25650,997630,1030600,19.91,4107.77
55,14/06/2019,26300,26638.36,26950,548720,27000,26300,709910,1051720,19.91,4107.77
56,13/06/2019,26700,26774.29,26750,581640,27000,26650,1000000,964120,19.91,4107.77
57,12/06/2019,26950,27101.52,27450,720550,27450,26700,1029730,1200960,19.91,4107.77
58,11/06/2019,27450,27571.21,27550,289650,27750,27450,598880,864410,19.91,4107.77
59,10/06/2019,27550,27553.41,27400,750760,27950,27250,1251070,1533070,19.91,4107.77
60,07/06/2019,26950,26846.0,26800,355770,26950,26750,712300,789230,19.91,4107.77
61,06/06/2019,26500,26661.56,26800,470040,27050,26400,854820,840570,19.91,4107.77
62,05/06/2019,26900,27019.6,27200,567810,27300,26800,871460,1314210,19.91,4107.77
63,04/06/2019,26800,26909.95,27000,650540,27150,26800,1172630,1192590,19.91,4107.77
64,03/06/2019,26700,26938.16,27000,918140,27400,26700,1556200,1600800,19.91,4107.77
65,31/05/2019,27200,27784.64,28300,1433130,28500,27200,2245490,2345780,19.91,4107.77
66,30/05/2019,28400,28730.28,29250,889410,29250,28400,1294320,1647550,19.91,4107.77
67,29/05/2019,29050,29431.59,29300,750520,29800,29050,1320530,1643960,19.91,4107.77
68,28/05/2019,29200,28910.66,29200,1691210,29400,28700,2831400,2439140,19.91,4107.77
69,27/05/2019,30200,30336.89,30700,712400,30700,30050,992920,1442360,19.91,4107.77
70,24/05/2019,30500,30861.62,30600,1037470,31200,30450,1699350,2209660,19.91,4107.77
71,23/05/2019,30650,30523.77,30250,937630,30750,30200,1811120,1693200,19.91,4107.77
72,22/05/2019,30550,30525.83,30900,1101690,30900,30200,1685060,1974620,19.91,4107.77
73,21/05/2019,30750,30997.67,31000,898390,31350,30600,1503840,1921810,19.91,4107.77
74,20/05/2019,30750,30538.7,30300,929280,30800,30000,1653880,1945330,19.91,4107.77
75,17/05/2019,30000,30120.62,30000,780960,30350,30000,1301420,1379230,19.91,4107.77
