,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,10700,10902.75,10700,1450460,11100,10700,0,0,12.56,1347.9
1,29/08/2019,10750,10763.92,10800,423080,10900,10650,806130,1064050,12.56,1347.9
2,28/08/2019,10800,10979.63,10900,1082550,11100,10800,1512660,2121220,12.56,1347.9
3,27/08/2019,10850,10969.79,10900,1403400,11200,10850,2067340,2678670,12.56,1347.9
4,26/08/2019,10700,10625.1,10200,875380,10750,10200,1685130,1449610,12.56,1347.9
5,23/08/2019,10300,10329.66,10100,322760,10450,10100,765950,776420,12.56,1347.9
6,22/08/2019,10200,10238.81,10100,313220,10450,10050,778370,620360,12.56,1347.9
7,21/08/2019,10400,10588.43,10400,862640,10850,10250,1434370,1500830,12.56,1347.9
8,20/08/2019,10250,10161.37,9700,922120,10250,9700,1501410,1034820,12.56,1347.9
9,19/08/2019,9620,9480.47,9300,319710,9640,9200,564780,539130,12.56,1347.9
10,16/08/2019,9310,9349.68,9400,197440,9400,9300,320930,377410,12.56,1347.9
11,15/08/2019,9400,9422.03,9010,332200,9500,9000,622690,551580,12.56,1347.9
12,14/08/2019,9390,9418.24,9500,138030,9500,9300,214010,412170,12.56,1347.9
13,13/08/2019,9380,9270.21,9100,356950,9500,9030,677350,711430,12.56,1347.9
14,12/08/2019,9070,9096.09,9150,87730,9250,9030,236790,298200,12.56,1347.9
15,09/08/2019,9150,9135.82,9250,151820,9250,9050,365740,258770,12.56,1347.9
16,08/08/2019,9250,9207.62,9400,339610,9400,9000,643930,669870,12.56,1347.9
17,07/08/2019,9400,9597.24,9890,260700,9930,9400,349470,770820,12.56,1347.9
18,06/08/2019,9450,9357.32,8840,880060,9450,8830,1539160,963080,12.56,1347.9
19,05/08/2019,8840,8804.52,8840,256800,8860,8700,419710,415460,12.56,1347.9
20,02/08/2019,8740,8674.17,8300,283370,8780,8300,510880,491340,12.56,1347.9
21,01/08/2019,8340,8349.03,8400,31860,8400,8340,90430,92820,12.56,1347.9
22,31/07/2019,8340,8324.16,8350,45410,8350,8200,101500,116780,12.56,1347.9
23,30/07/2019,8360,8398.47,8430,60130,8430,8360,92800,189230,12.56,1347.9
24,29/07/2019,8520,8447.61,8460,18230,8580,8410,70890,89160,12.56,1347.9
25,26/07/2019,8540,8473.2,8350,123330,8600,8340,245620,202510,12.56,1347.9
26,25/07/2019,8340,8333.33,8300,13800,8340,8300,54020,53500,12.56,1347.9
27,24/07/2019,8350,8304.01,8350,14210,8360,8300,50200,48410,12.56,1347.9
28,23/07/2019,8340,8298.04,8290,87370,8340,8270,154430,132710,12.56,1347.9
29,22/07/2019,8290,8268.29,8270,34590,8290,8260,71860,108830,12.56,1347.9
30,19/07/2019,8300,8286.78,8280,42960,8300,8270,91310,128240,12.56,1347.9
31,18/07/2019,8300,8285.81,8290,59620,8300,8270,112190,145030,12.56,1347.9
32,17/07/2019,8300,8289.24,8300,62370,8300,8270,111170,147050,12.56,1347.9
33,16/07/2019,8300,8286.19,8300,60100,8350,8260,111710,113810,12.56,1347.9
34,15/07/2019,8300,8322.34,8320,68250,8350,8300,122350,102990,12.56,1347.9
35,12/07/2019,8320,8294.79,8330,67030,8330,8270,91050,151830,12.56,1347.9
36,11/07/2019,8330,8303.8,8340,19750,8340,8300,49710,80180,12.56,1347.9
37,10/07/2019,8350,8268.37,8260,35920,8350,8260,129760,117630,12.56,1347.9
38,09/07/2019,8320,8320.0,8300,5490,8360,8300,51410,86080,12.56,1347.9
39,08/07/2019,8300,8300.0,8280,40000,8360,8280,83190,111920,12.56,1347.9
40,05/07/2019,8270,8315.0,8360,2490,8360,8270,36520,69170,12.56,1347.9
41,04/07/2019,8260,8228.19,8250,74500,8330,8200,182980,131570,12.56,1347.9
42,03/07/2019,8350,8286.25,8380,53100,8380,8250,89140,76800,12.56,1347.9
43,02/07/2019,8380,8320.06,8300,25120,8400,8250,64850,59450,12.56,1347.9
