,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,18200,18291.93,18400,551600,18600,18100,0,0,26.22,3322.91
1,29/08/2019,18300,18190.25,18100,735300,18500,18000,1067400,1224400,26.22,3322.91
2,28/08/2019,18200,18428.94,18500,675300,18700,18200,792200,1406800,26.22,3322.91
3,27/08/2019,18600,18695.32,18600,757200,19000,18400,966900,1453100,26.22,3322.91
4,26/08/2019,18600,18793.87,18700,1117200,19300,18500,1460000,1793000,26.22,3322.91
5,23/08/2019,18800,18907.63,19000,1152100,19200,18700,1700300,1795400,26.22,3322.91
6,22/08/2019,19000,18811.69,18100,1990400,19200,18100,2626500,2574800,26.22,3322.91
7,21/08/2019,18100,17952.95,18300,794100,18300,17800,1214800,1211900,26.22,3322.91
8,20/08/2019,18000,18006.38,18100,839800,18300,17800,1285900,1273900,26.22,3322.91
9,19/08/2019,18100,18167.72,18300,527500,18400,18000,832300,877500,26.22,3322.91
10,16/08/2019,18200,18402.36,18300,766700,18600,18200,1052500,1402500,26.22,3322.91
11,15/08/2019,18300,17967.04,18000,1073200,18300,17500,1870500,1516900,26.22,3322.91
12,14/08/2019,18200,18293.48,17700,1486500,18600,17700,1820300,1916500,26.22,3322.91
13,13/08/2019,17500,17625.65,17900,974200,18000,17500,1294400,1496400,26.22,3322.91
14,12/08/2019,17900,18098.04,18800,1411500,18800,17600,1686000,1978200,26.22,3322.91
15,09/08/2019,18500,18695.8,18800,974700,19200,18400,1234900,1515100,26.22,3322.91
16,08/08/2019,18700,18534.91,18300,797200,18800,18200,1185200,1091400,26.22,3322.91
17,07/08/2019,18300,18594.12,19000,1177200,19100,18200,1390600,1701100,26.22,3322.91
18,06/08/2019,19000,19035.96,19400,641000,19400,18600,944500,1072400,26.22,3322.91
19,05/08/2019,19400,19635.38,19900,852700,19900,19300,995600,1452400,26.22,3322.91
20,02/08/2019,19700,19377.47,18700,1528500,19900,18400,1981900,1743800,26.22,3322.91
21,01/08/2019,18600,18829.46,18500,492800,19000,18500,778900,944900,26.22,3322.91
22,31/07/2019,18500,18726.29,19000,769000,19200,18400,1136900,1133300,26.22,3322.91
23,30/07/2019,18900,19447.02,20300,2181100,20400,18800,2396900,2906300,26.22,3322.91
24,29/07/2019,20300,20277.08,20600,585200,20600,20200,849500,972800,26.22,3322.91
25,26/07/2019,20600,20610.43,20600,441100,20800,20400,632800,1040300,26.22,3322.91
26,25/07/2019,20600,20601.72,20500,675300,20900,20400,1007500,1117400,26.22,3322.91
27,24/07/2019,20500,20659.69,20800,1123800,21000,20500,1437400,1713600,26.22,3322.91
28,23/07/2019,20800,20993.76,21200,906100,21300,20800,1080400,1543700,26.22,3322.91
29,22/07/2019,21100,21185.94,21700,919000,21800,21000,1241600,1799300,26.22,3322.91
30,19/07/2019,21600,21275.03,21200,1728200,21700,20800,2245700,2441200,26.22,3322.91
31,18/07/2019,21100,21100.0,21300,779800,21400,21000,1106900,1402000,26.22,3322.91
32,17/07/2019,21200,21377.9,21400,1332000,21600,21100,1588900,2264500,26.22,3322.91
33,16/07/2019,21300,21448.8,21700,1019300,22000,21100,1353500,1758000,26.22,3322.91
34,15/07/2019,21500,21203.49,21000,871700,21500,20900,1343700,1293800,26.22,3322.91
35,12/07/2019,20900,21218.74,21300,1453200,21500,20900,1716700,2108900,26.22,3322.91
36,11/07/2019,21300,21543.75,21700,1138600,22000,21300,1349900,1899300,26.22,3322.91
37,10/07/2019,21700,21740.72,21600,602100,22000,21600,827900,1475300,26.22,3322.91
38,09/07/2019,21600,21548.72,22000,633800,22000,21300,1152300,1281400,26.22,3322.91
39,08/07/2019,21400,21577.56,21900,1695400,22000,21300,1942300,2234800,26.22,3322.91
40,05/07/2019,21900,22071.2,21900,1284500,22500,21600,1553400,2128800,26.22,3322.91
41,04/07/2019,21800,21867.76,22000,938500,22500,21600,1281800,1793500,26.22,3322.91
42,03/07/2019,22000,21765.85,21600,1534900,22200,21400,1904800,2036100,26.22,3322.91
43,02/07/2019,21600,21723.21,21500,1688900,22100,21300,1996400,2488400,26.22,3322.91
44,01/07/2019,21500,21608.53,22000,1653600,22300,21400,1924200,2428800,26.22,3322.91
45,28/06/2019,21600,20805.63,20200,2115700,21600,19900,2672000,2486900,26.22,3322.91
46,27/06/2019,20100,20273.53,20800,1455400,20800,20000,1727900,2076900,26.22,3322.91
47,26/06/2019,20700,20673.97,20000,2230800,21000,20000,2613100,3174100,26.22,3322.91
48,25/06/2019,19700,19848.65,19500,2481200,20300,19500,2755600,3250400,26.22,3322.91
49,24/06/2019,19500,19214.74,18800,778800,19500,18800,1195400,1196700,26.22,3322.91
50,21/06/2019,18900,18999.54,19000,438000,19200,18900,603800,887600,26.22,3322.91
51,20/06/2019,19000,18970.27,19100,832800,19200,18800,1150300,1284600,26.22,3322.91
52,19/06/2019,18800,18965.86,18800,591100,19200,18800,729900,1004100,26.22,3322.91
53,18/06/2019,18700,18303.26,18500,812100,18700,18000,1029000,951500,26.22,3322.91
54,17/06/2019,18400,18697.64,18600,623400,18900,18400,676100,828800,26.22,3322.91
55,14/06/2019,18600,18868.35,19200,481800,19200,18600,584600,767600,26.22,3322.91
56,13/06/2019,19000,19079.17,19000,872300,19500,18900,1083700,1250200,26.22,3322.91
57,12/06/2019,22400,22532.24,22700,1239700,22900,22300,1451000,1538200,26.22,3322.91
58,11/06/2019,22700,22798.85,22900,573100,23000,22700,670100,1134000,26.22,3322.91
59,10/06/2019,22900,23004.65,23200,615300,23300,22800,727300,1163900,26.22,3322.91
60,07/06/2019,22900,22758.5,22500,821000,23000,22500,1024600,1185000,26.22,3322.91
61,06/06/2019,22400,22168.52,22400,847000,22600,21800,1070700,1086500,26.22,3322.91
62,05/06/2019,22600,22817.96,22700,689200,23100,22600,779600,1156000,26.22,3322.91
63,04/06/2019,22600,22444.13,22400,546600,22700,22300,864300,768700,26.22,3322.91
64,03/06/2019,22200,22352.01,22400,1445000,23000,21800,1773900,1704900,26.22,3322.91
65,31/05/2019,22400,23090.36,23900,2383200,24000,22400,2541100,2803200,26.22,3322.91
66,30/05/2019,23900,24159.7,24200,861100,24400,23900,1036000,1501400,26.22,3322.91
67,29/05/2019,24200,24263.01,24300,898200,24500,24000,1171200,1608000,26.22,3322.91
68,28/05/2019,24300,23887.49,23400,1830900,24400,23200,2380300,2425900,26.22,3322.91
69,27/05/2019,23400,23211.38,23400,740600,23400,23000,1070000,1169100,26.22,3322.91
70,24/05/2019,23400,23448.19,23000,2817700,23800,23000,3093300,3656000,26.22,3322.91
71,23/05/2019,23000,22666.79,22300,892200,23000,22300,1431600,1132800,26.22,3322.91
