,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,24350,24355.02,24350,243030,24400,24350,0,0,0,619.78
1,29/08/2019,24350,24298.88,24300,443930,24350,24250,710240,592540,0,619.78
2,28/08/2019,24350,24375.86,24400,434200,24400,24300,555840,606770,0,619.78
3,27/08/2019,24400,24467.2,24400,228510,24500,24400,378960,396520,0,619.78
4,26/08/2019,24400,24387.5,24400,231710,24400,24350,370540,392280,0,619.78
5,23/08/2019,24500,24611.77,24600,378640,24700,24450,636840,580810,0,619.78
6,22/08/2019,24600,24598.12,24550,237010,24650,24550,450900,389520,0,619.78
7,21/08/2019,24600,24595.14,24500,306280,24650,24500,487890,444610,0,619.78
8,20/08/2019,24500,24408.11,24300,371270,24500,24300,563170,477570,0,619.78
9,19/08/2019,24300,24304.47,24300,262750,24350,24250,411910,385900,0,619.78
10,16/08/2019,24300,24280.3,24200,258440,24300,24150,423280,381760,0,619.78
11,15/08/2019,24200,24201.11,24250,330770,24250,24150,460650,469650,0,619.78
12,14/08/2019,24250,24283.26,24200,233000,24300,24150,368210,354880,0,619.78
13,13/08/2019,24200,24233.34,24300,220110,24350,24200,350150,387850,0,619.78
14,12/08/2019,24300,24404.25,24450,243810,24450,24250,338690,375590,0,619.78
15,09/08/2019,24450,24453.79,24450,278280,24550,24400,443830,397070,0,619.78
16,08/08/2019,24450,24364.14,24350,310210,24450,24300,455800,454900,0,619.78
17,07/08/2019,24350,24315.91,24450,414420,24450,24300,527150,590480,0,619.78
18,06/08/2019,24450,24272.78,24350,249580,24450,24250,406620,371710,0,619.78
19,05/08/2019,24400,24438.4,24500,459850,24600,24300,620060,630650,0,619.78
20,02/08/2019,24500,24501.07,24600,298640,24700,24400,413530,476030,0,619.78
21,01/08/2019,24700,24827.07,24850,456840,25050,24650,582480,617240,0,619.78
22,31/07/2019,24850,24579.98,24300,358910,24850,24300,736500,589540,0,619.78
23,30/07/2019,24300,24099.52,23800,388680,24300,23800,833050,531420,0,619.78
24,29/07/2019,23800,23800.69,24050,296420,24050,23650,451130,516400,0,619.78
25,26/07/2019,24050,24274.74,24300,214750,24450,23950,444550,372210,0,619.78
