,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,16500,16410.17,16300,214400,16500,16200,0,0,0,555.46
1,29/08/2019,16300,16242.03,16300,200800,16300,16100,273300,266300,0,555.46
2,28/08/2019,16200,16167.32,16100,142000,16300,16000,216400,193200,0,555.46
3,27/08/2019,16200,16133.46,16200,102800,16200,16000,186900,176300,0,555.46
4,26/08/2019,16100,16066.36,15900,121000,16200,15900,215000,173800,0,555.46
5,23/08/2019,16200,16140.35,15900,176700,16400,15700,266100,245700,0,555.46
6,22/08/2019,16000,15780.58,16100,144700,16200,15500,157500,225800,0,555.46
7,21/08/2019,16300,16532.1,16400,173200,16800,16300,212900,250400,0,555.46
8,20/08/2019,16400,16347.84,16000,291000,16500,16000,389200,353100,0,555.46
9,19/08/2019,16000,15914.73,17200,455500,17300,15700,854200,537300,0,555.46
10,16/08/2019,17400,17263.06,17000,350600,17500,17000,473000,397100,0,555.46
11,15/08/2019,16800,16368.21,15800,352300,16800,15800,451500,420500,0,555.46
12,14/08/2019,16000,15739.37,15200,268700,16200,15200,416700,330500,0,555.46
13,13/08/2019,15500,15251.48,15200,401100,15500,15000,523700,466600,0,555.46
14,12/08/2019,15200,15153.27,15100,351400,15300,15000,432100,410500,0,555.46
15,09/08/2019,15100,15139.17,15100,98300,15200,15000,156800,194700,0,555.46
16,08/08/2019,15200,14994.81,14900,246700,15200,14800,369900,314900,0,555.46
17,07/08/2019,14900,14868.05,14800,318900,15000,14700,432500,394000,0,555.46
18,06/08/2019,14800,14771.89,14600,191400,15000,14600,268200,280700,0,555.46
19,05/08/2019,14600,14552.39,14700,127700,14700,14400,199700,223800,0,555.46
20,02/08/2019,14700,14527.2,14500,130500,14700,14300,256200,199600,0,555.46
21,01/08/2019,14800,14701.13,14500,291700,15000,14400,380100,385900,0,555.46
22,31/07/2019,14500,14376.83,14400,222300,14600,14200,346300,276600,0,555.46
23,30/07/2019,14400,14269.31,14000,280900,14600,14000,406200,360100,0,555.46
24,29/07/2019,14100,14283.29,14300,191500,14400,14100,272400,321200,0,555.46
25,26/07/2019,14300,14339.37,14100,305600,14500,14000,445200,384600,0,555.46
26,25/07/2019,14200,14210.2,14100,287200,14400,14000,387700,368500,0,555.46
27,24/07/2019,14000,14071.2,13900,254200,14200,13800,370400,307300,0,555.46
28,23/07/2019,13900,13910.38,13800,251400,14000,13700,344900,319700,0,555.46
29,22/07/2019,13800,13734.49,13600,290800,14000,13600,415800,364900,0,555.46
30,19/07/2019,13500,13499.46,13400,186400,13700,13300,258800,278900,0,555.46
31,18/07/2019,13400,13398.17,13200,207200,13600,13200,273100,288500,0,555.46
32,17/07/2019,13200,13283.49,13100,227200,13400,13100,287900,306000,0,555.46
33,16/07/2019,13100,13066.0,12900,224400,13200,12900,315500,295000,0,555.46
34,15/07/2019,12900,12984.36,12800,182200,13200,12800,244300,265400,0,555.46
35,12/07/2019,12800,12735.35,12400,232500,13000,12400,370400,289000,0,555.46
36,11/07/2019,12500,12497.36,12600,136500,12600,12400,174900,238600,0,555.46
37,10/07/2019,12500,12442.28,12100,213800,12700,12100,344400,293100,0,555.46
38,09/07/2019,12100,11966.64,12000,138200,12100,11800,191600,232900,0,555.46
39,08/07/2019,12000,11929.48,12200,152300,12200,11700,199500,246900,0,555.46
40,05/07/2019,12200,12185.08,12200,128700,12300,12100,211300,183200,0,555.46
41,04/07/2019,12200,12230.01,12300,146300,12300,12200,194600,212300,0,555.46
42,03/07/2019,12300,12341.71,12400,139300,12500,12300,215800,202200,0,555.46
43,02/07/2019,12400,12483.48,12600,126500,12600,12400,193300,206400,0,555.46
44,01/07/2019,12600,12615.85,12700,151400,12700,12600,226000,222200,0,555.46
45,28/06/2019,12700,12621.33,12700,174900,12800,12500,223900,227500,0,555.46
46,27/06/2019,12700,12708.3,12700,116900,12800,12600,192500,190500,0,555.46
47,26/06/2019,12800,12653.1,12300,201700,12900,12300,357100,242400,0,555.46
48,25/06/2019,12400,12326.27,12300,100500,12400,12300,167400,167300,0,555.46
49,24/06/2019,12400,12346.85,12200,174400,12500,12200,260900,223600,0,555.46
50,21/06/2019,12300,12151.42,12100,268000,12400,12000,361000,346900,0,555.46
51,20/06/2019,12100,12076.66,12100,123800,12200,12000,185800,208700,0,555.46
52,19/06/2019,12100,12095.83,12100,124800,12200,12000,196300,214400,0,555.46
53,18/06/2019,12100,11988.16,12100,116600,12100,11900,192200,198300,0,555.46
54,17/06/2019,12100,11980.35,12000,125200,12100,11900,197300,218500,0,555.46
55,14/06/2019,12000,11995.91,12000,114900,12100,11900,195700,191100,0,555.46
56,13/06/2019,12000,12001.23,12000,145800,12100,11900,240500,230900,0,555.46
57,12/06/2019,12000,12132.45,12100,191700,12300,12000,275600,266200,0,555.46
58,11/06/2019,12200,12307.88,12400,156100,12500,12200,239300,229300,0,555.46
59,10/06/2019,12400,12447.51,12400,138700,12600,12300,210000,201800,0,555.46
60,07/06/2019,12500,12503.83,12300,214200,12800,12200,263200,302900,0,555.46
61,06/06/2019,12500,12478.77,12500,182300,12700,12300,260800,240000,0,555.46
62,05/06/2019,12500,12481.09,12400,233700,12700,12200,291500,292400,0,555.46
63,04/06/2019,12400,12334.29,12400,145800,12500,12200,202900,204300,0,555.46
64,03/06/2019,12400,12430.32,12500,138500,12600,12300,190800,195700,0,555.46
65,31/05/2019,12500,12654.37,12900,106300,13000,12500,166100,181200,0,555.46
66,30/05/2019,12900,12993.89,13100,214400,13200,12900,288800,288800,0,555.46
67,29/05/2019,13100,13117.09,13100,202500,13200,13000,262600,267600,0,555.46
68,28/05/2019,13100,13146.95,13000,172100,13300,13000,247400,224000,0,555.46
69,27/05/2019,13000,13090.44,13200,201900,13200,13000,283000,282300,0,555.46
70,24/05/2019,13200,13179.53,13400,150500,13400,13100,221200,245300,0,555.46
71,23/05/2019,13400,13282.17,13600,167100,13600,13100,270100,223700,0,555.46
72,22/05/2019,13700,13652.89,13400,202700,13800,13400,292300,280800,0,555.46
73,21/05/2019,13500,13389.22,13200,251500,13600,13200,381600,342200,0,555.46
74,20/05/2019,13200,13156.42,12900,229900,13400,12900,379200,328800,0,555.46
75,17/05/2019,12900,12944.21,12900,178900,13200,12800,283200,246700,0,555.46
76,16/05/2019,12800,12830.24,13000,160400,13100,12700,254800,243400,0,555.46
77,15/05/2019,13000,12987.62,13100,140500,13100,12800,249000,230800,0,555.46
78,14/05/2019,13100,13121.27,13200,168300,13200,13000,242400,278000,0,555.46
79,13/05/2019,13200,13328.29,13500,154800,13500,13200,263800,265200,0,555.46
80,10/05/2019,13400,13539.69,13200,194000,13800,13200,287400,302800,0,555.46
81,09/05/2019,13300,13227.62,13100,236100,13400,13000,344700,361100,0,555.46
82,08/05/2019,13000,13039.13,13300,203400,13300,12800,293900,315700,0,555.46
83,07/05/2019,13400,13330.4,13600,242800,13800,12900,354400,316200,0,555.46
84,06/05/2019,13700,13909.85,13800,242700,14300,13700,379200,355400,0,555.46
85,03/05/2019,13800,13671.2,13500,200700,13800,13500,368300,306400,0,555.46
86,02/05/2019,13400,13188.6,12800,287700,13400,12800,455600,390300,0,555.46
87,26/04/2019,12900,12985.8,13000,254300,13100,12900,346600,370700,0,555.46
88,25/04/2019,13100,12934.04,13000,234700,13100,12800,361100,330200,0,555.46
89,24/04/2019,13000,12897.1,12700,251600,13000,12700,375700,335200,0,555.46
90,23/04/2019,12700,12642.01,12500,219000,12800,12500,387600,329800,0,555.46
91,22/04/2019,12500,12388.03,12400,208800,12500,12200,300400,310200,0,555.46
92,19/04/2019,12500,12516.32,12600,172800,12700,12400,302800,292800,0,555.46
93,18/04/2019,12600,12585.23,12700,136100,12700,12400,255800,236200,0,555.46
94,17/04/2019,12800,12949.46,12800,223400,13100,12800,419600,334300,0,555.46
95,16/04/2019,12800,12643.31,12700,145700,12800,12500,270900,254700,0,555.46
96,12/04/2019,12700,12632.25,12500,113800,12700,12500,241900,239500,0,555.46
97,11/04/2019,12500,12559.87,12600,223500,12700,12500,303400,351200,0,555.46
98,10/04/2019,12600,12521.12,12600,200800,12600,12400,334200,344800,0,555.46
99,09/04/2019,12500,12516.09,12400,215600,12700,12300,287000,352900,0,555.46
100,08/04/2019,12400,12371.37,12500,171500,12500,12200,267300,258700,0,555.46
101,05/04/2019,12500,12381.51,12500,209800,12500,12200,341500,313900,0,555.46
102,04/04/2019,12600,12523.97,12500,173100,12600,12300,305200,304300,0,555.46
103,03/04/2019,12500,12498.28,12300,214500,12700,12300,319600,342600,0,555.46
104,02/04/2019,12700,12710.67,12800,202500,12900,12600,334200,312300,0,555.46
105,01/04/2019,12800,12787.07,12800,112100,12900,12700,260700,251000,0,555.46
106,29/03/2019,12800,12854.87,12700,263700,13000,12700,442300,436700,0,555.46
107,28/03/2019,12800,12748.19,12600,182600,12900,12600,383200,293200,0,555.46
108,27/03/2019,12700,12765.53,12800,158400,12900,12700,293300,263600,0,555.46
109,26/03/2019,12800,12985.82,13100,187600,13200,12800,297700,301100,0,555.46
110,25/03/2019,13000,13046.14,13200,204400,13200,12900,329900,377300,0,555.46
111,22/03/2019,13100,13044.55,13000,231200,13200,12900,325900,326000,0,555.46
112,21/03/2019,13000,13034.6,12900,293900,13200,12900,466000,417100,0,555.46
113,20/03/2019,12800,12868.78,12600,264900,13000,12600,385200,374700,0,555.46
114,19/03/2019,12600,12844.39,13000,195300,13100,12600,325700,354000,0,555.46
115,18/03/2019,13000,13174.24,13400,233300,13400,13000,296100,342600,0,555.46
116,15/03/2019,13400,13237.59,13300,261500,13500,13100,451600,383800,0,555.46
117,14/03/2019,13300,13416.72,13500,199200,13500,13300,329700,341900,0,555.46
118,13/03/2019,13600,13549.19,13700,222400,13700,13400,356100,335200,0,555.46
119,12/03/2019,13700,13731.4,13800,248700,13900,13600,343100,366300,0,555.46
120,11/03/2019,13800,13795.25,13900,225500,13900,13700,343400,402700,0,555.46
121,08/03/2019,13900,13956.99,14200,211800,14200,13800,356000,300500,0,555.46
122,07/03/2019,14100,13956.13,13900,292900,14100,13800,442200,397700,0,555.46
123,06/03/2019,14000,13962.72,14000,255900,14100,13800,365500,399300,0,555.46
124,05/03/2019,14000,14036.47,14100,229500,14200,13900,382500,335800,0,555.46
125,04/03/2019,14100,14156.31,14000,279700,14300,14000,478000,403000,0,555.46
126,01/03/2019,14000,13924.16,13800,373400,14200,13700,496700,495700,0,555.46
127,28/02/2019,14000,14052.02,13900,361000,14300,13900,511500,484400,0,555.46
128,27/02/2019,13900,14028.63,13800,383200,14200,13800,520500,520100,0,555.46
129,26/02/2019,13800,13844.95,13500,520400,14100,13500,664900,648200,0,555.46
130,25/02/2019,13400,13227.76,13100,328900,13400,13000,477300,460600,0,555.46
131,22/02/2019,13000,13173.06,13300,374900,13300,13000,463000,514000,0,555.46
132,21/02/2019,13300,13412.21,13300,364600,13600,13300,453000,468500,0,555.46
133,20/02/2019,13400,13397.4,13400,396000,13600,13300,498400,498600,0,555.46
134,19/02/2019,13500,13395.52,13400,488800,13600,13200,608900,623100,0,555.46
