,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,18700,18889.24,19100,160250,19100,18700,0,0,0,1324.83
1,29/08/2019,19000,19060.12,19300,373240,19300,18950,758640,1082820,0,1324.83
2,28/08/2019,19250,18972.39,18350,965930,19450,18300,2401120,1875710,0,1324.83
3,27/08/2019,18600,18398.94,18300,580740,18600,18200,782460,976540,0,1324.83
4,26/08/2019,18400,18329.75,18200,293130,18500,18200,450610,493690,0,1324.83
5,23/08/2019,18400,18382.07,18600,153900,18600,18200,392830,375970,0,1324.83
6,22/08/2019,18500,18412.89,18450,338350,18500,18350,672730,662980,0,1324.83
7,21/08/2019,18450,18456.57,18400,449000,18600,18300,739250,736510,0,1324.83
8,20/08/2019,18500,18525.7,18700,314590,18700,18450,479340,558100,0,1324.83
9,19/08/2019,18600,18596.18,18700,279950,18700,18550,467590,653020,0,1324.83
10,16/08/2019,18600,18671.75,18900,301900,18900,18600,531010,641030,0,1324.83
11,15/08/2019,18700,18660.21,18650,177490,18800,18600,428540,501240,0,1324.83
12,14/08/2019,18800,18844.93,19000,370020,19100,18700,681390,795050,0,1324.83
13,13/08/2019,19000,18843.85,19100,248410,19100,18700,758570,617330,0,1324.83
14,12/08/2019,19000,19050.03,19300,295800,19300,19000,520310,858850,0,1324.83
15,09/08/2019,19250,19287.39,19250,311810,19500,19200,527050,927750,0,1324.83
16,08/08/2019,19400,19281.35,19250,286650,19450,19150,521570,799050,0,1324.83
17,07/08/2019,19500,19459.32,19600,506030,19800,19250,800920,1341760,0,1324.83
18,06/08/2019,19400,19183.72,18600,965350,19700,18500,1838100,1572460,0,1324.83
19,05/08/2019,18850,18977.86,19100,614400,19250,18800,791960,1038590,0,1324.83
20,02/08/2019,19100,19053.31,19000,510830,19300,18900,873820,785010,0,1324.83
21,01/08/2019,19100,19142.04,19100,400950,19400,19050,854270,835410,0,1324.83
22,31/07/2019,19350,19135.03,19150,440710,19350,18950,908320,713680,0,1324.83
23,30/07/2019,19150,19322.77,19500,947690,19700,19150,1302720,1627680,0,1324.83
24,29/07/2019,19700,19831.14,20300,827890,20300,19700,1155170,1666160,0,1324.83
25,26/07/2019,20300,20378.93,20500,441240,20500,20300,717100,1574770,0,1324.83
26,25/07/2019,20500,20351.32,20200,961510,20600,20100,1629430,1991820,0,1324.83
27,24/07/2019,20200,20174.08,20150,374540,20250,20050,829380,985030,0,1324.83
28,23/07/2019,20150,20152.4,20350,370080,20350,20100,686390,1575550,0,1324.83
29,22/07/2019,20200,20245.46,20400,299030,20400,20150,608840,1362530,0,1324.83
30,19/07/2019,20400,20252.94,20250,442800,20450,20150,866660,936160,0,1324.83
31,18/07/2019,20150,20181.17,20100,780480,20450,19500,1519070,1769910,0,1324.83
32,17/07/2019,20200,20526.16,20900,1039600,20900,20200,1472570,2512320,0,1324.83
33,16/07/2019,21400,21409.82,21400,963950,21450,21350,1495400,2187210,0,1324.83
34,15/07/2019,21450,21446.34,21350,1033230,21550,21350,1984790,2314280,0,1324.83
35,12/07/2019,21250,21369.41,21600,1098720,21600,21150,2120530,2639470,0,1324.83
36,11/07/2019,21450,21410.43,21500,850380,21500,21300,2201680,1952160,0,1324.83
37,10/07/2019,21500,21499.66,21500,1624770,21750,21350,2605950,4335030,0,1324.83
38,09/07/2019,21500,21105.34,20700,3003790,21500,20650,4735590,4889690,0,1324.83
39,08/07/2019,20600,20501.49,20400,764920,20600,20350,1329230,1583590,0,1324.83
40,05/07/2019,20400,20429.18,20600,372800,20600,20400,646960,1270910,0,1324.83
41,04/07/2019,20500,20333.71,20350,552580,20500,20100,1316570,1009870,0,1324.83
42,03/07/2019,20100,20260.67,20450,537840,20450,20100,797200,1094100,0,1324.83
43,02/07/2019,20350,20349.97,20300,553760,20500,20200,900820,1168500,0,1324.83
44,01/07/2019,20300,20364.76,20350,448520,20500,20300,697310,966900,0,1324.83
45,28/06/2019,20350,20243.27,20200,886270,20400,20050,1521770,1468900,0,1324.83
46,27/06/2019,20000,20194.84,20400,1822990,20500,19950,2933390,2609750,0,1324.83
47,26/06/2019,20500,20668.65,20900,958650,20900,20500,1363690,2543910,0,1324.83
48,25/06/2019,20900,20759.4,20800,677380,20900,20650,1341420,2020880,0,1324.83
