,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,132000,131808.88,131600,386150,132000,131400,0,0,38.73,10123.12
1,29/08/2019,132000,131929.34,132400,379870,132400,131700,423820,520340,38.73,10123.12
2,28/08/2019,132400,132387.76,132000,390240,132800,131600,435330,555320,38.73,10123.12
3,27/08/2019,132600,132234.74,132000,485470,132600,131600,571060,646640,38.73,10123.12
4,26/08/2019,132000,132587.15,133800,398470,133800,131500,453910,880470,38.73,10123.12
5,23/08/2019,134000,132920.74,132300,1709500,134000,132200,2295900,2300880,38.73,10123.12
6,22/08/2019,132200,131504.16,130900,1047830,132200,130700,2088450,1220210,38.73,10123.12
7,21/08/2019,130900,130160.35,130200,853770,130900,129600,2790080,1199540,38.73,10123.12
8,20/08/2019,130000,130003.16,130500,979530,130500,129500,1959070,1214000,38.73,10123.12
9,19/08/2019,130500,130522.34,130500,720980,131300,130000,1578260,1106030,38.73,10123.12
10,16/08/2019,130500,130402.18,130000,636040,130600,130000,1530830,774190,38.73,10123.12
11,15/08/2019,130300,130188.54,130200,529870,131400,129000,1311760,872220,38.73,10123.12
12,14/08/2019,131600,132284.5,132700,1004290,134000,131500,1303440,1633410,38.73,10123.12
13,13/08/2019,132500,133277.58,133800,526150,134200,132000,1336100,908250,38.73,10123.12
14,12/08/2019,134500,133148.7,132000,801570,134500,131900,1590540,922350,38.73,10123.12
15,09/08/2019,131700,131295.59,131200,819860,131700,130900,1427080,1000430,38.73,10123.12
16,08/08/2019,131100,131046.81,131100,671470,131500,130100,1472610,997660,38.73,10123.12
17,07/08/2019,130900,130788.55,130300,533510,131100,130300,1169940,779740,38.73,10123.12
18,06/08/2019,130100,129519.23,129800,893350,130100,128500,1382900,1234720,38.73,10123.12
19,05/08/2019,130700,130745.96,131500,799780,131500,130400,1275540,1175670,38.73,10123.12
20,02/08/2019,132400,131947.88,132000,752100,132400,131500,1438090,980670,38.73,10123.12
21,01/08/2019,133000,132718.7,132500,888880,133400,131200,1412880,1185990,38.73,10123.12
22,31/07/2019,133400,133020.78,133400,849980,133900,132000,1513060,1154000,38.73,10123.12
