,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,34450,34323.49,34350,2365610,34550,34200,0,0,9.18,1071.82
1,29/08/2019,34350,34357.27,34700,1254640,34700,34100,2582930,2372880,9.18,1071.82
2,28/08/2019,34700,34708.72,34550,783780,34950,34550,1453030,2283550,9.18,1071.82
3,27/08/2019,34500,34754.8,35000,1289980,35200,34500,2714930,2089110,9.18,1071.82
4,26/08/2019,34900,34850.82,34700,1280630,35050,34550,2486330,2095590,9.18,1071.82
5,23/08/2019,35050,35214.29,35750,2330730,35800,34900,3729370,3630640,9.18,1071.82
6,22/08/2019,35750,35935.74,36200,1195690,36250,35750,1816220,2673050,9.18,1071.82
7,21/08/2019,35900,35959.51,35500,2251310,36300,35500,3434380,4491310,9.18,1071.82
8,20/08/2019,35600,35364.66,35400,1964560,35850,35100,3431090,2941830,9.18,1071.82
9,19/08/2019,35300,35357.79,35500,794450,35500,35250,1507610,1866260,9.18,1071.82
10,16/08/2019,35150,35235.91,35400,1346070,35400,35150,2165010,2473370,9.18,1071.82
11,15/08/2019,35400,34669.21,34250,1272570,35400,34250,3210830,1874500,9.18,1071.82
12,14/08/2019,34700,35030.94,35300,1313810,35500,34700,2290310,2291900,9.18,1071.82
13,13/08/2019,34900,35073.55,35450,1698060,35450,34850,2471810,2704510,9.18,1071.82
14,12/08/2019,35450,35447.67,35400,899890,35600,35250,1491650,1835980,9.18,1071.82
15,09/08/2019,35500,35616.27,35800,957540,35900,35450,1518680,2026180,9.18,1071.82
16,08/08/2019,35500,35372.57,34700,1611220,35800,34700,2941880,2553760,9.18,1071.82
17,07/08/2019,34700,34722.75,35100,1539740,35300,34400,2901240,2454710,9.18,1071.82
18,06/08/2019,34850,34854.66,34500,1767970,35350,34450,3003590,2654010,9.18,1071.82
19,05/08/2019,35000,35408.59,36250,2629870,36300,35000,3933270,4127950,9.18,1071.82
20,02/08/2019,36250,36446.04,36400,826290,36850,36250,1582770,2136710,9.18,1071.82
21,01/08/2019,37000,37023.97,37000,940850,37200,36800,1377160,2300170,9.18,1071.82
22,31/07/2019,36950,36274.88,35700,2277030,37200,35350,3971750,3999420,9.18,1071.82
23,30/07/2019,35850,36102.58,36750,2019080,36800,35850,2811280,3432000,9.18,1071.82
24,29/07/2019,36750,36739.63,37450,1882300,37450,36300,2914370,3300150,9.18,1071.82
25,26/07/2019,37400,37577.69,37500,926720,37900,37350,1411600,2664860,9.18,1071.82
26,25/07/2019,37500,37770.37,37400,1647720,37950,37300,2498800,3356550,9.18,1071.82
27,24/07/2019,37350,37368.14,37600,1677900,37650,36950,2633540,3202890,9.18,1071.82
28,23/07/2019,37300,36979.71,36500,1387220,37400,36500,2373000,2331230,9.18,1071.82
29,22/07/2019,36700,37132.9,37400,1403230,37650,36600,2109870,2713640,9.18,1071.82
30,19/07/2019,37400,37231.7,36800,2259580,37400,36800,3123350,3702860,9.18,1071.82
31,18/07/2019,36600,36758.85,36700,1658240,37050,36500,2479170,2916980,9.18,1071.82
32,17/07/2019,37000,37054.22,36750,1389990,37400,36750,2217760,3101070,9.18,1071.82
33,16/07/2019,37000,36787.6,36300,3265530,37000,36300,4332160,5011160,9.18,1071.82
34,15/07/2019,36250,36283.13,35900,1790970,36650,35600,3521560,3277920,9.18,1071.82
